date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_FIAMA_BODY_WASH_001,201.46,809,120.0
2023-07-08,FMC_FIAMA_BODY_WASH_001,204.55,696,120.0
2023-07-15,FMC_FIAMA_BODY_WASH_001,203.86,740,120.0
2023-07-22,FMC_FIAMA_BODY_WASH_001,198.62,705,120.0
2023-07-29,FMC_FIAMA_BODY_WASH_001,197.07,720,120.0
2023-08-05,FMC_FIAMA_BODY_WASH_001,203.92,727,120.0
2023-08-12,FMC_FIAMA_BODY_WASH_001,197.87,741,120.0
2023-08-19,FMC_FIAMA_BODY_WASH_001,202.49,640,120.0
2023-08-26,FMC_FIAMA_BODY_WASH_001,201.11,669,120.0
2023-09-02,FMC_FIAMA_BODY_WASH_001,192.6,750,120.0
2023-09-09,FMC_FIAMA_BODY_WASH_001,195.71,721,120.0
2023-09-16,FMC_FIAMA_BODY_WASH_001,198.11,683,120.0
2023-09-23,FMC_FIAMA_BODY_WASH_001,201.98,641,120.0
2023-09-30,FMC_FIAMA_BODY_WASH_001,200.75,715,120.0
2023-10-07,FMC_FIAMA_BODY_WASH_001,201.99,606,120.0
2023-10-14,FMC_FIAMA_BODY_WASH_001,200.87,597,120.0
2023-10-21,FMC_FIAMA_BODY_WASH_001,198.71,693,120.0
2023-10-28,FMC_FIAMA_BODY_WASH_001,202.78,700,120.0
2023-11-04,FMC_FIAMA_BODY_WASH_001,192.43,799,120.0
2023-11-11,FMC_FIAMA_BODY_WASH_001,205.15,670,120.0
2023-11-18,FMC_FIAMA_BODY_WASH_001,200.27,696,120.0
2023-11-25,FMC_FIAMA_BODY_WASH_001,200.89,734,120.0
2023-12-02,FMC_FIAMA_BODY_WASH_001,199.76,783,120.0
2023-12-09,FMC_FIAMA_BODY_WASH_001,199.47,713,120.0
2023-12-16,FMC_FIAMA_BODY_WASH_001,198.1,788,120.0
2023-12-23,FMC_FIAMA_BODY_WASH_001,202.34,758,120.0
2023-12-30,FMC_FIAMA_BODY_WASH_001,203.12,739,120.0
2024-01-06,FMC_FIAMA_BODY_WASH_001,196.51,934,120.0
2024-01-13,FMC_FIAMA_BODY_WASH_001,195.18,850,120.0
2024-01-20,FMC_FIAMA_BODY_WASH_001,198.48,849,120.0
2024-01-27,FMC_FIAMA_BODY_WASH_001,197.36,908,120.0
2024-02-03,FMC_FIAMA_BODY_WASH_001,201.62,849,120.0
2024-02-10,FMC_FIAMA_BODY_WASH_001,197.51,931,120.0
2024-02-17,FMC_FIAMA_BODY_WASH_001,190.33,997,120.0
2024-02-24,FMC_FIAMA_BODY_WASH_001,202.33,878,120.0
2024-03-02,FMC_FIAMA_BODY_WASH_001,195.39,980,120.0
2024-03-09,FMC_FIAMA_BODY_WASH_001,204.72,807,120.0
2024-03-16,FMC_FIAMA_BODY_WASH_001,198.34,933,120.0
2024-03-23,FMC_FIAMA_BODY_WASH_001,199.65,983,120.0
2024-03-30,FMC_FIAMA_BODY_WASH_001,199.17,906,120.0
2024-04-06,FMC_FIAMA_BODY_WASH_001,203.79,990,120.0
2024-04-13,FMC_FIAMA_BODY_WASH_001,203.32,911,120.0
2024-04-20,FMC_FIAMA_BODY_WASH_001,197.45,1011,120.0
2024-04-27,FMC_FIAMA_BODY_WASH_001,203.74,852,120.0
2024-05-04,FMC_FIAMA_BODY_WASH_001,202.14,809,120.0
2024-05-11,FMC_FIAMA_BODY_WASH_001,198.01,2319,120.0
2024-05-18,FMC_FIAMA_BODY_WASH_001,201.21,968,120.0
