date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,199.17,189.20999999999998,209.13
2023-07-08,201.16,191.1,211.22
2023-07-15,200.31,190.29,210.33
2023-07-22,200.81,190.77,210.85
2023-07-29,199.1,189.14,209.06
2023-08-05,199.13,189.17,209.09
2023-08-12,204.13,193.92,214.34
2023-08-19,200.44,190.42,210.46
2023-08-26,200.8,190.76000000000002,210.84
2023-09-02,204.7,194.47,214.92999999999998
2023-09-09,208.0,197.6,218.4
2023-09-16,205.14,194.88,215.39999999999998
2023-09-23,205.56,195.28,215.84
2023-09-30,208.1,197.69,218.51
2023-10-07,205.26,195.0,215.51999999999998
2023-10-14,210.51,199.98,221.04
2023-10-21,208.79,198.35,219.23
2023-10-28,202.48,192.35999999999999,212.6
2023-11-04,202.01,191.91,212.10999999999999
2023-11-11,205.92,195.61999999999998,216.22
2023-11-18,209.14,198.67999999999998,219.6
2023-11-25,211.43,200.86,222.0
2023-12-02,207.35,196.98,217.72
2023-12-09,208.89,198.45,219.32999999999998
2023-12-16,209.72,199.23,220.21
2023-12-23,209.49,199.02,219.96
2023-12-30,210.02,199.52,220.52
2024-01-06,211.0,200.45,221.55
2024-01-13,211.71,201.12,222.3
2024-01-20,210.53,200.0,221.06
2024-01-27,212.93,202.28,223.58
2024-02-03,213.61,202.93,224.29000000000002
2024-02-10,214.62,203.89000000000001,225.35
2024-02-17,209.92,199.42,220.42
2024-02-24,210.43,199.91,220.95000000000002
2024-03-02,214.59,203.86,225.32
2024-03-09,214.97,204.22,225.72
2024-03-16,217.19,206.32999999999998,228.05
2024-03-23,215.25,204.49,226.01
2024-03-30,216.53,205.7,227.36
2024-04-06,213.35,202.68,224.01999999999998
2024-04-13,217.38,206.51,228.25
2024-04-20,215.39,204.61999999999998,226.16
2024-04-27,218.79,207.85,229.73
2024-05-04,219.15,208.19,230.11
2024-05-11,220.22,209.21,231.23
2024-05-18,218.84,207.9,229.78
2024-05-25,221.4,210.33,232.47
2024-06-01,219.67,208.69,230.64999999999998
2024-06-08,219.51,208.53,230.48999999999998
2024-06-15,225.02,213.77,236.27
2024-06-22,218.97,208.02,229.92
2024-06-29,220.07,209.07,231.07
2024-07-06,220.61,209.58,231.64000000000001
2024-07-13,222.43,211.31,233.55
2024-07-20,221.52,210.44,232.60000000000002
2024-07-27,224.03,212.83,235.23
2024-08-03,223.2,212.04,234.35999999999999
2024-08-10,223.26,212.1,234.42
2024-08-17,221.78,210.69,232.87
2024-08-24,220.75,209.71,231.79
2024-08-31,228.61,217.18,240.04000000000002
2024-09-07,227.51,216.13,238.89
2024-09-14,228.1,216.69,239.51
2024-09-21,225.33,214.06,236.60000000000002
2024-09-28,225.17,213.91,236.42999999999998
2024-10-05,227.45,216.07999999999998,238.82
2024-10-12,229.63,218.15,241.10999999999999
2024-10-19,230.35,218.82999999999998,241.87
2024-10-26,232.68,221.05,244.31
2024-11-02,229.24,217.78,240.70000000000002
2024-11-09,228.17,216.76,239.57999999999998
2024-11-16,226.91,215.56,238.26
2024-11-23,228.86,217.42000000000002,240.3
2024-11-30,230.03,218.53,241.53
2024-12-07,227.97,216.57,239.37
2024-12-14,234.67,222.94,246.39999999999998
2024-12-21,233.58,221.9,245.26000000000002
2024-12-28,235.84,224.05,247.63
2025-01-04,231.24,219.68,242.8
2025-01-11,231.99,220.39000000000001,243.59
2025-01-18,232.53,220.9,244.16
2025-01-25,235.66,223.88,247.44
2025-02-01,236.1,224.29999999999998,247.9
2025-02-08,236.29,224.48,248.1
2025-02-15,236.59,224.76,248.42000000000002
2025-02-22,233.52,221.84,245.20000000000002
2025-03-01,237.87,225.98000000000002,249.76
2025-03-08,235.5,223.72,247.28
2025-03-15,238.25,226.34,250.16
2025-03-22,237.17,225.31,249.02999999999997
2025-03-29,235.47,223.7,247.24
2025-04-05,241.03,228.98,253.08
2025-04-12,242.3,230.18,254.42000000000002
2025-04-19,245.57,233.29,257.84999999999997
2025-04-26,242.27,230.16000000000003,254.38
2025-05-03,241.14,229.07999999999998,253.2
2025-05-10,239.6,227.62,251.57999999999998
2025-05-17,237.12,225.26,248.98000000000002
2025-05-24,243.6,231.42,255.78
2025-05-31,240.07,228.07,252.07
2025-06-07,241.45,229.38,253.51999999999998
2025-06-14,245.63,233.35,257.90999999999997
2025-06-21,242.26,230.14999999999998,254.37
2025-06-28,245.19,232.93,257.45
2025-07-05,241.96,229.86,254.06
2025-07-12,248.28,235.87,260.69
2025-07-19,243.81,231.62,256.0
2025-07-26,246.34,234.02,258.66
2025-08-02,242.97,230.82,255.12
2025-08-09,244.28,232.07,256.49
2025-08-16,242.87,230.73000000000002,255.01
2025-08-23,244.55,232.32000000000002,256.78000000000003
2025-08-30,245.19,232.93,257.45
2025-09-06,245.05,232.8,257.3
2025-09-13,246.03,233.73,258.33
2025-09-20,250.66,238.13,263.19
2025-09-27,250.76,238.22,263.3
2025-10-04,245.38,233.10999999999999,257.65
2025-10-11,247.91,235.51,260.31
2025-10-18,247.76,235.37,260.15
2025-10-25,250.4,237.88,262.92
2025-11-01,251.37,238.8,263.94
