date,units_in_stock,avg_daily_sales_14d
2023-07-01,3224,110.86
2023-07-08,2482,110.14
2023-07-15,2369,108.29
2023-07-22,2469,97.43
2023-07-29,2466,101.0
2023-08-05,2449,101.43
2023-08-12,2450,95.71
2023-08-19,2575,85.86
2023-08-26,2599,90.71
2023-09-02,2557,84.29
2023-09-09,2674,89.14
2023-09-16,2467,95.71
2023-09-23,2560,92.71
2023-09-30,2626,87.71
2023-10-07,2512,95.57
2023-10-14,2661,81.14
2023-10-21,2493,84.57
2023-10-28,2576,90.43
2023-11-04,2626,87.71
2023-11-11,2676,92.29
2023-11-18,2632,88.86
2023-11-25,2530,95.71
2023-12-02,2409,98.29
2023-12-09,2535,101.29
2023-12-16,2510,90.43
2023-12-23,2361,103.43
2023-12-30,2443,96.57
2024-01-06,2537,95.57
2024-01-13,2549,104.29
2024-01-20,2680,101.0
2024-01-27,2521,102.43
2024-02-03,2448,112.86
2024-02-10,2461,114.29
2024-02-17,2379,104.14
2024-02-24,2381,116.57
2024-03-02,2450,104.29
2024-03-09,2501,111.29
2024-03-16,2542,118.71
2024-03-23,2384,112.86
2024-03-30,2350,115.43
2024-04-06,2492,95.29
2024-04-13,2483,110.0
2024-04-20,2574,106.57
2024-04-27,2381,115.43
2024-05-04,2415,116.71
2024-05-11,1296,261.14
2024-05-18,2479,99.29
2024-05-25,2438,97.57
2024-06-01,2517,99.57
2024-06-08,2477,102.86
2024-06-15,2573,96.43
2024-06-22,2512,86.0
2024-06-29,2642,93.29
2024-07-06,2610,94.14
2024-07-13,2732,85.14
2024-07-20,2698,87.14
2024-07-27,2597,78.14
2024-08-03,2596,79.14
2024-08-10,2514,79.29
2024-08-17,2737,73.71
2024-08-24,2735,72.86
2024-08-31,2635,77.71
2024-09-07,2809,75.57
2024-09-14,2565,71.14
2024-09-21,2775,76.86
2024-09-28,2899,62.0
2024-10-05,2785,67.71
2024-10-12,2795,66.57
2024-10-19,2567,68.86
2024-10-26,2768,71.57
2024-11-02,2684,71.29
2024-11-09,2534,72.57
2024-11-16,2682,70.71
2024-11-23,2608,78.86
2024-11-30,2537,71.57
2024-12-07,2739,71.14
2024-12-14,2552,78.57
2024-12-21,2680,81.14
2024-12-28,2728,74.29
2025-01-04,2592,92.14
2025-01-11,2773,75.57
2025-01-18,2794,77.0
2025-01-25,2600,67.86
2025-02-01,2598,91.29
2025-02-08,2787,77.0
2025-02-15,2668,84.14
2025-02-22,2450,94.0
2025-03-01,2569,90.57
2025-03-08,2509,100.86
2025-03-15,2527,95.43
2025-03-22,2575,86.86
2025-03-29,2624,88.43
2025-04-05,2692,86.14
2025-04-12,2453,92.14
2025-04-19,2583,84.29
2025-04-26,2570,86.86
2025-05-03,2583,87.71
2025-05-10,2686,86.0
2025-05-17,2647,81.86
2025-05-24,2562,86.43
2025-05-31,2694,75.0
2025-06-07,2795,82.86
2025-06-14,2659,68.86
2025-06-21,2572,74.86
2025-06-28,2719,71.71
2025-07-05,2693,64.71
2025-07-12,2758,64.29
2025-07-19,2858,69.43
2025-07-26,2681,65.86
2025-08-02,2834,57.29
2025-08-09,2157,136.71
2025-08-16,2974,59.43
2025-08-23,2780,59.43
2025-08-30,2763,63.14
2025-09-06,2709,55.29
2025-09-13,2865,52.43
2025-09-20,2727,53.0
2025-09-27,2828,52.71
2025-10-04,2812,56.0
2025-10-11,2836,58.43
2025-10-18,2750,62.14
2025-10-25,2717,55.71
2025-11-01,2777,63.43
2025-11-08,2814,54.71
2025-11-15,2815,58.57
2025-11-22,2799,62.29
2025-11-29,2702,61.86
2025-12-06,2647,66.43
2025-12-13,2813,63.57
2025-12-20,2759,68.0
2025-12-27,2727,65.57
2026-01-03,2747,74.43
2026-01-10,2823,65.71
2026-01-17,2644,70.0
2026-01-24,2644,70.86
2026-01-31,2730,72.29
2026-02-07,2687,68.57
2026-02-14,2690,73.71
2026-02-21,2686,73.71
2026-02-28,2620,81.14
2026-03-07,2730,72.86
2026-03-14,2537,78.29
2026-03-21,2602,71.0
2026-03-28,2633,72.71
2026-04-04,2645,71.43
2026-04-11,2627,70.43
2026-04-18,2673,72.29
2026-04-25,2640,82.29
2026-05-02,2682,69.57
2026-05-09,2805,63.71
2026-05-16,2747,68.43
2026-05-23,2795,65.0
2026-05-30,2774,67.43
2026-06-06,2777,56.0
2026-06-13,2700,65.86
2026-06-20,2878,59.43
