date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_FIAMA_BODY_WASH_001,205.35,742,120.0
2023-07-08,FMC_FIAMA_BODY_WASH_001,204.94,739,120.12
2023-07-15,FMC_FIAMA_BODY_WASH_001,196.66,835,120.24
2023-07-22,FMC_FIAMA_BODY_WASH_001,201.58,758,120.36
2023-07-29,FMC_FIAMA_BODY_WASH_001,201.28,686,120.48
2023-08-05,FMC_FIAMA_BODY_WASH_001,198.01,721,120.6
2023-08-12,FMC_FIAMA_BODY_WASH_001,197.76,741,120.72
2023-08-19,FMC_FIAMA_BODY_WASH_001,207.06,632,120.84
2023-08-26,FMC_FIAMA_BODY_WASH_001,199.41,741,120.96
2023-09-02,FMC_FIAMA_BODY_WASH_001,206.52,611,121.08
2023-09-09,FMC_FIAMA_BODY_WASH_001,200.94,626,121.2
2023-09-16,FMC_FIAMA_BODY_WASH_001,195.74,723,121.32
2023-09-23,FMC_FIAMA_BODY_WASH_001,202.67,636,121.44
2023-09-30,FMC_FIAMA_BODY_WASH_001,194.53,703,121.56
2023-10-07,FMC_FIAMA_BODY_WASH_001,209.88,572,121.68
2023-10-14,FMC_FIAMA_BODY_WASH_001,195.47,695,121.8
2023-10-21,FMC_FIAMA_BODY_WASH_001,193.09,787,121.92
2023-10-28,FMC_FIAMA_BODY_WASH_001,201.53,731,122.04
2023-11-04,FMC_FIAMA_BODY_WASH_001,195.18,723,122.16
2023-11-11,FMC_FIAMA_BODY_WASH_001,198.82,653,122.28
2023-11-18,FMC_FIAMA_BODY_WASH_001,197.35,693,122.4
2023-11-25,FMC_FIAMA_BODY_WASH_001,204.2,709,122.52
2023-12-02,FMC_FIAMA_BODY_WASH_001,196.83,697,122.64
2023-12-09,FMC_FIAMA_BODY_WASH_001,200.6,744,122.76
2023-12-16,FMC_FIAMA_BODY_WASH_001,201.91,759,122.88
2023-12-23,FMC_FIAMA_BODY_WASH_001,192.8,856,123.0
2023-12-30,FMC_FIAMA_BODY_WASH_001,197.62,847,123.12
2024-01-06,FMC_FIAMA_BODY_WASH_001,206.96,852,123.24
2024-01-13,FMC_FIAMA_BODY_WASH_001,200.94,803,123.36
2024-01-20,FMC_FIAMA_BODY_WASH_001,200.96,832,123.48
2024-01-27,FMC_FIAMA_BODY_WASH_001,196.85,933,123.6
2024-02-03,FMC_FIAMA_BODY_WASH_001,206.65,760,123.72
2024-02-10,FMC_FIAMA_BODY_WASH_001,199.9,983,123.84
2024-02-17,FMC_FIAMA_BODY_WASH_001,199.89,857,123.96
2024-02-24,FMC_FIAMA_BODY_WASH_001,206.48,820,124.08
2024-03-02,FMC_FIAMA_BODY_WASH_001,202.01,888,124.2
2024-03-09,FMC_FIAMA_BODY_WASH_001,202.22,982,124.32
2024-03-16,FMC_FIAMA_BODY_WASH_001,203.87,900,124.44
2024-03-23,FMC_FIAMA_BODY_WASH_001,206.98,807,124.56
2024-03-30,FMC_FIAMA_BODY_WASH_001,199.35,948,124.68
2024-04-06,FMC_FIAMA_BODY_WASH_001,197.89,1019,124.8
2024-04-13,FMC_FIAMA_BODY_WASH_001,204.57,955,124.92
2024-04-20,FMC_FIAMA_BODY_WASH_001,204.17,909,125.04
2024-04-27,FMC_FIAMA_BODY_WASH_001,197.54,956,125.16
2024-05-04,FMC_FIAMA_BODY_WASH_001,198.36,928,125.28
2024-05-11,FMC_FIAMA_BODY_WASH_001,202.45,2210,125.4
2024-05-18,FMC_FIAMA_BODY_WASH_001,204.29,850,125.52
2024-05-25,FMC_FIAMA_BODY_WASH_001,198.89,895,125.64
2024-06-01,FMC_FIAMA_BODY_WASH_001,199.93,879,125.76
2024-06-08,FMC_FIAMA_BODY_WASH_001,198.81,856,125.88
