date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,196.42,186.6,206.23999999999998
2023-07-08,199.0,189.05,208.95
2023-07-15,202.46,192.34,212.58
2023-07-22,200.63,190.6,210.66
2023-07-29,210.92,200.36999999999998,221.47
2023-08-05,204.27,194.06,214.48000000000002
2023-08-12,203.05,192.9,213.20000000000002
2023-08-19,200.41,190.39,210.43
2023-08-26,199.71,189.72,209.70000000000002
2023-09-02,204.22,194.01,214.43
2023-09-09,196.47,186.65,206.29
2023-09-16,195.8,186.01000000000002,205.59
2023-09-23,192.07,182.47,201.67
2023-09-30,187.01,177.66,196.35999999999999
2023-10-07,209.63,199.15,220.10999999999999
2023-10-14,197.14,187.27999999999997,207.0
2023-10-21,199.73,189.73999999999998,209.72
2023-10-28,188.13,178.72,197.54
2023-11-04,191.9,182.3,201.5
2023-11-11,208.99,198.54000000000002,219.44
2023-11-18,193.13,183.47,202.79
2023-11-25,210.96,200.41,221.51000000000002
2023-12-02,199.21,189.25,209.17000000000002
2023-12-09,202.74,192.60000000000002,212.88
2023-12-16,198.58,188.65,208.51000000000002
2023-12-23,200.72,190.68,210.76
2023-12-30,209.17,198.70999999999998,219.63
2024-01-06,204.43,194.21,214.65
2024-01-13,202.22,192.11,212.32999999999998
2024-01-20,208.77,198.33,219.21
2024-01-27,205.62,195.34,215.9
2024-02-03,204.74,194.5,214.98000000000002
2024-02-10,203.44,193.27,213.60999999999999
2024-02-17,201.84,191.75,211.93
2024-02-24,198.88,188.94,208.82
2024-03-02,205.14,194.88,215.39999999999998
2024-03-09,206.66,196.32999999999998,216.99
2024-03-16,203.03,192.88,213.18
2024-03-23,209.17,198.70999999999998,219.63
2024-03-30,193.94,184.24,203.64
2024-04-06,200.28,190.27,210.29
2024-04-13,206.97,196.62,217.32
2024-04-20,195.23,185.47,204.98999999999998
2024-04-27,199.92,189.92,209.92
2024-05-04,202.51,192.38,212.64
2024-05-11,206.51,196.17999999999998,216.84
2024-05-18,192.64,183.01,202.26999999999998
2024-05-25,202.07,191.97,212.17
2024-06-01,204.44,194.22,214.66
2024-06-08,200.86,190.82000000000002,210.9
2024-06-15,204.87,194.63,215.11
2024-06-22,203.86,193.67000000000002,214.05
2024-06-29,203.8,193.61,213.99
2024-07-06,209.23,198.76999999999998,219.69
2024-07-13,205.28,195.02,215.54
2024-07-20,209.11,198.65,219.57000000000002
2024-07-27,206.55,196.22,216.88000000000002
2024-08-03,206.54,196.20999999999998,216.87
2024-08-10,200.78,190.74,210.82
2024-08-17,205.83,195.54000000000002,216.12
2024-08-24,190.92,181.36999999999998,200.47
2024-08-31,200.86,190.82000000000002,210.9
2024-09-07,203.88,193.69,214.07
2024-09-14,204.25,194.04,214.46
2024-09-21,199.07,189.12,209.01999999999998
2024-09-28,196.71,186.87,206.55
2024-10-05,208.98,198.53,219.42999999999998
2024-10-12,194.85,185.10999999999999,204.59
2024-10-19,199.2,189.23999999999998,209.16
2024-10-26,193.4,183.73000000000002,203.07
2024-11-02,201.03,190.98,211.08
2024-11-09,198.53,188.6,208.46
2024-11-16,188.64,179.20999999999998,198.07
2024-11-23,205.78,195.49,216.07
2024-11-30,200.54,190.51,210.57
2024-12-07,191.46,181.89000000000001,201.03
2024-12-14,197.7,187.82,207.57999999999998
2024-12-21,210.64,200.10999999999999,221.17
2024-12-28,209.32,198.85,219.79
2025-01-04,201.73,191.64,211.82
2025-01-11,201.55,191.47,211.63000000000002
2025-01-18,201.2,191.14,211.26
2025-01-25,207.4,197.03,217.77
2025-02-01,205.23,194.97,215.48999999999998
2025-02-08,208.26,197.85,218.67
2025-02-15,189.93,180.43,199.43
2025-02-22,202.46,192.34,212.58
2025-03-01,191.23,181.67,200.79
2025-03-08,198.51,188.57999999999998,208.44
2025-03-15,188.04,178.64,197.44
2025-03-22,187.76,178.37,197.14999999999998
2025-03-29,217.57,206.69,228.45
2025-04-05,181.22,172.16,190.28
2025-04-12,204.93,194.68,215.18
2025-04-19,204.67,194.44,214.89999999999998
2025-04-26,210.21,199.70000000000002,220.72
2025-05-03,206.54,196.20999999999998,216.87
2025-05-10,206.64,196.30999999999997,216.97
2025-05-17,194.76,185.01999999999998,204.5
2025-05-24,196.19,186.38,206.0
2025-05-31,190.3,180.78,199.82000000000002
2025-06-07,198.31,188.39000000000001,208.23
2025-06-14,191.8,182.21,201.39000000000001
2025-06-21,206.51,196.17999999999998,216.84
2025-06-28,218.12,207.21,229.03
2025-07-05,202.44,192.32,212.56
2025-07-12,199.66,189.68,209.64
2025-07-19,209.41,198.94,219.88
2025-07-26,186.65,177.32,195.98000000000002
2025-08-02,196.51,186.67999999999998,206.34
2025-08-09,202.57,192.44,212.7
2025-08-16,200.85,190.81,210.89
2025-08-23,196.8,186.96,206.64000000000001
2025-08-30,201.29,191.23,211.35
2025-09-06,196.6,186.76999999999998,206.43
2025-09-13,201.93,191.83,212.03
2025-09-20,202.37,192.25,212.49
2025-09-27,192.08,182.48000000000002,201.68
2025-10-04,199.2,189.23999999999998,209.16
2025-10-11,204.18,193.97,214.39000000000001
2025-10-18,195.61,185.83,205.39000000000001
2025-10-25,195.59,185.81,205.37
2025-11-01,202.93,192.78,213.08
2025-11-08,205.02,194.77,215.27
2025-11-15,193.18,183.52,202.84
2025-11-22,198.56,188.63,208.49
2025-11-29,201.33,191.26000000000002,211.4
2025-12-06,203.64,193.45999999999998,213.82
2025-12-13,202.33,192.21,212.45000000000002
2025-12-20,190.15,180.64000000000001,199.66
2025-12-27,188.76,179.32,198.2
2026-01-03,194.73,184.98999999999998,204.47
2026-01-10,198.52,188.59,208.45000000000002
2026-01-17,196.08,186.28,205.88000000000002
2026-01-24,195.12,185.36,204.88
2026-01-31,200.01,190.01,210.01
2026-02-07,195.23,185.47,204.98999999999998
2026-02-14,199.74,189.75,209.73000000000002
2026-02-21,193.77,184.08,203.46
2026-02-28,201.61,191.53,211.69000000000003
2026-03-07,197.83,187.94,207.72000000000003
2026-03-14,192.34,182.72,201.96
2026-03-21,205.42,195.14999999999998,215.69
2026-03-28,199.06,189.11,209.01
2026-04-04,206.76,196.42,217.1
2026-04-11,197.86,187.97000000000003,207.75
2026-04-18,209.09,198.64000000000001,219.54
2026-04-25,206.08,195.78,216.38000000000002
2026-05-02,196.19,186.38,206.0
2026-05-09,203.19,193.03,213.35
2026-05-16,204.88,194.64,215.12
2026-05-23,211.1,200.54999999999998,221.65
2026-05-30,191.39,181.82,200.95999999999998
2026-06-06,205.96,195.66,216.26000000000002
2026-06-13,203.93,193.73000000000002,214.13
2026-06-20,195.92,186.11999999999998,205.72
