date,cci_current,cci_baseline,google_trends_score
2023-07-01,102.7,100.0,43.1
2023-07-08,101.1,100.0,49.8
2023-07-15,101.0,100.0,45.3
2023-07-22,101.5,100.0,47.8
2023-07-29,101.6,100.0,41.9
2023-08-05,100.2,100.0,39.2
2023-08-12,100.7,100.0,42.8
2023-08-19,101.0,100.0,34.9
2023-08-26,99.1,100.0,32.9
2023-09-02,101.1,100.0,37.9
2023-09-09,99.1,100.0,27.3
2023-09-16,100.1,100.0,27.9
2023-09-23,98.0,100.0,32.1
2023-09-30,98.5,100.0,46.7
2023-10-07,99.7,100.0,34.2
2023-10-14,102.4,100.0,26.2
2023-10-21,100.7,100.0,27.4
2023-10-28,102.0,100.0,32.1
2023-11-04,102.4,100.0,30.9
2023-11-11,100.0,100.0,30.1
2023-11-18,99.6,100.0,40.2
2023-11-25,99.2,100.0,36.0
2023-12-02,100.6,100.0,38.9
2023-12-09,98.0,100.0,48.2
2023-12-16,100.6,100.0,46.0
2023-12-23,101.7,100.0,46.8
2023-12-30,100.1,100.0,64.4
2024-01-06,99.2,100.0,55.5
2024-01-13,102.4,100.0,57.0
2024-01-20,101.2,100.0,49.1
2024-01-27,99.1,100.0,53.5
2024-02-03,100.5,100.0,68.8
2024-02-10,100.6,100.0,64.7
2024-02-17,97.9,100.0,69.9
2024-02-24,100.1,100.0,61.9
2024-03-02,98.9,100.0,66.6
2024-03-09,101.5,100.0,67.4
2024-03-16,97.5,100.0,68.4
2024-03-23,100.7,100.0,67.3
2024-03-30,102.4,100.0,65.3
2024-04-06,99.0,100.0,68.9
2024-04-13,98.9,100.0,69.8
2024-04-20,101.7,100.0,66.6
2024-04-27,101.1,100.0,63.7
2024-05-04,100.2,100.0,73.4
2024-05-11,98.9,100.0,65.9
2024-05-18,101.0,100.0,54.5
2024-05-25,100.6,100.0,49.7
2024-06-01,98.3,100.0,55.2
2024-06-08,100.6,100.0,55.5
2024-06-15,98.4,100.0,48.9
2024-06-22,101.3,100.0,51.6
2024-06-29,98.3,100.0,46.2
2024-07-06,101.1,100.0,48.8
2024-07-13,101.0,100.0,46.0
2024-07-20,102.1,100.0,53.0
2024-07-27,99.7,100.0,43.4
2024-08-03,98.8,100.0,40.2
2024-08-10,99.5,100.0,40.5
2024-08-17,98.6,100.0,31.7
2024-08-24,100.9,100.0,37.9
2024-08-31,101.3,100.0,41.7
2024-09-07,101.0,100.0,34.2
2024-09-14,101.1,100.0,36.9
2024-09-21,98.3,100.0,27.6
2024-09-28,97.7,100.0,33.7
2024-10-05,98.9,100.0,29.2
2024-10-12,100.1,100.0,36.8
2024-10-19,101.1,100.0,41.0
2024-10-26,100.8,100.0,31.3
2024-11-02,100.0,100.0,44.9
2024-11-09,98.4,100.0,47.5
2024-11-16,100.7,100.0,31.4
2024-11-23,100.0,100.0,34.7
2024-11-30,101.1,100.0,38.7
2024-12-07,97.7,100.0,50.1
2024-12-14,101.2,100.0,46.1
2024-12-21,100.4,100.0,48.1
2024-12-28,99.5,100.0,54.6
2025-01-04,99.2,100.0,64.7
2025-01-11,98.6,100.0,50.9
2025-01-18,98.7,100.0,56.6
2025-01-25,98.7,100.0,58.7
2025-02-01,100.3,100.0,67.8
2025-02-08,99.2,100.0,72.8
2025-02-15,98.8,100.0,62.5
2025-02-22,103.0,100.0,63.7
2025-03-01,100.6,100.0,70.9
2025-03-08,99.0,100.0,77.1
2025-03-15,99.4,100.0,67.9
2025-03-22,101.0,100.0,75.5
2025-03-29,98.7,100.0,69.6
2025-04-05,98.1,100.0,62.3
2025-04-12,99.2,100.0,75.1
2025-04-19,99.0,100.0,75.9
2025-04-26,100.3,100.0,61.3
2025-05-03,98.5,100.0,62.1
2025-05-10,97.9,100.0,60.3
2025-05-17,95.9,100.0,64.7
2025-05-24,101.6,100.0,62.4
2025-05-31,101.9,100.0,58.1
2025-06-07,101.0,100.0,57.0
2025-06-14,99.5,100.0,58.1
2025-06-21,101.4,100.0,52.0
2025-06-28,98.4,100.0,54.7
2025-07-05,100.8,100.0,47.3
2025-07-12,100.1,100.0,49.5
2025-07-19,102.2,100.0,43.7
2025-07-26,99.3,100.0,42.5
2025-08-02,98.5,100.0,35.9
2025-08-09,98.9,100.0,100.0
2025-08-16,98.7,100.0,34.6
2025-08-23,100.2,100.0,35.5
2025-08-30,95.8,100.0,37.0
2025-09-06,101.5,100.0,31.4
2025-09-13,100.7,100.0,28.7
2025-09-20,97.6,100.0,34.6
2025-09-27,99.2,100.0,20.3
