date,units_in_stock,avg_daily_sales_14d
2023-07-01,2449,221.57
2023-07-08,2525,96.43
2023-07-15,2682,97.86
2023-07-22,2640,93.57
2023-07-29,1841,202.29
2023-08-05,2585,91.71
2023-08-12,2599,98.29
2023-08-19,2406,80.71
2023-08-26,1946,175.71
2023-09-02,2651,82.29
2023-09-09,2608,88.43
2023-09-16,2689,86.14
2023-09-23,2051,181.29
2023-09-30,2626,84.57
2023-10-07,2520,81.86
2023-10-14,2507,83.43
2023-10-21,1859,194.71
2023-10-28,2564,79.86
2023-11-04,2553,92.29
2023-11-11,2488,89.86
2023-11-18,1838,197.29
2023-11-25,2420,99.29
2023-12-02,2584,92.71
2023-12-09,2700,92.29
2023-12-16,1794,213.14
2023-12-23,2547,90.71
2023-12-30,2364,110.57
2024-01-06,2325,110.43
2024-01-13,1747,204.71
2024-01-20,2469,98.0
2024-01-27,2518,112.43
2024-02-03,2397,111.43
2024-02-10,1633,212.86
2024-02-17,2448,110.14
2024-02-24,2307,120.14
2024-03-02,2336,116.14
2024-03-09,1302,276.0
2024-03-16,2331,116.14
2024-03-23,2285,128.43
2024-03-30,2338,123.14
2024-04-06,1539,231.14
2024-04-13,2237,126.29
2024-04-20,2306,119.86
2024-04-27,2440,115.43
2024-05-04,1488,259.0
2024-05-11,1103,284.43
2024-05-18,2324,118.57
2024-05-25,2366,122.14
2024-06-01,1492,254.57
2024-06-08,2473,111.57
2024-06-15,2511,114.0
2024-06-22,2328,105.86
2024-06-29,1583,241.0
2024-07-06,2500,94.0
2024-07-13,2420,105.14
2024-07-20,2656,100.57
2024-07-27,1669,209.29
2024-08-03,2576,82.43
2024-08-10,2510,90.57
2024-08-17,2680,87.29
2024-08-24,1761,209.71
2024-08-31,2547,87.57
2024-09-07,2614,83.57
2024-09-14,2579,82.0
2024-09-21,1732,201.57
2024-09-28,2710,81.14
2024-10-05,2654,91.0
2024-10-12,2660,80.86
2024-10-19,1937,184.86
2024-10-26,2659,86.29
2024-11-02,2657,84.29
2024-11-09,2470,99.29
2024-11-16,1753,205.57
2024-11-23,2595,101.71
2024-11-30,2582,87.86
2024-12-07,2809,92.71
2024-12-14,1836,202.29
2024-12-21,2570,97.86
2024-12-28,2371,110.43
2025-01-04,2351,110.71
2025-01-11,1596,231.43
2025-01-18,2567,98.29
2025-01-25,2484,113.0
2025-02-01,2481,109.29
2025-02-08,1416,251.86
2025-02-15,2431,120.29
2025-02-22,2229,124.0
2025-03-01,2402,120.86
2025-03-08,1194,259.43
2025-03-15,2312,115.71
2025-03-22,2320,129.29
2025-03-29,2376,117.14
2025-04-05,1412,241.86
2025-04-12,2371,124.0
2025-04-19,2409,128.86
2025-04-26,2192,118.43
2025-05-03,1363,276.71
2025-05-10,2387,116.43
2025-05-17,2348,116.57
2025-05-24,2391,112.43
2025-05-31,1369,239.71
2025-06-07,2571,105.29
2025-06-14,2472,111.57
2025-06-21,2449,95.29
2025-06-28,1236,262.86
2025-07-05,2470,101.14
2025-07-12,2526,99.29
2025-07-19,2602,96.14
2025-07-26,1825,203.57
2025-08-02,2599,88.71
2025-08-09,1764,198.43
2025-08-16,2390,97.0
2025-08-23,1950,181.86
2025-08-30,2532,91.0
2025-09-06,2647,84.43
2025-09-13,2598,88.29
2025-09-20,1958,180.57
2025-09-27,2730,82.14
2025-10-04,2666,86.57
2025-10-11,2633,88.57
2025-10-18,1889,180.43
2025-10-25,2640,90.0
2025-11-01,2586,90.29
2025-11-08,2674,86.14
2025-11-15,1895,186.43
2025-11-22,2522,93.71
2025-11-29,2684,95.71
2025-12-06,2460,89.57
2025-12-13,1877,208.0
2025-12-20,2554,105.86
2025-12-27,2350,106.29
2026-01-03,2435,106.29
2026-01-10,1550,220.71
2026-01-17,2408,111.86
2026-01-24,2486,104.14
2026-01-31,2326,118.57
2026-02-07,1574,244.14
2026-02-14,2443,107.14
2026-02-21,2445,120.57
2026-02-28,2317,116.43
2026-03-07,1321,244.0
2026-03-14,2511,125.14
2026-03-21,2359,120.86
2026-03-28,2228,123.57
2026-04-04,1408,261.43
2026-04-11,2416,124.86
2026-04-18,2293,123.0
2026-04-25,2295,120.0
2026-05-02,1212,273.86
2026-05-09,2502,119.71
2026-05-16,2437,113.86
2026-05-23,2333,106.71
2026-05-30,1635,226.0
2026-06-06,2525,110.14
2026-06-13,2433,101.86
2026-06-20,2358,116.71
