date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_FIAMA_BODY_WASH_001,160.0,1551,120.0
2023-07-08,FMC_FIAMA_BODY_WASH_001,213.85,675,120.0
2023-07-15,FMC_FIAMA_BODY_WASH_001,209.58,685,120.0
2023-07-22,FMC_FIAMA_BODY_WASH_001,210.87,655,120.0
2023-07-29,FMC_FIAMA_BODY_WASH_001,160.0,1416,120.0
2023-08-05,FMC_FIAMA_BODY_WASH_001,211.61,642,120.0
2023-08-12,FMC_FIAMA_BODY_WASH_001,205.25,688,120.0
2023-08-19,FMC_FIAMA_BODY_WASH_001,209.8,565,120.0
2023-08-26,FMC_FIAMA_BODY_WASH_001,160.0,1230,120.0
2023-09-02,FMC_FIAMA_BODY_WASH_001,210.26,576,120.0
2023-09-09,FMC_FIAMA_BODY_WASH_001,207.86,619,120.0
2023-09-16,FMC_FIAMA_BODY_WASH_001,209.22,603,120.0
2023-09-23,FMC_FIAMA_BODY_WASH_001,160.0,1269,120.0
2023-09-30,FMC_FIAMA_BODY_WASH_001,208.24,592,120.0
2023-10-07,FMC_FIAMA_BODY_WASH_001,213.26,573,120.0
2023-10-14,FMC_FIAMA_BODY_WASH_001,207.47,584,120.0
2023-10-21,FMC_FIAMA_BODY_WASH_001,160.0,1363,120.0
2023-10-28,FMC_FIAMA_BODY_WASH_001,211.14,559,120.0
2023-11-04,FMC_FIAMA_BODY_WASH_001,211.01,646,120.0
2023-11-11,FMC_FIAMA_BODY_WASH_001,209.53,629,120.0
2023-11-18,FMC_FIAMA_BODY_WASH_001,160.0,1381,120.0
2023-11-25,FMC_FIAMA_BODY_WASH_001,210.53,695,120.0
2023-12-02,FMC_FIAMA_BODY_WASH_001,208.94,649,120.0
2023-12-09,FMC_FIAMA_BODY_WASH_001,212.67,646,120.0
2023-12-16,FMC_FIAMA_BODY_WASH_001,160.0,1492,120.0
2023-12-23,FMC_FIAMA_BODY_WASH_001,211.02,635,120.0
2023-12-30,FMC_FIAMA_BODY_WASH_001,207.46,774,120.0
2024-01-06,FMC_FIAMA_BODY_WASH_001,211.37,773,120.0
2024-01-13,FMC_FIAMA_BODY_WASH_001,160.0,1433,120.0
2024-01-20,FMC_FIAMA_BODY_WASH_001,213.85,686,120.0
2024-01-27,FMC_FIAMA_BODY_WASH_001,211.44,787,120.0
2024-02-03,FMC_FIAMA_BODY_WASH_001,210.58,780,120.0
2024-02-10,FMC_FIAMA_BODY_WASH_001,160.0,1490,120.0
2024-02-17,FMC_FIAMA_BODY_WASH_001,211.51,771,120.0
2024-02-24,FMC_FIAMA_BODY_WASH_001,207.87,841,120.0
2024-03-02,FMC_FIAMA_BODY_WASH_001,208.39,813,120.0
2024-03-09,FMC_FIAMA_BODY_WASH_001,160.0,1932,120.0
2024-03-16,FMC_FIAMA_BODY_WASH_001,216.1,813,120.0
2024-03-23,FMC_FIAMA_BODY_WASH_001,209.44,899,120.0
2024-03-30,FMC_FIAMA_BODY_WASH_001,209.17,862,120.0
2024-04-06,FMC_FIAMA_BODY_WASH_001,160.0,1618,120.0
2024-04-13,FMC_FIAMA_BODY_WASH_001,207.97,884,120.0
2024-04-20,FMC_FIAMA_BODY_WASH_001,211.83,839,120.0
2024-04-27,FMC_FIAMA_BODY_WASH_001,208.45,808,120.0
2024-05-04,FMC_FIAMA_BODY_WASH_001,160.0,1813,120.0
2024-05-11,FMC_FIAMA_BODY_WASH_001,212.14,1991,120.0
2024-05-18,FMC_FIAMA_BODY_WASH_001,209.35,830,120.0
2024-05-25,FMC_FIAMA_BODY_WASH_001,207.42,855,120.0
