date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,205.2,194.94,215.45999999999998
2023-07-08,208.43,198.01000000000002,218.85
2023-07-15,206.22,195.91,216.53
2023-07-22,206.33,196.01000000000002,216.65
2023-07-29,207.83,197.44,218.22000000000003
2023-08-05,213.99,203.29000000000002,224.69
2023-08-12,215.29,204.53,226.04999999999998
2023-08-19,217.2,206.33999999999997,228.06
2023-08-26,217.55,206.67000000000002,228.43
2023-09-02,215.55,204.77,226.33
2023-09-09,214.46,203.74,225.18
2023-09-16,217.08,206.23000000000002,227.93
2023-09-23,221.91,210.81,233.01
2023-09-30,218.33,207.41000000000003,229.25
2023-10-07,225.57,214.29,236.85
2023-10-14,226.14,214.82999999999998,237.45
2023-10-21,229.18,217.72,240.64000000000001
2023-10-28,229.85,218.35999999999999,241.34
2023-11-04,227.8,216.41000000000003,239.19
2023-11-11,221.74,210.65,232.83
2023-11-18,219.19,208.23,230.15
2023-11-25,217.41,206.54,228.28
2023-12-02,214.15,203.44,224.86
2023-12-09,211.3,200.73000000000002,221.87
2023-12-16,206.7,196.35999999999999,217.04
2023-12-23,199.89,189.89999999999998,209.88
2023-12-30,197.08,187.23000000000002,206.93
2024-01-06,197.33,187.46,207.20000000000002
2024-01-13,192.08,182.48000000000002,201.68
2024-01-20,190.01,180.51,199.51
2024-01-27,189.57,180.09,199.04999999999998
2024-02-03,178.88,169.94,187.82
2024-02-10,175.26,166.5,184.01999999999998
2024-02-17,172.3,163.68,180.92000000000002
2024-02-24,171.77,163.18,180.36
2024-03-02,172.69,164.06,181.32
2024-03-09,177.89,169.0,186.77999999999997
2024-03-16,172.16,163.55,180.76999999999998
2024-03-23,172.54,163.91,181.17
2024-03-30,177.33,168.46,186.20000000000002
2024-04-06,184.0,174.8,193.2
2024-04-13,184.3,175.08,193.52
2024-04-20,180.03,171.03,189.03
2024-04-27,186.68,177.35,196.01000000000002
2024-05-04,190.73,181.19,200.26999999999998
2024-05-11,196.64,186.80999999999997,206.47
2024-05-18,202.11,192.0,212.22000000000003
2024-05-25,208.45,198.03,218.86999999999998
2024-06-01,217.44,206.57,228.31
2024-06-08,218.88,207.94,229.82
