date,cci_current,cci_baseline,google_trends_score
2023-07-01,99.9,100.0,49.8
2023-07-08,100.3,100.0,54.0
2023-07-15,98.2,100.0,37.3
2023-07-22,98.3,100.0,43.1
2023-07-29,97.3,100.0,38.1
2023-08-05,99.6,100.0,38.4
2023-08-12,98.6,100.0,34.6
2023-08-19,98.6,100.0,35.2
2023-08-26,101.5,100.0,40.0
2023-09-02,102.6,100.0,34.2
2023-09-09,100.3,100.0,26.9
2023-09-16,100.5,100.0,39.1
2023-09-23,99.4,100.0,33.6
2023-09-30,97.2,100.0,35.9
2023-10-07,99.2,100.0,28.2
2023-10-14,98.9,100.0,34.9
2023-10-21,99.6,100.0,34.9
2023-10-28,100.5,100.0,37.3
2023-11-04,102.0,100.0,40.5
2023-11-11,101.5,100.0,45.3
2023-11-18,96.9,100.0,42.5
2023-11-25,100.5,100.0,34.9
2023-12-02,99.3,100.0,41.3
2023-12-09,100.1,100.0,38.9
2023-12-16,100.1,100.0,52.6
2023-12-23,96.0,100.0,43.0
2023-12-30,100.1,100.0,50.5
2024-01-06,98.0,100.0,48.0
2024-01-13,100.9,100.0,42.0
2024-01-20,100.8,100.0,59.1
2024-01-27,101.4,100.0,49.3
2024-02-03,98.1,100.0,66.4
2024-02-10,99.3,100.0,54.1
2024-02-17,100.4,100.0,63.9
2024-02-24,101.7,100.0,59.6
2024-03-02,100.1,100.0,65.9
2024-03-09,99.3,100.0,69.7
2024-03-16,99.0,100.0,61.1
2024-03-23,99.5,100.0,62.7
2024-03-30,99.0,100.0,62.1
2024-04-06,102.9,100.0,64.8
2024-04-13,100.5,100.0,64.2
2024-04-20,101.3,100.0,61.4
2024-04-27,97.6,100.0,74.5
2024-05-04,101.8,100.0,66.8
2024-05-11,101.2,100.0,69.2
2024-05-18,101.8,100.0,63.4
2024-05-25,98.1,100.0,57.6
2024-06-01,99.8,100.0,56.5
2024-06-08,100.9,100.0,54.2
2024-06-15,99.0,100.0,49.2
2024-06-22,100.7,100.0,55.4
2024-06-29,101.2,100.0,50.4
2024-07-06,101.9,100.0,54.9
2024-07-13,97.3,100.0,47.1
2024-07-20,102.4,100.0,42.9
2024-07-27,101.5,100.0,42.0
2024-08-03,99.7,100.0,48.0
2024-08-10,101.1,100.0,39.1
2024-08-17,100.6,100.0,34.2
2024-08-24,97.3,100.0,30.7
2024-08-31,100.2,100.0,36.3
2024-09-07,96.6,100.0,30.2
2024-09-14,100.0,100.0,28.8
2024-09-21,99.2,100.0,24.0
2024-09-28,97.9,100.0,33.8
2024-10-05,100.2,100.0,28.5
2024-10-12,98.9,100.0,23.3
2024-10-19,99.5,100.0,38.5
2024-10-26,102.2,100.0,40.4
2024-11-02,101.9,100.0,22.7
2024-11-09,99.8,100.0,27.5
2024-11-16,101.0,100.0,36.4
2024-11-23,100.4,100.0,42.4
2024-11-30,100.8,100.0,39.7
2024-12-07,99.8,100.0,39.3
2024-12-14,98.4,100.0,49.8
2024-12-21,100.1,100.0,49.9
2024-12-28,100.5,100.0,54.1
2025-01-04,99.0,100.0,49.3
2025-01-11,98.6,100.0,60.7
2025-01-18,101.6,100.0,49.1
2025-01-25,100.7,100.0,64.5
2025-02-01,99.1,100.0,58.8
2025-02-08,100.4,100.0,59.4
2025-02-15,99.8,100.0,67.3
2025-02-22,98.4,100.0,64.7
2025-03-01,98.9,100.0,60.9
2025-03-08,102.0,100.0,71.7
2025-03-15,101.8,100.0,56.3
2025-03-22,99.9,100.0,63.2
2025-03-29,99.0,100.0,62.2
