date,units_in_stock,avg_daily_sales_14d
2023-07-01,2400,113.57
2023-07-08,2451,102.14
2023-07-15,2316,119.71
2023-07-22,2374,89.86
2023-07-29,2452,106.14
2023-08-05,2431,109.14
2023-08-12,2637,100.43
2023-08-19,2868,99.0
2023-08-26,3050,94.0
2023-09-02,3280,88.29
2023-09-09,3309,93.71
2023-09-16,3497,91.57
2023-09-23,3652,86.0
2023-09-30,3714,89.57
2023-10-07,3810,91.0
2023-10-14,3902,88.57
2023-10-21,4096,100.14
2023-10-28,4254,97.57
2023-11-04,4486,86.0
2023-11-11,4516,97.14
2023-11-18,4600,106.14
2023-11-25,4744,99.71
2023-12-02,4715,106.71
2023-12-09,4567,114.29
2023-12-16,4542,103.0
2023-12-23,4508,121.29
2023-12-30,4511,111.29
2024-01-06,4371,127.86
2024-01-13,4156,130.29
2024-01-20,4096,118.0
2024-01-27,4174,131.14
2024-02-03,4206,125.0
2024-02-10,3927,139.71
2024-02-17,3765,118.29
2024-02-24,3707,130.86
2024-03-02,3542,126.14
2024-03-09,3479,126.71
2024-03-16,3324,122.86
2024-03-23,3226,137.14
2024-03-30,3103,124.57
2024-04-06,2984,139.86
2024-04-13,2888,130.14
2024-04-20,2664,147.0
2024-04-27,2554,129.86
2024-05-04,2336,128.29
2024-05-11,834,324.71
2024-05-18,677,134.43
2024-05-25,575,134.71
2024-06-01,307,139.43
2024-06-08,912,43.86
2024-06-15,903,119.71
2024-06-22,850,119.14
2024-06-29,872,114.0
2024-07-06,793,119.43
2024-07-13,656,136.43
2024-07-20,463,125.14
2024-07-27,422,121.43
2024-08-03,368,115.14
2024-08-10,381,114.71
2024-08-17,306,121.43
2024-08-24,818,43.71
2024-08-31,933,97.14
2024-09-07,1009,90.14
2024-09-14,987,86.14
2024-09-21,1186,89.86
2024-09-28,1474,91.14
2024-10-05,1469,102.86
2024-10-12,1476,99.86
2024-10-19,1603,92.0
2024-10-26,1799,93.29
2024-11-02,1938,91.43
2024-11-09,2169,98.71
2024-11-16,2153,108.57
2024-11-23,2184,106.43
2024-11-30,2353,106.86
2024-12-07,2539,98.57
2024-12-14,2523,114.0
2024-12-21,2622,109.57
2024-12-28,2426,130.0
2025-01-04,2438,118.0
2025-01-11,2226,127.0
2025-01-18,2112,132.0
2025-01-25,2125,131.14
2025-02-01,2153,118.14
2025-02-08,2061,122.29
2025-02-15,1901,144.57
2025-02-22,1825,126.29
2025-03-01,1660,145.14
2025-03-08,1445,145.0
2025-03-15,1361,121.29
2025-03-22,1063,139.14
2025-03-29,911,126.71
2025-04-05,800,128.71
2025-04-12,658,125.43
2025-04-19,313,147.0
2025-04-26,792,44.71
2025-05-03,675,149.0
2025-05-10,342,163.71
2025-05-17,339,138.0
2025-05-24,906,48.43
2025-05-31,838,132.57
2025-06-07,800,125.29
2025-06-14,633,118.0
2025-06-21,319,128.57
2025-06-28,842,45.57
2025-07-05,772,109.0
2025-07-12,779,124.86
2025-07-19,675,128.29
2025-07-26,695,116.14
2025-08-02,689,110.43
2025-08-09,10,284.0
2025-08-16,786,1.43
2025-08-23,616,109.86
2025-08-30,582,117.14
2025-09-06,657,99.14
2025-09-13,632,110.14
2025-09-20,490,116.0
2025-09-27,616,104.57
2025-10-04,604,124.43
2025-10-11,597,111.29
2025-10-18,511,115.29
2025-10-25,660,98.86
2025-11-01,572,119.29
2025-11-08,641,115.86
2025-11-15,585,116.71
2025-11-22,627,114.29
2025-11-29,569,118.14
2025-12-06,598,118.43
2025-12-13,630,133.43
2025-12-20,526,126.57
2025-12-27,390,130.0
2026-01-03,62,160.86
2026-01-10,653,8.86
2026-01-17,490,143.86
2026-01-24,134,146.14
2026-01-31,1010,19.14
2026-02-07,957,116.0
2026-02-14,801,127.14
2026-02-21,665,134.43
2026-02-28,628,128.57
2026-03-07,505,142.71
2026-03-14,362,150.86
2026-03-21,45,142.86
2026-03-28,782,6.43
2026-04-04,343,168.14
2026-04-11,106,155.14
2026-04-18,861,15.14
2026-04-25,637,139.14
2026-05-02,444,149.71
2026-05-09,278,145.71
2026-05-16,844,39.71
2026-05-23,765,125.14
2026-05-30,564,139.71
2026-06-06,224,142.29
2026-06-13,821,32.0
2026-06-20,761,116.43
