date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_FIAMA_BODY_WASH_001,199.36,731,120.0
2023-07-08,FMC_FIAMA_BODY_WASH_001,204.23,754,120.0
2023-07-15,FMC_FIAMA_BODY_WASH_001,214.18,635,120.0
2023-07-22,FMC_FIAMA_BODY_WASH_001,216.55,671,120.0
2023-07-29,FMC_FIAMA_BODY_WASH_001,216.19,652,120.0
2023-08-05,FMC_FIAMA_BODY_WASH_001,220.84,568,120.0
2023-08-12,FMC_FIAMA_BODY_WASH_001,225.5,530,120.0
2023-08-19,FMC_FIAMA_BODY_WASH_001,226.14,541,120.0
2023-08-26,FMC_FIAMA_BODY_WASH_001,227.31,527,120.0
2023-09-02,FMC_FIAMA_BODY_WASH_001,229.1,492,120.0
2023-09-09,FMC_FIAMA_BODY_WASH_001,224.88,490,120.0
2023-09-16,FMC_FIAMA_BODY_WASH_001,231.98,495,120.0
2023-09-23,FMC_FIAMA_BODY_WASH_001,227.54,474,120.0
2023-09-30,FMC_FIAMA_BODY_WASH_001,228.0,448,120.0
2023-10-07,FMC_FIAMA_BODY_WASH_001,223.5,497,120.0
2023-10-14,FMC_FIAMA_BODY_WASH_001,220.25,547,120.0
2023-10-21,FMC_FIAMA_BODY_WASH_001,216.25,604,120.0
2023-10-28,FMC_FIAMA_BODY_WASH_001,215.3,584,120.0
2023-11-04,FMC_FIAMA_BODY_WASH_001,208.28,651,120.0
2023-11-11,FMC_FIAMA_BODY_WASH_001,203.33,646,120.0
2023-11-18,FMC_FIAMA_BODY_WASH_001,197.74,772,120.0
2023-11-25,FMC_FIAMA_BODY_WASH_001,193.96,750,120.0
2023-12-02,FMC_FIAMA_BODY_WASH_001,188.4,758,120.0
2023-12-09,FMC_FIAMA_BODY_WASH_001,180.42,906,120.0
2023-12-16,FMC_FIAMA_BODY_WASH_001,176.04,986,120.0
2023-12-23,FMC_FIAMA_BODY_WASH_001,176.32,978,120.0
2023-12-30,FMC_FIAMA_BODY_WASH_001,176.96,1052,120.0
2024-01-06,FMC_FIAMA_BODY_WASH_001,174.18,1132,120.0
2024-01-13,FMC_FIAMA_BODY_WASH_001,171.0,1162,120.0
2024-01-20,FMC_FIAMA_BODY_WASH_001,173.82,1145,120.0
2024-01-27,FMC_FIAMA_BODY_WASH_001,165.99,1276,120.0
2024-02-03,FMC_FIAMA_BODY_WASH_001,173.53,1180,120.0
2024-02-10,FMC_FIAMA_BODY_WASH_001,170.26,1217,120.0
2024-02-17,FMC_FIAMA_BODY_WASH_001,175.18,1181,120.0
2024-02-24,FMC_FIAMA_BODY_WASH_001,180.2,1203,120.0
2024-03-02,FMC_FIAMA_BODY_WASH_001,181.78,1123,120.0
2024-03-09,FMC_FIAMA_BODY_WASH_001,187.92,1094,120.0
2024-03-16,FMC_FIAMA_BODY_WASH_001,190.2,1032,120.0
2024-03-23,FMC_FIAMA_BODY_WASH_001,193.14,957,120.0
2024-03-30,FMC_FIAMA_BODY_WASH_001,201.02,909,120.0
2024-04-06,FMC_FIAMA_BODY_WASH_001,199.94,918,120.0
2024-04-13,FMC_FIAMA_BODY_WASH_001,209.25,866,120.0
2024-04-20,FMC_FIAMA_BODY_WASH_001,213.98,783,120.0
2024-04-27,FMC_FIAMA_BODY_WASH_001,217.32,785,120.0
2024-05-04,FMC_FIAMA_BODY_WASH_001,219.85,745,120.0
2024-05-11,FMC_FIAMA_BODY_WASH_001,224.24,1753,120.0
2024-05-18,FMC_FIAMA_BODY_WASH_001,226.16,720,120.0
2024-05-25,FMC_FIAMA_BODY_WASH_001,230.41,638,120.0
2024-06-01,FMC_FIAMA_BODY_WASH_001,226.33,684,120.0
2024-06-08,FMC_FIAMA_BODY_WASH_001,231.96,645,120.0
2024-06-15,FMC_FIAMA_BODY_WASH_001,231.39,620,120.0
2024-06-22,FMC_FIAMA_BODY_WASH_001,234.83,598,120.0
2024-06-29,FMC_FIAMA_BODY_WASH_001,224.95,630,120.0
2024-07-06,FMC_FIAMA_BODY_WASH_001,222.41,577,120.0
2024-07-13,FMC_FIAMA_BODY_WASH_001,221.67,601,120.0
2024-07-20,FMC_FIAMA_BODY_WASH_001,216.21,643,120.0
2024-07-27,FMC_FIAMA_BODY_WASH_001,209.32,632,120.0
2024-08-03,FMC_FIAMA_BODY_WASH_001,205.88,681,120.0
2024-08-10,FMC_FIAMA_BODY_WASH_001,202.28,628,120.0
2024-08-17,FMC_FIAMA_BODY_WASH_001,193.41,703,120.0
2024-08-24,FMC_FIAMA_BODY_WASH_001,191.22,767,120.0
2024-08-31,FMC_FIAMA_BODY_WASH_001,186.73,736,120.0
2024-09-07,FMC_FIAMA_BODY_WASH_001,186.56,755,120.0
2024-09-14,FMC_FIAMA_BODY_WASH_001,183.87,764,120.0
2024-09-21,FMC_FIAMA_BODY_WASH_001,177.84,865,120.0
2024-09-28,FMC_FIAMA_BODY_WASH_001,175.14,890,120.0
2024-10-05,FMC_FIAMA_BODY_WASH_001,170.19,961,120.0
2024-10-12,FMC_FIAMA_BODY_WASH_001,171.91,914,120.0
2024-10-19,FMC_FIAMA_BODY_WASH_001,170.8,927,120.0
2024-10-26,FMC_FIAMA_BODY_WASH_001,169.95,894,120.0
2024-11-02,FMC_FIAMA_BODY_WASH_001,173.45,870,120.0
2024-11-09,FMC_FIAMA_BODY_WASH_001,171.4,910,120.0
2024-11-16,FMC_FIAMA_BODY_WASH_001,174.98,966,120.0
2024-11-23,FMC_FIAMA_BODY_WASH_001,179.77,996,120.0
2024-11-30,FMC_FIAMA_BODY_WASH_001,181.93,947,120.0
2024-12-07,FMC_FIAMA_BODY_WASH_001,188.81,901,120.0
2024-12-14,FMC_FIAMA_BODY_WASH_001,187.52,953,120.0
2024-12-21,FMC_FIAMA_BODY_WASH_001,197.92,829,120.0
2024-12-28,FMC_FIAMA_BODY_WASH_001,198.2,865,120.0
2025-01-04,FMC_FIAMA_BODY_WASH_001,206.49,785,120.0
2025-01-11,FMC_FIAMA_BODY_WASH_001,206.14,842,120.0
2025-01-18,FMC_FIAMA_BODY_WASH_001,211.82,683,120.0
2025-01-25,FMC_FIAMA_BODY_WASH_001,216.44,687,120.0
2025-02-01,FMC_FIAMA_BODY_WASH_001,222.71,743,120.0
2025-02-08,FMC_FIAMA_BODY_WASH_001,226.58,652,120.0
2025-02-15,FMC_FIAMA_BODY_WASH_001,226.44,658,120.0
2025-02-22,FMC_FIAMA_BODY_WASH_001,229.53,658,120.0
2025-03-01,FMC_FIAMA_BODY_WASH_001,230.65,620,120.0
2025-03-08,FMC_FIAMA_BODY_WASH_001,228.3,766,120.0
2025-03-15,FMC_FIAMA_BODY_WASH_001,226.28,702,120.0
2025-03-22,FMC_FIAMA_BODY_WASH_001,230.12,700,120.0
2025-03-29,FMC_FIAMA_BODY_WASH_001,226.78,693,120.0
2025-04-05,FMC_FIAMA_BODY_WASH_001,226.09,723,120.0
2025-04-12,FMC_FIAMA_BODY_WASH_001,222.42,761,120.0
2025-04-19,FMC_FIAMA_BODY_WASH_001,214.56,840,120.0
2025-04-26,FMC_FIAMA_BODY_WASH_001,215.77,715,120.0
2025-05-03,FMC_FIAMA_BODY_WASH_001,206.21,858,120.0
2025-05-10,FMC_FIAMA_BODY_WASH_001,201.01,905,120.0
2025-05-17,FMC_FIAMA_BODY_WASH_001,199.63,873,120.0
2025-05-24,FMC_FIAMA_BODY_WASH_001,194.41,973,120.0
2025-05-31,FMC_FIAMA_BODY_WASH_001,189.37,916,120.0
2025-06-07,FMC_FIAMA_BODY_WASH_001,186.35,986,120.0
2025-06-14,FMC_FIAMA_BODY_WASH_001,177.88,1076,120.0
2025-06-21,FMC_FIAMA_BODY_WASH_001,177.71,974,120.0
2025-06-28,FMC_FIAMA_BODY_WASH_001,173.71,1070,120.0
2025-07-05,FMC_FIAMA_BODY_WASH_001,171.63,972,120.0
2025-07-12,FMC_FIAMA_BODY_WASH_001,171.98,1101,120.0
2025-07-19,FMC_FIAMA_BODY_WASH_001,170.33,1031,120.0
2025-07-26,FMC_FIAMA_BODY_WASH_001,170.93,1043,120.0
2025-08-02,FMC_FIAMA_BODY_WASH_001,170.6,1075,120.0
2025-08-09,FMC_FIAMA_BODY_WASH_001,173.14,2127,120.0
2025-08-16,FMC_FIAMA_BODY_WASH_001,177.68,884,120.0
2025-08-23,FMC_FIAMA_BODY_WASH_001,178.6,888,120.0
2025-08-30,FMC_FIAMA_BODY_WASH_001,181.77,774,120.0
2025-09-06,FMC_FIAMA_BODY_WASH_001,189.4,706,120.0
2025-09-13,FMC_FIAMA_BODY_WASH_001,188.0,811,120.0
2025-09-20,FMC_FIAMA_BODY_WASH_001,197.73,687,120.0
2025-09-27,FMC_FIAMA_BODY_WASH_001,198.91,649,120.0
2025-10-04,FMC_FIAMA_BODY_WASH_001,203.95,597,120.0
2025-10-11,FMC_FIAMA_BODY_WASH_001,207.77,615,120.0
2025-10-18,FMC_FIAMA_BODY_WASH_001,214.04,618,120.0
2025-10-25,FMC_FIAMA_BODY_WASH_001,221.83,546,120.0
2025-11-01,FMC_FIAMA_BODY_WASH_001,218.14,574,120.0
2025-11-08,FMC_FIAMA_BODY_WASH_001,225.78,528,120.0
2025-11-15,FMC_FIAMA_BODY_WASH_001,229.17,525,120.0
2025-11-22,FMC_FIAMA_BODY_WASH_001,228.51,533,120.0
2025-11-29,FMC_FIAMA_BODY_WASH_001,227.06,572,120.0
2025-12-06,FMC_FIAMA_BODY_WASH_001,229.86,461,120.0
2025-12-13,FMC_FIAMA_BODY_WASH_001,226.14,557,120.0
2025-12-20,FMC_FIAMA_BODY_WASH_001,227.14,556,120.0
2025-12-27,FMC_FIAMA_BODY_WASH_001,226.17,589,120.0
2026-01-03,FMC_FIAMA_BODY_WASH_001,221.77,681,120.0
2026-01-10,FMC_FIAMA_BODY_WASH_001,219.45,693,120.0
2026-01-17,FMC_FIAMA_BODY_WASH_001,218.15,703,120.0
2026-01-24,FMC_FIAMA_BODY_WASH_001,213.29,757,120.0
2026-01-31,FMC_FIAMA_BODY_WASH_001,205.8,896,120.0
2026-02-07,FMC_FIAMA_BODY_WASH_001,202.16,917,120.0
2026-02-14,FMC_FIAMA_BODY_WASH_001,195.51,912,120.0
2026-02-21,FMC_FIAMA_BODY_WASH_001,193.05,1065,120.0
2026-02-28,FMC_FIAMA_BODY_WASH_001,187.56,1069,120.0
2026-03-07,FMC_FIAMA_BODY_WASH_001,184.21,1158,120.0
2026-03-14,FMC_FIAMA_BODY_WASH_001,179.71,1199,120.0
2026-03-21,FMC_FIAMA_BODY_WASH_001,178.46,1107,120.0
2026-03-28,FMC_FIAMA_BODY_WASH_001,174.02,1302,120.0
2026-04-04,FMC_FIAMA_BODY_WASH_001,172.54,1209,120.0
2026-04-11,FMC_FIAMA_BODY_WASH_001,171.82,1394,120.0
2026-04-18,FMC_FIAMA_BODY_WASH_001,168.18,1236,120.0
2026-04-25,FMC_FIAMA_BODY_WASH_001,171.95,1392,120.0
2026-05-02,FMC_FIAMA_BODY_WASH_001,170.28,1418,120.0
2026-05-09,FMC_FIAMA_BODY_WASH_001,173.99,1238,120.0
2026-05-16,FMC_FIAMA_BODY_WASH_001,178.53,1209,120.0
2026-05-23,FMC_FIAMA_BODY_WASH_001,178.01,1204,120.0
2026-05-30,FMC_FIAMA_BODY_WASH_001,181.87,1069,120.0
2026-06-06,FMC_FIAMA_BODY_WASH_001,184.47,1041,120.0
2026-06-13,FMC_FIAMA_BODY_WASH_001,187.96,1009,120.0
2026-06-20,FMC_FIAMA_BODY_WASH_001,194.89,870,120.0
