date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,8.12,7.709999999999999,8.53
2023-07-08,8.19,7.779999999999999,8.6
2023-07-15,8.02,7.619999999999999,8.42
2023-07-22,8.22,7.8100000000000005,8.63
2023-07-29,8.36,7.9399999999999995,8.78
2023-08-05,7.74,7.3500000000000005,8.13
2023-08-12,7.89,7.5,8.28
2023-08-19,7.9,7.5,8.3
2023-08-26,8.12,7.709999999999999,8.53
2023-09-02,8.43,8.01,8.85
2023-09-09,8.09,7.6899999999999995,8.49
2023-09-16,8.39,7.970000000000001,8.81
2023-09-23,8.03,7.629999999999999,8.43
2023-09-30,8.43,8.01,8.85
2023-10-07,8.14,7.73,8.55
2023-10-14,8.21,7.800000000000001,8.620000000000001
2023-10-21,8.26,7.85,8.67
2023-10-28,8.14,7.73,8.55
2023-11-04,8.42,8.0,8.84
2023-11-11,8.25,7.84,8.66
2023-11-18,7.8,7.41,8.19
2023-11-25,8.77,8.33,9.209999999999999
2023-12-02,7.71,7.32,8.1
2023-12-09,7.62,7.24,8.0
2023-12-16,8.2,7.789999999999999,8.61
2023-12-23,7.95,7.55,8.35
2023-12-30,8.13,7.720000000000001,8.540000000000001
2024-01-06,8.41,7.99,8.83
2024-01-13,7.93,7.529999999999999,8.33
2024-01-20,8.44,8.02,8.86
2024-01-27,8.38,7.960000000000001,8.8
2024-02-03,7.76,7.37,8.15
2024-02-10,8.85,8.41,9.29
2024-02-17,8.67,8.24,9.1
2024-02-24,7.93,7.529999999999999,8.33
2024-03-02,8.55,8.120000000000001,8.98
2024-03-09,8.72,8.280000000000001,9.16
2024-03-16,8.22,7.8100000000000005,8.63
2024-03-23,8.16,7.75,8.57
2024-03-30,8.25,7.84,8.66
2024-04-06,8.05,7.65,8.450000000000001
2024-04-13,8.72,8.280000000000001,9.16
2024-04-20,7.88,7.49,8.27
2024-04-27,8.12,7.709999999999999,8.53
2024-05-04,8.09,7.6899999999999995,8.49
2024-05-11,8.41,7.99,8.83
2024-05-18,8.07,7.67,8.47
2024-05-25,7.99,7.59,8.39
2024-06-01,8.28,7.869999999999999,8.69
2024-06-08,7.98,7.58,8.38
2024-06-15,7.79,7.4,8.18
2024-06-22,9.0,8.55,9.45
2024-06-29,8.09,7.6899999999999995,8.49
2024-07-06,8.78,8.34,9.219999999999999
2024-07-13,8.74,8.3,9.18
2024-07-20,8.15,7.74,8.56
2024-07-27,8.09,7.6899999999999995,8.49
2024-08-03,8.63,8.200000000000001,9.06
2024-08-10,7.53,7.15,7.91
2024-08-17,8.04,7.639999999999999,8.44
2024-08-24,8.6,8.17,9.03
2024-08-31,8.0,7.6,8.4
2024-09-07,8.53,8.1,8.959999999999999
2024-09-14,8.33,7.91,8.75
2024-09-21,8.08,7.68,8.48
2024-09-28,7.98,7.58,8.38
2024-10-05,8.21,7.800000000000001,8.620000000000001
2024-10-12,7.92,7.52,8.32
2024-10-19,8.29,7.879999999999999,8.7
2024-10-26,8.47,8.05,8.89
2024-11-02,8.27,7.859999999999999,8.68
2024-11-09,8.09,7.6899999999999995,8.49
2024-11-16,7.75,7.36,8.14
2024-11-23,7.72,7.33,8.11
2024-11-30,8.25,7.84,8.66
2024-12-07,8.52,8.09,8.95
2024-12-14,8.89,8.450000000000001,9.33
2024-12-21,8.2,7.789999999999999,8.61
2024-12-28,8.74,8.3,9.18
2025-01-04,8.18,7.77,8.59
2025-01-11,8.07,7.67,8.47
2025-01-18,8.36,7.9399999999999995,8.78
2025-01-25,8.01,7.609999999999999,8.41
2025-02-01,8.0,7.6,8.4
2025-02-08,8.17,7.76,8.58
2025-02-15,8.06,7.66,8.46
2025-02-22,7.97,7.569999999999999,8.37
2025-03-01,8.27,7.859999999999999,8.68
2025-03-08,7.56,7.18,7.9399999999999995
2025-03-15,8.58,8.15,9.01
2025-03-22,7.79,7.4,8.18
2025-03-29,8.04,7.639999999999999,8.44
2025-04-05,7.63,7.25,8.01
2025-04-12,8.17,7.76,8.58
2025-04-19,8.32,7.9,8.74
2025-04-26,7.58,7.2,7.96
2025-05-03,6.71,6.37,7.05
2025-05-10,6.5,6.17,6.83
2025-05-17,6.75,6.41,7.09
2025-05-24,6.97,6.62,7.319999999999999
2025-05-31,6.51,6.18,6.84
2025-06-07,6.95,6.6000000000000005,7.3
2025-06-14,6.58,6.25,6.91
2025-06-21,7.22,6.859999999999999,7.58
2025-06-28,6.92,6.57,7.27
2025-07-05,6.74,6.4,7.08
2025-07-12,7.11,6.75,7.470000000000001
2025-07-19,6.42,6.1,6.74
2025-07-26,6.56,6.2299999999999995,6.89
2025-08-02,6.32,6.0,6.640000000000001
2025-08-09,6.33,6.01,6.65
2025-08-16,6.62,6.29,6.95
2025-08-23,7.01,6.66,7.359999999999999
2025-08-30,6.37,6.05,6.69
2025-09-06,6.64,6.31,6.97
2025-09-13,6.42,6.1,6.74
2025-09-20,6.41,6.09,6.73
2025-09-27,6.67,6.34,7.0
2025-10-04,6.62,6.29,6.95
2025-10-11,6.83,6.49,7.17
2025-10-18,6.58,6.25,6.91
2025-10-25,6.41,6.09,6.73
2025-11-01,6.71,6.37,7.05
2025-11-08,6.74,6.4,7.08
2025-11-15,6.81,6.47,7.1499999999999995
2025-11-22,6.4,6.08,6.720000000000001
2025-11-29,6.65,6.32,6.98
2025-12-06,6.78,6.44,7.12
2025-12-13,6.74,6.4,7.08
2025-12-20,7.0,6.65,7.35
2025-12-27,6.71,6.37,7.05
2026-01-03,7.09,6.74,7.4399999999999995
2026-01-10,6.75,6.41,7.09
2026-01-17,6.62,6.29,6.95
2026-01-24,6.65,6.32,6.98
2026-01-31,6.46,6.14,6.78
2026-02-07,7.02,6.67,7.369999999999999
2026-02-14,6.97,6.62,7.319999999999999
2026-02-21,6.55,6.22,6.88
2026-02-28,6.59,6.26,6.92
2026-03-07,6.85,6.51,7.1899999999999995
2026-03-14,6.89,6.55,7.2299999999999995
2026-03-21,6.27,5.96,6.579999999999999
2026-03-28,6.37,6.05,6.69
2026-04-04,6.24,5.930000000000001,6.55
