date,cci_current,cci_baseline,google_trends_score
2023-07-01,114.4,100.0,68.4
2023-07-08,115.0,100.0,100.0
2023-07-15,115.9,100.0,100.0
2023-07-22,115.5,100.0,100.0
2023-07-29,113.2,100.0,100.0
2023-08-05,114.5,100.0,100.0
2023-08-12,116.2,100.0,100.0
2023-08-19,115.0,100.0,100.0
2023-08-26,114.8,100.0,100.0
2023-09-02,115.0,100.0,100.0
2023-09-09,115.6,100.0,53.4
2023-09-16,116.3,100.0,40.7
2023-09-23,115.9,100.0,36.2
2023-09-30,113.6,100.0,22.1
2023-10-07,115.4,100.0,25.3
2023-10-14,115.7,100.0,7.8
2023-10-21,116.6,100.0,21.8
2023-10-28,115.4,100.0,24.8
2023-11-04,113.2,100.0,13.5
2023-11-11,115.0,100.0,15.3
2023-11-18,116.3,100.0,19.5
2023-11-25,113.0,100.0,5.3
2023-12-02,114.6,100.0,22.0
2023-12-09,114.6,100.0,37.7
2023-12-16,115.3,100.0,17.5
2023-12-23,115.2,100.0,29.8
2023-12-30,115.8,100.0,5.9
2024-01-06,114.6,100.0,18.5
2024-01-13,114.6,100.0,18.4
2024-01-20,115.6,100.0,7.1
2024-01-27,113.0,100.0,20.3
2024-02-03,115.0,100.0,16.3
2024-02-10,114.5,100.0,38.6
2024-02-17,114.3,100.0,23.3
2024-02-24,114.8,100.0,18.7
2024-03-02,114.9,100.0,13.6
2024-03-09,115.1,100.0,21.0
2024-03-16,116.0,100.0,40.9
2024-03-23,113.4,100.0,32.8
2024-03-30,116.2,100.0,15.0
2024-04-06,116.4,100.0,7.5
2024-04-13,114.5,100.0,34.2
2024-04-20,115.4,100.0,28.4
2024-04-27,116.2,100.0,16.5
2024-05-04,112.9,100.0,41.4
2024-05-11,114.5,100.0,34.0
2024-05-18,116.4,100.0,13.4
2024-05-25,112.8,100.0,17.8
2024-06-01,113.7,100.0,19.6
2024-06-08,115.0,100.0,0.0
2024-06-15,115.2,100.0,15.2
2024-06-22,115.5,100.0,26.6
2024-06-29,116.1,100.0,59.3
2024-07-06,115.3,100.0,85.4
2024-07-13,113.6,100.0,100.0
2024-07-20,115.8,100.0,100.0
2024-07-27,114.4,100.0,100.0
2024-08-03,114.9,100.0,100.0
2024-08-10,115.8,100.0,100.0
2024-08-17,114.0,100.0,100.0
2024-08-24,115.9,100.0,100.0
2024-08-31,115.5,100.0,100.0
2024-09-07,115.1,100.0,63.3
2024-09-14,114.7,100.0,0.0
2024-09-21,115.4,100.0,30.0
2024-09-28,114.9,100.0,8.0
2024-10-05,114.8,100.0,18.5
2024-10-12,114.2,100.0,12.6
2024-10-19,116.1,100.0,16.1
2024-10-26,114.4,100.0,2.9
2024-11-02,114.3,100.0,12.3
2024-11-09,116.3,100.0,16.0
2024-11-16,115.7,100.0,50.8
2024-11-23,115.8,100.0,23.5
2024-11-30,114.8,100.0,49.6
2024-12-07,116.2,100.0,6.2
2024-12-14,114.8,100.0,18.3
2024-12-21,116.2,100.0,52.6
2024-12-28,116.2,100.0,13.5
2025-01-04,115.0,100.0,28.4
2025-01-11,116.4,100.0,14.1
2025-01-18,116.1,100.0,16.5
2025-01-25,115.2,100.0,19.6
2025-02-01,115.5,100.0,22.1
2025-02-08,116.6,100.0,22.9
2025-02-15,115.6,100.0,19.9
2025-02-22,116.5,100.0,20.1
2025-03-01,115.2,100.0,20.5
2025-03-08,116.4,100.0,14.0
2025-03-15,114.6,100.0,42.6
2025-03-22,115.8,100.0,18.4
2025-03-29,115.9,100.0,27.3
2025-04-05,114.2,100.0,31.7
2025-04-12,114.2,100.0,5.7
2025-04-19,115.2,100.0,28.2
2025-04-26,116.2,100.0,3.9
2025-05-03,114.6,100.0,14.0
2025-05-10,114.4,100.0,25.5
2025-05-17,114.8,100.0,21.3
2025-05-24,115.2,100.0,28.4
2025-05-31,113.1,100.0,11.0
2025-06-07,114.3,100.0,16.5
2025-06-14,114.8,100.0,22.1
2025-06-21,115.9,100.0,11.5
2025-06-28,113.8,100.0,48.3
