date,units_in_stock,avg_daily_sales_14d
2023-07-01,853,21.0
2023-07-08,710,20.43
2023-07-15,703,18.86
2023-07-22,10,129.57
2023-07-29,775,1.43
2023-08-05,10,143.86
2023-08-12,803,1.43
2023-08-19,10,143.14
2023-08-26,828,1.43
2023-09-02,590,34.0
2023-09-09,536,34.29
2023-09-16,587,34.0
2023-09-23,561,34.29
2023-09-30,575,33.86
2023-10-07,590,32.57
2023-10-14,562,35.14
2023-10-21,568,31.0
2023-10-28,548,35.57
2023-11-04,595,32.0
2023-11-11,582,32.29
2023-11-18,570,33.43
2023-11-25,566,34.29
2023-12-02,605,31.29
2023-12-09,568,35.14
2023-12-16,603,31.86
2023-12-23,545,32.43
2023-12-30,574,33.0
2024-01-06,594,31.71
2024-01-13,588,31.57
2024-01-20,617,31.86
2024-01-27,537,33.29
2024-02-03,557,34.57
2024-02-10,655,20.0
2024-02-17,656,20.71
2024-02-24,658,14.57
2024-03-02,663,18.71
2024-03-09,674,18.86
2024-03-16,647,18.57
2024-03-23,691,18.29
2024-03-30,707,17.43
2024-04-06,684,17.57
2024-04-13,665,16.71
2024-04-20,715,17.71
2024-04-27,725,21.0
2024-05-04,681,19.14
2024-05-11,510,44.29
2024-05-18,657,15.86
2024-05-25,678,15.57
2024-06-01,681,16.14
2024-06-08,666,18.29
2024-06-15,704,17.71
2024-06-22,693,19.71
2024-06-29,680,19.71
2024-07-06,647,18.71
2024-07-13,704,16.29
2024-07-20,10,123.14
2024-07-27,783,1.43
2024-08-03,10,164.29
2024-08-10,850,1.43
2024-08-17,10,162.29
2024-08-24,767,1.43
2024-08-31,586,30.0
2024-09-07,570,32.86
2024-09-14,584,32.0
2024-09-21,570,34.43
2024-09-28,572,33.43
2024-10-05,540,32.43
2024-10-12,569,32.71
2024-10-19,572,33.14
2024-10-26,590,33.29
2024-11-02,580,30.14
2024-11-09,549,33.29
2024-11-16,538,35.86
2024-11-23,546,35.71
2024-11-30,574,34.29
2024-12-07,567,32.43
2024-12-14,582,34.0
2024-12-21,583,33.71
2024-12-28,585,29.29
2025-01-04,562,32.71
2025-01-11,551,33.0
2025-01-18,654,21.0
2025-01-25,687,17.86
2025-02-01,678,16.71
2025-02-08,690,16.29
2025-02-15,684,17.0
2025-02-22,674,19.14
2025-03-01,685,19.43
2025-03-08,681,17.86
2025-03-15,666,18.14
2025-03-22,672,21.29
2025-03-29,668,18.14
2025-04-05,658,20.86
2025-04-12,653,19.14
2025-04-19,661,19.14
2025-04-26,700,17.14
2025-05-03,603,24.71
2025-05-10,579,28.14
2025-05-17,624,27.0
2025-05-24,559,34.43
2025-05-31,660,23.86
2025-06-07,636,25.57
2025-06-14,639,22.0
2025-06-21,609,29.57
2025-06-28,617,27.14
2025-07-05,615,26.29
2025-07-12,605,26.0
2025-07-19,10,211.57
2025-07-26,775,1.43
2025-08-02,10,199.57
2025-08-09,779,1.43
2025-08-16,10,220.57
2025-08-23,787,1.43
2025-08-30,502,40.71
2025-09-06,524,40.43
2025-09-13,527,41.14
2025-09-20,511,41.0
2025-09-27,557,38.14
2025-10-04,516,38.43
2025-10-11,544,38.71
2025-10-18,536,39.71
2025-10-25,519,44.14
2025-11-01,492,43.43
2025-11-08,464,45.43
2025-11-15,489,38.71
2025-11-22,513,41.29
2025-11-29,511,40.86
2025-12-06,536,39.29
2025-12-13,530,40.29
2025-12-20,478,42.29
2025-12-27,541,38.86
2026-01-03,491,41.57
2026-01-10,528,42.14
2026-01-17,519,36.86
2026-01-24,487,41.43
2026-01-31,491,44.0
2026-02-07,542,39.29
2026-02-14,499,43.43
2026-02-21,501,42.57
2026-02-28,489,43.71
2026-03-07,482,43.29
2026-03-14,481,41.0
2026-03-21,542,38.0
2026-03-28,486,41.0
2026-04-04,551,37.0
2026-04-11,481,42.29
2026-04-18,514,38.86
2026-04-25,510,42.29
2026-05-02,494,42.0
2026-05-09,524,38.57
2026-05-16,509,38.43
2026-05-23,503,42.14
2026-05-30,459,48.71
2026-06-06,539,38.14
2026-06-13,527,43.43
2026-06-20,536,40.0
