date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_GHEVAR_001,15.1,203,6.0
2023-07-08,FMC_GHEVAR_001,15.15,322,6.0
2023-07-15,FMC_GHEVAR_001,15.22,475,6.0
2023-07-22,FMC_GHEVAR_001,14.88,701,6.0
2023-07-29,FMC_GHEVAR_001,14.84,1136,6.0
2023-08-05,FMC_GHEVAR_001,14.97,10,6.0
2023-08-12,FMC_GHEVAR_001,14.84,1116,6.0
2023-08-19,FMC_GHEVAR_001,14.85,10,6.0
2023-08-26,FMC_GHEVAR_001,14.5,626,6.0
2023-09-02,FMC_GHEVAR_001,14.91,513,6.0
2023-09-09,FMC_GHEVAR_001,15.06,310,6.0
2023-09-16,FMC_GHEVAR_001,14.93,273,6.0
2023-09-23,FMC_GHEVAR_001,14.96,277,6.0
2023-09-30,FMC_GHEVAR_001,15.0,244,6.0
2023-10-07,FMC_GHEVAR_001,15.11,220,6.0
2023-10-14,FMC_GHEVAR_001,15.16,247,6.0
2023-10-21,FMC_GHEVAR_001,14.73,258,6.0
2023-10-28,FMC_GHEVAR_001,14.86,247,6.0
2023-11-04,FMC_GHEVAR_001,15.15,244,6.0
2023-11-11,FMC_GHEVAR_001,15.0,221,6.0
2023-11-18,FMC_GHEVAR_001,14.74,219,6.0
2023-11-25,FMC_GHEVAR_001,15.21,226,6.0
2023-12-02,FMC_GHEVAR_001,14.87,244,6.0
2023-12-09,FMC_GHEVAR_001,15.01,269,6.0
2023-12-16,FMC_GHEVAR_001,14.95,252,6.0
2023-12-23,FMC_GHEVAR_001,15.2,265,6.0
2023-12-30,FMC_GHEVAR_001,15.02,224,6.0
2024-01-06,FMC_GHEVAR_001,15.5,221,6.0
2024-01-13,FMC_GHEVAR_001,14.97,163,6.0
2024-01-20,FMC_GHEVAR_001,15.38,110,6.0
2024-01-27,FMC_GHEVAR_001,15.16,156,6.0
2024-02-03,FMC_GHEVAR_001,14.77,132,6.0
2024-02-10,FMC_GHEVAR_001,14.89,190,6.0
2024-02-17,FMC_GHEVAR_001,14.89,139,6.0
