date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,8.43,8.01,8.85
2023-07-08,8.45,8.03,8.87
2023-07-15,8.75,8.31,9.19
2023-07-22,8.54,8.11,8.969999999999999
2023-07-29,8.27,7.859999999999999,8.68
2023-08-05,8.41,7.99,8.83
2023-08-12,8.96,8.510000000000002,9.41
2023-08-19,7.85,7.46,8.24
2023-08-26,8.52,8.09,8.95
2023-09-02,7.88,7.49,8.27
2023-09-09,8.46,8.040000000000001,8.88
2023-09-16,8.55,8.120000000000001,8.98
2023-09-23,8.65,8.22,9.08
2023-09-30,9.04,8.59,9.489999999999998
2023-10-07,8.71,8.270000000000001,9.15
2023-10-14,9.01,8.56,9.459999999999999
2023-10-21,7.87,7.48,8.26
2023-10-28,8.34,7.92,8.76
2023-11-04,8.09,7.6899999999999995,8.49
2023-11-11,8.55,8.120000000000001,8.98
2023-11-18,8.45,8.03,8.87
2023-11-25,9.19,8.729999999999999,9.65
2023-12-02,8.95,8.5,9.399999999999999
2023-12-09,8.41,7.99,8.83
2023-12-16,8.8,8.360000000000001,9.24
2023-12-23,8.85,8.41,9.29
2023-12-30,9.01,8.56,9.459999999999999
2024-01-06,8.09,7.6899999999999995,8.49
2024-01-13,8.92,8.47,9.37
2024-01-20,8.14,7.73,8.55
2024-01-27,8.65,8.22,9.08
2024-02-03,9.27,8.809999999999999,9.73
2024-02-10,8.76,8.32,9.2
2024-02-17,9.07,8.620000000000001,9.52
2024-02-24,8.51,8.08,8.94
2024-03-02,8.71,8.270000000000001,9.15
2024-03-09,8.68,8.25,9.11
2024-03-16,8.63,8.200000000000001,9.06
2024-03-23,9.02,8.57,9.469999999999999
2024-03-30,9.39,8.92,9.860000000000001
2024-04-06,8.82,8.38,9.26
2024-04-13,8.92,8.47,9.37
2024-04-20,9.09,8.64,9.54
2024-04-27,9.23,8.77,9.690000000000001
2024-05-04,9.06,8.610000000000001,9.51
2024-05-11,9.36,8.889999999999999,9.83
2024-05-18,8.43,8.01,8.85
2024-05-25,8.77,8.33,9.209999999999999
2024-06-01,9.29,8.829999999999998,9.75
2024-06-08,8.52,8.09,8.95
2024-06-15,9.65,9.17,10.13
2024-06-22,9.28,8.819999999999999,9.74
2024-06-29,9.05,8.600000000000001,9.5
2024-07-06,9.03,8.58,9.479999999999999
2024-07-13,9.68,9.2,10.16
2024-07-20,9.61,9.129999999999999,10.09
2024-07-27,8.83,8.39,9.27
2024-08-03,9.29,8.829999999999998,9.75
2024-08-10,9.49,9.02,9.96
2024-08-17,9.4,8.93,9.870000000000001
2024-08-24,9.41,8.94,9.88
2024-08-31,9.08,8.63,9.53
2024-09-07,8.76,8.32,9.2
2024-09-14,9.53,9.049999999999999,10.01
2024-09-21,9.12,8.659999999999998,9.58
2024-09-28,9.29,8.829999999999998,9.75
2024-10-05,9.62,9.139999999999999,10.1
2024-10-12,9.75,9.26,10.24
2024-10-19,9.04,8.59,9.489999999999998
2024-10-26,9.24,8.78,9.700000000000001
2024-11-02,8.82,8.38,9.26
2024-11-09,8.99,8.540000000000001,9.44
2024-11-16,9.2,8.739999999999998,9.66
2024-11-23,9.39,8.92,9.860000000000001
2024-11-30,9.6,9.12,10.08
2024-12-07,9.27,8.809999999999999,9.73
2024-12-14,9.59,9.11,10.07
2024-12-21,9.68,9.2,10.16
2024-12-28,9.74,9.25,10.23
2025-01-04,9.1,8.639999999999999,9.56
2025-01-11,9.36,8.889999999999999,9.83
2025-01-18,9.7,9.219999999999999,10.18
2025-01-25,9.18,8.719999999999999,9.64
2025-02-01,9.46,8.99,9.930000000000001
2025-02-08,9.89,9.4,10.38
2025-02-15,9.24,8.78,9.700000000000001
2025-02-22,9.38,8.91,9.850000000000001
2025-03-01,10.62,10.09,11.149999999999999
2025-03-08,10.34,9.82,10.86
2025-03-15,10.46,9.940000000000001,10.98
2025-03-22,9.71,9.22,10.200000000000001
2025-03-29,9.55,9.07,10.030000000000001
2025-04-05,9.98,9.48,10.48
2025-04-12,9.81,9.32,10.3
2025-04-19,9.86,9.37,10.35
2025-04-26,9.9,9.4,10.4
2025-05-03,10.25,9.74,10.76
2025-05-10,9.71,9.22,10.200000000000001
2025-05-17,9.96,9.46,10.46
2025-05-24,9.96,9.46,10.46
2025-05-31,10.9,10.35,11.450000000000001
2025-06-07,10.15,9.64,10.66
2025-06-14,10.08,9.58,10.58
2025-06-21,10.4,9.88,10.92
2025-06-28,9.75,9.26,10.24
2025-07-05,10.01,9.51,10.51
2025-07-12,10.79,10.25,11.329999999999998
2025-07-19,10.04,9.54,10.54
2025-07-26,9.88,9.39,10.370000000000001
2025-08-02,10.69,10.16,11.219999999999999
2025-08-09,10.03,9.53,10.53
2025-08-16,10.51,9.98,11.04
2025-08-23,9.97,9.47,10.47
2025-08-30,10.57,10.040000000000001,11.1
2025-09-06,10.85,10.309999999999999,11.39
2025-09-13,10.59,10.06,11.12
2025-09-20,9.37,8.899999999999999,9.84
2025-09-27,9.65,9.17,10.13
2025-10-04,10.72,10.18,11.260000000000002
2025-10-11,10.17,9.66,10.68
2025-10-18,9.6,9.12,10.08
2025-10-25,10.74,10.2,11.280000000000001
2025-11-01,10.78,10.239999999999998,11.32
2025-11-08,10.09,9.59,10.59
2025-11-15,10.72,10.18,11.260000000000002
2025-11-22,11.23,10.67,11.790000000000001
2025-11-29,10.13,9.620000000000001,10.64
2025-12-06,10.91,10.36,11.46
2025-12-13,10.69,10.16,11.219999999999999
2025-12-20,11.42,10.85,11.99
2025-12-27,10.19,9.68,10.7
2026-01-03,11.11,10.549999999999999,11.67
2026-01-10,10.09,9.59,10.59
2026-01-17,10.84,10.3,11.379999999999999
2026-01-24,10.47,9.950000000000001,10.99
2026-01-31,10.36,9.84,10.879999999999999
2026-02-07,10.26,9.75,10.77
2026-02-14,11.45,10.879999999999999,12.02
2026-02-21,10.47,9.950000000000001,10.99
2026-02-28,10.11,9.6,10.62
2026-03-07,10.9,10.35,11.450000000000001
2026-03-14,10.31,9.790000000000001,10.83
2026-03-21,10.84,10.3,11.379999999999999
2026-03-28,10.67,10.14,11.2
2026-04-04,11.38,10.81,11.950000000000001
2026-04-11,10.58,10.05,11.11
2026-04-18,11.22,10.66,11.780000000000001
2026-04-25,10.96,10.41,11.510000000000002
2026-05-02,11.15,10.59,11.71
2026-05-09,10.99,10.44,11.540000000000001
2026-05-16,11.31,10.74,11.88
2026-05-23,11.58,11.0,12.16
2026-05-30,11.44,10.87,12.01
2026-06-06,11.55,10.97,12.13
2026-06-13,11.2,10.639999999999999,11.76
2026-06-20,11.41,10.84,11.98
