date,cci_current,cci_baseline,google_trends_score
2023-07-01,114.8,100.0,65.1
2023-07-08,117.4,100.0,100.0
2023-07-15,113.9,100.0,100.0
2023-07-22,115.3,100.0,100.0
2023-07-29,114.7,100.0,100.0
2023-08-05,115.2,100.0,100.0
2023-08-12,115.1,100.0,100.0
2023-08-19,114.5,100.0,100.0
2023-08-26,114.8,100.0,100.0
2023-09-02,115.5,100.0,98.9
2023-09-09,115.9,100.0,63.5
2023-09-16,113.9,100.0,23.6
2023-09-23,115.4,100.0,34.2
2023-09-30,115.2,100.0,15.6
2023-10-07,115.0,100.0,10.0
2023-10-14,113.3,100.0,0.0
2023-10-21,114.1,100.0,14.7
2023-10-28,114.4,100.0,6.9
2023-11-04,114.1,100.0,20.7
2023-11-11,116.4,100.0,19.1
2023-11-18,114.8,100.0,38.9
2023-11-25,114.7,100.0,15.7
2023-12-02,116.8,100.0,21.5
2023-12-09,114.4,100.0,9.6
2023-12-16,116.1,100.0,25.1
2023-12-23,114.5,100.0,42.9
2023-12-30,114.9,100.0,30.5
2024-01-06,115.5,100.0,17.6
2024-01-13,115.1,100.0,18.3
2024-01-20,114.7,100.0,38.4
2024-01-27,115.4,100.0,13.3
2024-02-03,114.2,100.0,10.7
2024-02-10,113.9,100.0,26.4
2024-02-17,116.4,100.0,13.3
2024-02-24,115.4,100.0,0.9
2024-03-02,115.6,100.0,17.6
2024-03-09,113.8,100.0,33.0
2024-03-16,115.1,100.0,26.9
2024-03-23,115.3,100.0,25.6
2024-03-30,115.8,100.0,29.9
2024-04-06,116.0,100.0,35.0
2024-04-13,115.8,100.0,20.3
2024-04-20,115.5,100.0,2.5
2024-04-27,115.2,100.0,22.1
2024-05-04,117.8,100.0,13.2
2024-05-11,115.4,100.0,23.6
2024-05-18,113.9,100.0,26.8
2024-05-25,115.9,100.0,29.4
2024-06-01,116.7,100.0,22.0
2024-06-08,113.0,100.0,14.9
2024-06-15,114.7,100.0,17.8
2024-06-22,115.8,100.0,42.6
2024-06-29,114.1,100.0,54.2
2024-07-06,116.4,100.0,100.0
2024-07-13,114.9,100.0,100.0
2024-07-20,114.2,100.0,100.0
2024-07-27,116.3,100.0,100.0
2024-08-03,114.5,100.0,100.0
2024-08-10,112.6,100.0,100.0
2024-08-17,115.5,100.0,100.0
2024-08-24,115.6,100.0,100.0
2024-08-31,114.6,100.0,100.0
2024-09-07,113.6,100.0,56.7
2024-09-14,116.5,100.0,27.6
2024-09-21,113.0,100.0,15.4
