date,units_in_stock,avg_daily_sales_14d
2023-07-01,868,18.86
2023-07-08,741,18.14
2023-07-15,634,20.86
2023-07-22,10,120.57
2023-07-29,775,1.43
2023-08-05,10,153.71
2023-08-12,770,1.43
2023-08-19,10,139.86
2023-08-26,784,1.43
2023-09-02,550,33.43
2023-09-09,587,30.86
2023-09-16,587,31.86
2023-09-23,583,31.86
2023-09-30,598,33.0
2023-10-07,571,33.43
2023-10-14,547,33.29
2023-10-21,546,31.71
2023-10-28,541,30.86
2023-11-04,553,30.71
2023-11-11,559,33.29
2023-11-18,579,32.29
2023-11-25,547,33.29
2023-12-02,531,33.43
2023-12-09,600,33.29
2023-12-16,581,31.14
2023-12-23,577,30.57
2023-12-30,593,29.86
2024-01-06,586,31.43
2024-01-13,609,29.86
2024-01-20,690,17.14
2024-01-27,660,17.14
2024-02-03,647,13.71
2024-02-10,682,19.14
2024-02-17,678,15.29
2024-02-24,651,17.14
2024-03-02,670,17.43
2024-03-09,660,19.0
2024-03-16,676,17.71
2024-03-23,704,13.86
2024-03-30,671,18.0
2024-04-06,707,13.57
2024-04-13,640,17.57
2024-04-20,673,15.14
2024-04-27,662,18.86
2024-05-04,710,15.86
2024-05-11,503,40.86
2024-05-18,696,15.86
2024-05-25,667,16.43
2024-06-01,711,15.43
2024-06-08,709,15.43
2024-06-15,702,15.29
2024-06-22,718,15.29
2024-06-29,716,15.43
2024-07-06,673,17.43
2024-07-13,669,15.29
2024-07-20,132,96.57
2024-07-27,10,117.86
2024-08-03,802,1.43
2024-08-10,10,118.86
2024-08-17,799,1.43
2024-08-24,611,30.57
2024-08-31,573,31.14
2024-09-07,623,26.0
2024-09-14,612,28.0
2024-09-21,572,26.71
2024-09-28,568,30.0
2024-10-05,550,31.71
2024-10-12,573,28.29
2024-10-19,614,29.14
2024-10-26,591,28.71
2024-11-02,612,30.86
2024-11-09,619,29.71
2024-11-16,607,28.0
2024-11-23,589,26.86
2024-11-30,608,24.86
2024-12-07,681,13.29
2024-12-14,730,14.29
2024-12-21,707,13.71
2024-12-28,747,10.57
2025-01-04,729,12.43
2025-01-11,680,14.14
2025-01-18,711,14.86
2025-01-25,688,13.86
2025-02-01,657,12.71
2025-02-08,714,13.86
2025-02-15,697,12.57
2025-02-22,751,12.0
2025-03-01,709,14.29
2025-03-08,677,14.43
2025-03-15,730,11.71
2025-03-22,686,14.86
2025-03-29,721,10.71
2025-04-05,708,11.86
2025-04-12,652,14.71
2025-04-19,715,13.57
2025-04-26,725,14.29
2025-05-03,682,12.86
2025-05-10,707,12.43
2025-05-17,700,12.57
2025-05-24,686,11.57
2025-05-31,713,11.43
2025-06-07,708,13.71
2025-06-14,709,14.0
2025-06-21,735,11.43
2025-06-28,719,10.57
2025-07-05,759,12.29
2025-07-12,690,13.86
2025-07-19,234,85.0
2025-07-26,169,90.57
2025-08-02,10,120.43
2025-08-09,762,1.43
2025-08-16,115,96.0
2025-08-23,596,30.0
2025-08-30,633,28.29
2025-09-06,638,25.14
2025-09-13,597,27.43
2025-09-20,602,27.0
2025-09-27,569,26.29
2025-10-04,624,24.43
2025-10-11,577,24.71
2025-10-18,609,26.71
2025-10-25,588,24.0
2025-11-01,669,26.14
2025-11-08,634,26.57
2025-11-15,601,26.0
2025-11-22,638,26.86
2025-11-29,618,25.43
2025-12-06,719,15.43
2025-12-13,708,11.29
2025-12-20,751,11.86
2025-12-27,720,11.14
2026-01-03,722,10.86
2026-01-10,717,11.14
2026-01-17,711,12.86
2026-01-24,738,11.71
2026-01-31,693,11.86
2026-02-07,723,13.43
2026-02-14,729,10.71
2026-02-21,725,10.86
2026-02-28,692,12.14
2026-03-07,721,9.71
2026-03-14,680,13.14
2026-03-21,706,11.43
2026-03-28,739,12.57
2026-04-04,710,12.0
2026-04-11,687,13.14
2026-04-18,722,12.29
2026-04-25,696,12.57
2026-05-02,764,10.14
2026-05-09,740,11.86
2026-05-16,693,10.29
2026-05-23,730,11.14
2026-05-30,700,11.0
2026-06-06,732,12.14
2026-06-13,708,12.29
2026-06-20,739,13.0
