date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_GHEVAR_001,15.05,132,6.0
2023-07-08,FMC_GHEVAR_001,14.85,127,6.01
2023-07-15,FMC_GHEVAR_001,14.89,146,6.02
2023-07-22,FMC_GHEVAR_001,15.15,844,6.03
2023-07-29,FMC_GHEVAR_001,15.0,10,6.04
2023-08-05,FMC_GHEVAR_001,15.24,1076,6.05
2023-08-12,FMC_GHEVAR_001,15.16,10,6.06
2023-08-19,FMC_GHEVAR_001,15.07,979,6.08
2023-08-26,FMC_GHEVAR_001,15.26,10,6.09
2023-09-02,FMC_GHEVAR_001,15.16,234,6.1
2023-09-09,FMC_GHEVAR_001,15.34,216,6.11
2023-09-16,FMC_GHEVAR_001,15.48,223,6.12
2023-09-23,FMC_GHEVAR_001,15.62,223,6.13
2023-09-30,FMC_GHEVAR_001,15.4,231,6.14
2023-10-07,FMC_GHEVAR_001,15.51,234,6.15
2023-10-14,FMC_GHEVAR_001,15.54,233,6.16
2023-10-21,FMC_GHEVAR_001,15.61,222,6.17
2023-10-28,FMC_GHEVAR_001,15.66,216,6.18
2023-11-04,FMC_GHEVAR_001,15.74,215,6.19
2023-11-11,FMC_GHEVAR_001,15.19,233,6.2
2023-11-18,FMC_GHEVAR_001,15.77,226,6.22
2023-11-25,FMC_GHEVAR_001,15.72,233,6.23
2023-12-02,FMC_GHEVAR_001,15.53,234,6.24
2023-12-09,FMC_GHEVAR_001,15.76,233,6.25
2023-12-16,FMC_GHEVAR_001,15.9,218,6.26
2023-12-23,FMC_GHEVAR_001,15.89,214,6.27
2023-12-30,FMC_GHEVAR_001,16.01,209,6.28
2024-01-06,FMC_GHEVAR_001,15.78,220,6.29
2024-01-13,FMC_GHEVAR_001,15.88,209,6.3
2024-01-20,FMC_GHEVAR_001,16.1,120,6.31
2024-01-27,FMC_GHEVAR_001,16.27,120,6.32
2024-02-03,FMC_GHEVAR_001,16.01,96,6.33
2024-02-10,FMC_GHEVAR_001,15.92,134,6.34
2024-02-17,FMC_GHEVAR_001,16.35,107,6.36
2024-02-24,FMC_GHEVAR_001,16.38,120,6.37
2024-03-02,FMC_GHEVAR_001,16.03,122,6.38
2024-03-09,FMC_GHEVAR_001,16.26,133,6.39
