date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,6.64,6.31,6.97
2023-07-08,8.9,8.450000000000001,9.35
2023-07-15,8.8,8.360000000000001,9.24
2023-07-22,8.17,7.76,8.58
2023-07-29,6.77,6.43,7.109999999999999
2023-08-05,8.38,7.960000000000001,8.8
2023-08-12,9.17,8.709999999999999,9.63
2023-08-19,9.06,8.610000000000001,9.51
2023-08-26,6.76,6.42,7.1
2023-09-02,8.96,8.510000000000002,9.41
2023-09-09,8.5,8.07,8.93
2023-09-16,7.97,7.569999999999999,8.37
2023-09-23,7.07,6.720000000000001,7.42
2023-09-30,8.27,7.859999999999999,8.68
2023-10-07,8.23,7.82,8.64
2023-10-14,9.33,8.86,9.8
2023-10-21,6.73,6.390000000000001,7.07
2023-10-28,8.6,8.17,9.03
2023-11-04,8.58,8.15,9.01
2023-11-11,7.44,7.07,7.8100000000000005
2023-11-18,6.58,6.25,6.91
2023-11-25,8.21,7.800000000000001,8.620000000000001
2023-12-02,8.64,8.21,9.07
2023-12-09,8.01,7.609999999999999,8.41
2023-12-16,6.44,6.12,6.760000000000001
2023-12-23,8.75,8.31,9.19
2023-12-30,8.73,8.290000000000001,9.17
2024-01-06,9.44,8.969999999999999,9.91
2024-01-13,6.52,6.1899999999999995,6.85
2024-01-20,8.26,7.85,8.67
2024-01-27,8.59,8.16,9.02
2024-02-03,8.0,7.6,8.4
2024-02-10,6.37,6.05,6.69
2024-02-17,8.5,8.07,8.93
2024-02-24,9.3,8.83,9.770000000000001
2024-03-02,8.6,8.17,9.03
2024-03-09,6.72,6.38,7.06
2024-03-16,8.75,8.31,9.19
2024-03-23,9.05,8.600000000000001,9.5
2024-03-30,8.55,8.120000000000001,8.98
2024-04-06,6.64,6.31,6.97
2024-04-13,8.69,8.26,9.12
2024-04-20,8.43,8.01,8.85
2024-04-27,8.96,8.510000000000002,9.41
2024-05-04,6.42,6.1,6.74
2024-05-11,8.75,8.31,9.19
2024-05-18,8.09,7.6899999999999995,8.49
2024-05-25,8.66,8.23,9.09
2024-06-01,6.58,6.25,6.91
2024-06-08,8.26,7.85,8.67
2024-06-15,9.14,8.68,9.600000000000001
2024-06-22,8.47,8.05,8.89
2024-06-29,6.45,6.13,6.7700000000000005
2024-07-06,8.41,7.99,8.83
2024-07-13,8.12,7.709999999999999,8.53
2024-07-20,8.5,8.07,8.93
2024-07-27,6.66,6.33,6.99
2024-08-03,8.69,8.26,9.12
2024-08-10,8.13,7.720000000000001,8.540000000000001
2024-08-17,8.98,8.530000000000001,9.43
2024-08-24,6.52,6.1899999999999995,6.85
2024-08-31,8.81,8.370000000000001,9.25
2024-09-07,8.31,7.890000000000001,8.73
2024-09-14,8.61,8.18,9.04
2024-09-21,6.87,6.53,7.21
2024-09-28,8.52,8.09,8.95
2024-10-05,8.75,8.31,9.19
2024-10-12,8.49,8.07,8.91
2024-10-19,7.02,6.67,7.369999999999999
2024-10-26,8.98,8.530000000000001,9.43
2024-11-02,8.24,7.83,8.65
2024-11-09,8.65,8.22,9.08
2024-11-16,6.19,5.880000000000001,6.5
2024-11-23,8.52,8.09,8.95
2024-11-30,8.48,8.06,8.9
2024-12-07,8.57,8.14,9.0
2024-12-14,5.88,5.59,6.17
2024-12-21,8.22,7.8100000000000005,8.63
2024-12-28,8.3,7.880000000000001,8.72
2025-01-04,8.65,8.22,9.08
2025-01-11,6.55,6.22,6.88
2025-01-18,8.72,8.280000000000001,9.16
2025-01-25,9.24,8.78,9.700000000000001
2025-02-01,8.77,8.33,9.209999999999999
2025-02-08,6.35,6.029999999999999,6.67
2025-02-15,8.32,7.9,8.74
2025-02-22,8.9,8.450000000000001,9.35
2025-03-01,8.72,8.280000000000001,9.16
2025-03-08,6.36,6.04,6.680000000000001
2025-03-15,8.84,8.4,9.28
2025-03-22,8.49,8.07,8.91
2025-03-29,8.89,8.450000000000001,9.33
2025-04-05,6.85,6.51,7.1899999999999995
2025-04-12,8.4,7.98,8.82
2025-04-19,8.5,8.07,8.93
2025-04-26,8.62,8.19,9.049999999999999
2025-05-03,6.41,6.09,6.73
2025-05-10,8.92,8.47,9.37
2025-05-17,8.4,7.98,8.82
2025-05-24,9.25,8.79,9.71
2025-05-31,6.46,6.14,6.78
2025-06-07,8.21,7.800000000000001,8.620000000000001
2025-06-14,8.68,8.25,9.11
2025-06-21,8.76,8.32,9.2
2025-06-28,5.94,5.640000000000001,6.24
2025-07-05,8.72,8.280000000000001,9.16
2025-07-12,8.64,8.21,9.07
2025-07-19,9.43,8.959999999999999,9.9
2025-07-26,6.53,6.2,6.86
2025-08-02,9.16,8.7,9.620000000000001
2025-08-09,8.55,8.120000000000001,8.98
2025-08-16,9.03,8.58,9.479999999999999
2025-08-23,6.63,6.3,6.96
2025-08-30,8.4,7.98,8.82
2025-09-06,8.1,7.6899999999999995,8.51
2025-09-13,8.16,7.75,8.57
2025-09-20,6.45,6.13,6.7700000000000005
2025-09-27,8.49,8.07,8.91
2025-10-04,9.1,8.639999999999999,9.56
2025-10-11,8.73,8.290000000000001,9.17
2025-10-18,6.77,6.43,7.109999999999999
2025-10-25,8.72,8.280000000000001,9.16
2025-11-01,8.77,8.33,9.209999999999999
2025-11-08,8.56,8.13,8.99
2025-11-15,6.63,6.3,6.96
2025-11-22,8.75,8.31,9.19
2025-11-29,8.32,7.9,8.74
2025-12-06,8.19,7.779999999999999,8.6
2025-12-13,6.63,6.3,6.96
2025-12-20,8.37,7.949999999999999,8.79
2025-12-27,8.81,8.370000000000001,9.25
2026-01-03,9.1,8.639999999999999,9.56
2026-01-10,6.73,6.390000000000001,7.07
2026-01-17,8.75,8.31,9.19
2026-01-24,8.44,8.02,8.86
2026-01-31,8.22,7.8100000000000005,8.63
2026-02-07,6.7,6.36,7.04
2026-02-14,8.87,8.43,9.309999999999999
2026-02-21,8.77,8.33,9.209999999999999
2026-02-28,8.78,8.34,9.219999999999999
2026-03-07,6.55,6.22,6.88
2026-03-14,8.6,8.17,9.03
2026-03-21,8.86,8.42,9.299999999999999
2026-03-28,9.05,8.600000000000001,9.5
2026-04-04,6.73,6.390000000000001,7.07
2026-04-11,8.68,8.25,9.11
2026-04-18,8.43,8.01,8.85
2026-04-25,9.1,8.639999999999999,9.56
2026-05-02,6.52,6.1899999999999995,6.85
2026-05-09,9.07,8.620000000000001,9.52
2026-05-16,8.76,8.32,9.2
2026-05-23,8.53,8.1,8.959999999999999
2026-05-30,6.75,6.41,7.09
2026-06-06,8.55,8.120000000000001,8.98
2026-06-13,8.26,7.85,8.67
2026-06-20,8.61,8.18,9.04
