date,cci_current,cci_baseline,google_trends_score
2023-07-01,116.1,100.0,49.2
2023-07-08,115.8,100.0,100.0
2023-07-15,114.9,100.0,100.0
2023-07-22,114.7,100.0,100.0
2023-07-29,116.9,100.0,100.0
2023-08-05,114.6,100.0,100.0
2023-08-12,114.1,100.0,100.0
2023-08-19,114.8,100.0,100.0
2023-08-26,115.9,100.0,100.0
2023-09-02,114.4,100.0,100.0
2023-09-09,116.8,100.0,52.0
2023-09-16,114.4,100.0,32.8
2023-09-23,114.3,100.0,26.6
2023-09-30,114.4,100.0,14.2
2023-10-07,115.8,100.0,21.2
2023-10-14,116.0,100.0,31.9
2023-10-21,113.7,100.0,12.6
2023-10-28,115.4,100.0,15.4
2023-11-04,113.7,100.0,21.7
2023-11-11,114.3,100.0,32.6
2023-11-18,115.2,100.0,0.0
2023-11-25,115.5,100.0,19.7
2023-12-02,115.4,100.0,18.8
2023-12-09,114.7,100.0,29.3
2023-12-16,116.5,100.0,28.5
2023-12-23,114.8,100.0,0.0
2023-12-30,114.7,100.0,12.4
2024-01-06,115.8,100.0,25.4
2024-01-13,115.7,100.0,1.4
2024-01-20,116.1,100.0,21.8
2024-01-27,113.6,100.0,10.7
2024-02-03,116.0,100.0,22.3
2024-02-10,114.9,100.0,0.0
2024-02-17,115.2,100.0,23.5
2024-02-24,115.8,100.0,22.7
2024-03-02,115.4,100.0,28.0
2024-03-09,114.3,100.0,22.8
2024-03-16,112.7,100.0,27.9
2024-03-23,116.8,100.0,33.9
2024-03-30,116.2,100.0,18.2
2024-04-06,117.1,100.0,12.4
2024-04-13,114.4,100.0,30.3
2024-04-20,114.9,100.0,28.6
2024-04-27,115.4,100.0,10.7
2024-05-04,113.4,100.0,26.0
2024-05-11,114.9,100.0,28.7
2024-05-18,114.5,100.0,12.3
2024-05-25,114.1,100.0,2.6
2024-06-01,115.9,100.0,26.6
2024-06-08,114.4,100.0,16.0
2024-06-15,114.1,100.0,16.1
2024-06-22,116.2,100.0,32.3
2024-06-29,115.4,100.0,46.1
2024-07-06,114.0,100.0,90.1
2024-07-13,115.2,100.0,100.0
2024-07-20,114.9,100.0,100.0
2024-07-27,114.6,100.0,100.0
2024-08-03,115.7,100.0,100.0
2024-08-10,114.5,100.0,100.0
2024-08-17,114.0,100.0,100.0
2024-08-24,114.0,100.0,100.0
2024-08-31,117.4,100.0,97.5
2024-09-07,114.6,100.0,53.0
2024-09-14,117.4,100.0,26.1
2024-09-21,115.5,100.0,28.5
2024-09-28,114.9,100.0,17.9
2024-10-05,115.2,100.0,0.0
2024-10-12,114.2,100.0,9.7
2024-10-19,115.3,100.0,25.6
2024-10-26,115.9,100.0,9.6
2024-11-02,115.7,100.0,19.5
2024-11-09,115.1,100.0,35.8
2024-11-16,113.7,100.0,19.4
2024-11-23,114.5,100.0,27.2
2024-11-30,114.5,100.0,27.5
2024-12-07,114.8,100.0,35.1
2024-12-14,115.0,100.0,20.1
2024-12-21,115.8,100.0,35.6
2024-12-28,115.4,100.0,27.0
2025-01-04,115.9,100.0,21.1
2025-01-11,115.1,100.0,13.8
2025-01-18,115.6,100.0,25.2
2025-01-25,115.9,100.0,38.5
2025-02-01,116.5,100.0,19.2
2025-02-08,116.3,100.0,19.2
2025-02-15,112.9,100.0,21.4
2025-02-22,114.9,100.0,59.5
2025-03-01,112.6,100.0,17.8
2025-03-08,114.9,100.0,25.4
2025-03-15,113.8,100.0,30.0
2025-03-22,115.4,100.0,10.4
2025-03-29,114.7,100.0,43.6
2025-04-05,113.9,100.0,27.7
2025-04-12,116.7,100.0,29.8
2025-04-19,115.3,100.0,37.4
2025-04-26,116.7,100.0,6.6
2025-05-03,114.0,100.0,31.2
2025-05-10,114.9,100.0,25.0
2025-05-17,115.5,100.0,9.7
2025-05-24,115.1,100.0,8.4
2025-05-31,115.7,100.0,5.5
2025-06-07,114.9,100.0,17.1
2025-06-14,115.2,100.0,23.5
2025-06-21,114.3,100.0,12.1
2025-06-28,114.7,100.0,46.8
2025-07-05,113.4,100.0,100.0
2025-07-12,114.7,100.0,100.0
2025-07-19,114.9,100.0,100.0
2025-07-26,114.1,100.0,100.0
2025-08-02,116.3,100.0,100.0
2025-08-09,116.2,100.0,100.0
2025-08-16,116.9,100.0,100.0
2025-08-23,115.5,100.0,100.0
2025-08-30,115.8,100.0,92.0
2025-09-06,113.6,100.0,65.8
2025-09-13,114.8,100.0,44.2
2025-09-20,115.2,100.0,18.4
2025-09-27,113.6,100.0,21.4
2025-10-04,115.8,100.0,25.2
2025-10-11,115.3,100.0,13.5
2025-10-18,114.9,100.0,14.4
2025-10-25,114.8,100.0,36.7
2025-11-01,114.0,100.0,21.6
2025-11-08,116.8,100.0,43.2
2025-11-15,115.0,100.0,26.7
2025-11-22,114.4,100.0,29.4
2025-11-29,113.0,100.0,44.2
2025-12-06,116.5,100.0,19.6
2025-12-13,114.7,100.0,17.3
2025-12-20,115.0,100.0,23.4
2025-12-27,114.6,100.0,10.9
2026-01-03,114.5,100.0,0.3
2026-01-10,114.9,100.0,16.6
2026-01-17,115.6,100.0,14.6
2026-01-24,114.5,100.0,14.8
2026-01-31,115.2,100.0,38.9
2026-02-07,115.7,100.0,25.5
2026-02-14,115.4,100.0,0.6
2026-02-21,114.5,100.0,33.7
2026-02-28,113.1,100.0,22.5
2026-03-07,115.2,100.0,15.4
2026-03-14,114.5,100.0,25.9
2026-03-21,116.0,100.0,35.0
2026-03-28,115.5,100.0,25.9
2026-04-04,115.8,100.0,14.6
2026-04-11,115.3,100.0,11.0
2026-04-18,113.6,100.0,1.7
2026-04-25,114.8,100.0,27.7
2026-05-02,116.2,100.0,11.9
2026-05-09,114.5,100.0,23.6
2026-05-16,114.8,100.0,8.6
2026-05-23,116.4,100.0,17.7
2026-05-30,117.0,100.0,23.6
2026-06-06,115.9,100.0,17.7
2026-06-13,114.7,100.0,22.5
2026-06-20,112.3,100.0,31.3
