date,units_in_stock,avg_daily_sales_14d
2023-07-01,671,47.0
2023-07-08,482,43.14
2023-07-15,389,66.29
2023-07-22,148,96.86
2023-07-29,10,212.71
2023-08-05,788,1.43
2023-08-12,10,144.14
2023-08-19,782,1.43
2023-08-26,138,98.86
2023-09-02,391,59.0
2023-09-09,549,39.29
2023-09-16,519,36.86
2023-09-23,447,44.0
2023-09-30,551,32.57
2023-10-07,573,32.57
2023-10-14,564,33.14
2023-10-21,460,43.43
2023-10-28,560,30.14
2023-11-04,579,33.71
2023-11-11,535,36.71
2023-11-18,556,35.43
2023-11-25,549,33.71
2023-12-02,556,31.86
2023-12-09,561,35.29
2023-12-16,465,47.71
2023-12-23,691,15.43
2023-12-30,646,18.14
2024-01-06,668,17.43
2024-01-13,618,25.14
2024-01-20,687,15.86
2024-01-27,695,14.71
2024-02-03,676,17.71
2024-02-10,638,22.0
2024-02-17,608,23.57
2024-02-24,664,18.71
2024-03-02,668,19.86
2024-03-09,609,28.57
2024-03-16,694,18.43
2024-03-23,644,21.43
2024-03-30,661,18.29
2024-04-06,591,26.43
2024-04-13,668,20.0
2024-04-20,661,21.57
2024-04-27,682,17.57
2024-05-04,543,35.86
2024-05-11,459,45.86
2024-05-18,682,18.0
2024-05-25,714,16.0
2024-06-01,572,28.57
2024-06-08,694,17.0
2024-06-15,674,17.14
2024-06-22,681,19.29
2024-06-29,533,38.43
2024-07-06,519,39.14
2024-07-13,312,72.43
2024-07-20,95,95.14
2024-07-27,10,202.43
2024-08-03,813,1.43
2024-08-10,10,164.71
2024-08-17,778,1.43
2024-08-24,33,110.71
2024-08-31,792,4.71
2024-09-07,506,43.0
2024-09-14,572,35.0
2024-09-21,464,45.86
2024-09-28,594,27.57
2024-10-05,611,26.86
2024-10-12,571,31.57
2024-10-19,476,43.86
2024-10-26,623,29.43
2024-11-02,572,33.29
2024-11-09,496,37.71
2024-11-16,444,48.14
2024-11-23,578,31.29
2024-11-30,569,32.43
2024-12-07,542,35.14
2024-12-14,494,44.14
2024-12-21,546,36.0
2024-12-28,526,33.14
2025-01-04,598,30.71
2025-01-11,618,26.86
2025-01-18,702,20.0
2025-01-25,646,20.71
2025-02-01,673,18.86
2025-02-08,623,26.57
2025-02-15,698,19.14
2025-02-22,610,25.71
2025-03-01,673,17.86
2025-03-08,597,31.14
2025-03-15,635,20.29
2025-03-22,728,16.14
2025-03-29,637,22.71
2025-04-05,564,32.14
2025-04-12,688,18.57
2025-04-19,608,23.14
2025-04-26,688,13.71
2025-05-03,633,26.29
2025-05-10,652,20.14
2025-05-17,694,15.43
2025-05-24,713,15.43
2025-05-31,670,26.43
2025-06-07,632,20.29
2025-06-14,679,19.0
2025-06-21,699,17.71
2025-06-28,549,37.86
2025-07-05,513,36.0
2025-07-12,338,63.0
2025-07-19,175,93.0
2025-07-26,10,204.57
2025-08-02,776,1.43
2025-08-09,10,309.43
2025-08-16,779,1.43
2025-08-23,10,112.14
2025-08-30,776,1.43
2025-09-06,519,42.14
2025-09-13,565,35.57
2025-09-20,474,43.14
2025-09-27,544,33.71
2025-10-04,590,33.14
2025-10-11,585,31.14
2025-10-18,554,39.14
2025-10-25,544,35.43
2025-11-01,602,32.57
2025-11-08,549,37.0
2025-11-15,506,44.29
2025-11-22,562,35.14
2025-11-29,526,39.43
2025-12-06,596,32.43
2025-12-13,503,39.71
2025-12-20,560,33.14
2025-12-27,603,29.43
2026-01-03,626,28.71
2026-01-10,482,44.29
2026-01-17,631,22.0
2026-01-24,683,18.29
2026-01-31,629,23.29
2026-02-07,610,30.71
2026-02-14,754,13.43
2026-02-21,659,23.14
2026-02-28,651,18.0
2026-03-07,628,25.0
2026-03-14,673,19.29
2026-03-21,641,17.86
2026-03-28,680,18.86
2026-04-04,610,25.0
2026-04-11,655,17.43
2026-04-18,693,15.43
2026-04-25,682,18.43
2026-05-02,592,28.57
2026-05-09,655,18.0
2026-05-16,681,15.29
2026-05-23,680,18.86
2026-05-30,586,30.71
2026-06-06,669,20.0
2026-06-13,666,16.14
2026-06-20,662,19.71
