date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_GHEVAR_001,12.0,166,6.0
2023-07-08,FMC_GHEVAR_001,15.7,120,6.0
2023-07-15,FMC_GHEVAR_001,15.76,126,6.0
2023-07-22,FMC_GHEVAR_001,15.49,978,6.0
2023-07-29,FMC_GHEVAR_001,12.0,10,6.0
2023-08-05,FMC_GHEVAR_001,15.76,868,6.0
2023-08-12,FMC_GHEVAR_001,15.74,10,6.0
2023-08-19,FMC_GHEVAR_001,15.7,901,6.0
2023-08-26,FMC_GHEVAR_001,12.0,10,6.0
2023-09-02,FMC_GHEVAR_001,15.59,229,6.0
2023-09-09,FMC_GHEVAR_001,15.79,212,6.0
2023-09-16,FMC_GHEVAR_001,15.67,230,6.0
2023-09-23,FMC_GHEVAR_001,12.0,287,6.0
2023-09-30,FMC_GHEVAR_001,15.66,211,6.0
2023-10-07,FMC_GHEVAR_001,15.7,210,6.0
2023-10-14,FMC_GHEVAR_001,15.48,246,6.0
2023-10-21,FMC_GHEVAR_001,12.0,302,6.0
2023-10-28,FMC_GHEVAR_001,15.85,222,6.0
2023-11-04,FMC_GHEVAR_001,15.55,209,6.0
2023-11-11,FMC_GHEVAR_001,15.73,216,6.0
2023-11-18,FMC_GHEVAR_001,12.0,286,6.0
2023-11-25,FMC_GHEVAR_001,15.89,227,6.0
2023-12-02,FMC_GHEVAR_001,15.73,221,6.0
2023-12-09,FMC_GHEVAR_001,15.87,224,6.0
2023-12-16,FMC_GHEVAR_001,12.0,266,6.0
2023-12-23,FMC_GHEVAR_001,15.77,198,6.0
2023-12-30,FMC_GHEVAR_001,15.68,219,6.0
2024-01-06,FMC_GHEVAR_001,15.78,216,6.0
2024-01-13,FMC_GHEVAR_001,12.0,281,6.0
2024-01-20,FMC_GHEVAR_001,16.15,226,6.0
2024-01-27,FMC_GHEVAR_001,15.87,196,6.0
2024-02-03,FMC_GHEVAR_001,15.93,217,6.0
2024-02-10,FMC_GHEVAR_001,12.0,298,6.0
2024-02-17,FMC_GHEVAR_001,15.65,216,6.0
2024-02-24,FMC_GHEVAR_001,15.6,230,6.0
