date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,8.96,8.510000000000002,9.41
2023-07-08,8.51,8.08,8.94
2023-07-15,8.61,8.18,9.04
2023-07-22,9.03,8.58,9.479999999999999
2023-07-29,8.87,8.43,9.309999999999999
2023-08-05,9.43,8.959999999999999,9.9
2023-08-12,10.18,9.67,10.69
2023-08-19,8.89,8.450000000000001,9.33
2023-08-26,9.0,8.55,9.45
2023-09-02,9.64,9.16,10.120000000000001
2023-09-09,10.09,9.59,10.59
2023-09-16,9.46,8.99,9.930000000000001
2023-09-23,9.23,8.77,9.690000000000001
2023-09-30,9.46,8.99,9.930000000000001
2023-10-07,9.25,8.79,9.71
2023-10-14,8.12,7.709999999999999,8.53
2023-10-21,9.33,8.86,9.8
2023-10-28,9.21,8.75,9.670000000000002
2023-11-04,8.7,8.26,9.139999999999999
2023-11-11,8.2,7.789999999999999,8.61
2023-11-18,7.92,7.52,8.32
2023-11-25,7.63,7.25,8.01
2023-12-02,7.64,7.26,8.02
2023-12-09,7.2,6.84,7.5600000000000005
2023-12-16,7.32,6.95,7.69
2023-12-23,7.31,6.9399999999999995,7.68
2023-12-30,7.28,6.92,7.640000000000001
2024-01-06,7.04,6.69,7.39
2024-01-13,7.02,6.67,7.369999999999999
2024-01-20,6.74,6.4,7.08
2024-01-27,6.74,6.4,7.08
2024-02-03,6.62,6.29,6.95
2024-02-10,7.15,6.79,7.510000000000001
2024-02-17,7.25,6.89,7.61
2024-02-24,7.59,7.21,7.97
2024-03-02,7.51,7.13,7.89
2024-03-09,7.46,7.09,7.83
2024-03-16,8.02,7.619999999999999,8.42
2024-03-23,8.38,7.960000000000001,8.8
2024-03-30,8.51,8.08,8.94
2024-04-06,8.29,7.879999999999999,8.7
2024-04-13,9.28,8.819999999999999,9.74
2024-04-20,8.86,8.42,9.299999999999999
2024-04-27,9.25,8.79,9.71
2024-05-04,9.27,8.809999999999999,9.73
2024-05-11,9.54,9.059999999999999,10.02
2024-05-18,8.52,8.09,8.95
2024-05-25,9.69,9.209999999999999,10.17
2024-06-01,9.46,8.99,9.930000000000001
2024-06-08,9.36,8.889999999999999,9.83
2024-06-15,9.14,8.68,9.600000000000001
2024-06-22,9.35,8.879999999999999,9.82
2024-06-29,8.93,8.48,9.379999999999999
2024-07-06,9.4,8.93,9.870000000000001
2024-07-13,9.7,9.219999999999999,10.18
2024-07-20,8.9,8.450000000000001,9.35
2024-07-27,8.62,8.19,9.049999999999999
2024-08-03,8.5,8.07,8.93
2024-08-10,8.11,7.699999999999999,8.52
2024-08-17,8.54,8.11,8.969999999999999
2024-08-24,8.01,7.609999999999999,8.41
2024-08-31,8.1,7.699999999999999,8.5
2024-09-07,7.74,7.3500000000000005,8.13
2024-09-14,7.72,7.33,8.11
2024-09-21,7.15,6.79,7.510000000000001
2024-09-28,7.12,6.76,7.48
