date,cci_current,cci_baseline,google_trends_score
2023-07-01,113.6,100.0,72.6
2023-07-08,113.4,100.0,92.4
2023-07-15,114.1,100.0,100.0
2023-07-22,115.2,100.0,100.0
2023-07-29,113.8,100.0,100.0
2023-08-05,115.7,100.0,100.0
2023-08-12,115.7,100.0,100.0
2023-08-19,115.5,100.0,100.0
2023-08-26,113.7,100.0,100.0
2023-09-02,116.1,100.0,100.0
2023-09-09,114.8,100.0,75.1
2023-09-16,114.6,100.0,26.7
2023-09-23,116.4,100.0,39.4
2023-09-30,115.9,100.0,6.3
2023-10-07,114.9,100.0,19.2
2023-10-14,114.4,100.0,14.0
2023-10-21,114.9,100.0,11.7
2023-10-28,114.4,100.0,27.9
2023-11-04,115.8,100.0,25.8
2023-11-11,114.2,100.0,22.3
2023-11-18,114.7,100.0,34.7
2023-11-25,116.2,100.0,0.6
2023-12-02,114.5,100.0,11.4
2023-12-09,115.6,100.0,25.2
2023-12-16,115.2,100.0,12.6
2023-12-23,113.0,100.0,22.9
2023-12-30,112.9,100.0,21.8
2024-01-06,114.3,100.0,20.9
2024-01-13,115.5,100.0,22.7
2024-01-20,116.5,100.0,3.7
2024-01-27,115.0,100.0,34.9
2024-02-03,115.9,100.0,16.3
2024-02-10,112.7,100.0,17.4
2024-02-17,114.3,100.0,39.3
2024-02-24,116.0,100.0,25.5
2024-03-02,116.5,100.0,0.0
2024-03-09,113.5,100.0,12.4
2024-03-16,115.8,100.0,10.7
2024-03-23,114.7,100.0,13.0
2024-03-30,113.3,100.0,12.8
2024-04-06,113.9,100.0,16.1
2024-04-13,113.7,100.0,41.3
2024-04-20,114.5,100.0,10.7
2024-04-27,114.1,100.0,41.4
2024-05-04,114.5,100.0,28.8
2024-05-11,113.3,100.0,12.6
2024-05-18,116.0,100.0,32.1
2024-05-25,115.4,100.0,30.4
2024-06-01,114.2,100.0,14.3
2024-06-08,115.5,100.0,31.6
2024-06-15,115.4,100.0,28.7
2024-06-22,115.0,100.0,12.1
2024-06-29,114.1,100.0,54.2
2024-07-06,115.2,100.0,100.0
2024-07-13,115.7,100.0,100.0
2024-07-20,116.4,100.0,100.0
2024-07-27,113.6,100.0,100.0
2024-08-03,115.1,100.0,100.0
2024-08-10,117.3,100.0,100.0
2024-08-17,114.5,100.0,100.0
2024-08-24,113.8,100.0,100.0
2024-08-31,114.6,100.0,97.8
2024-09-07,115.4,100.0,58.6
2024-09-14,114.1,100.0,25.4
2024-09-21,116.2,100.0,28.4
2024-09-28,114.7,100.0,20.0
2024-10-05,115.8,100.0,19.6
2024-10-12,116.9,100.0,24.4
2024-10-19,116.8,100.0,10.7
2024-10-26,116.4,100.0,22.1
2024-11-02,114.1,100.0,30.5
2024-11-09,115.5,100.0,26.9
2024-11-16,112.5,100.0,27.2
2024-11-23,116.7,100.0,12.5
2024-11-30,115.3,100.0,40.2
2024-12-07,115.3,100.0,21.6
2024-12-14,114.1,100.0,29.7
2024-12-21,115.3,100.0,27.5
2024-12-28,113.6,100.0,27.5
2025-01-04,115.3,100.0,35.8
2025-01-11,115.7,100.0,28.4
2025-01-18,113.6,100.0,23.6
2025-01-25,114.2,100.0,12.2
2025-02-01,114.0,100.0,25.0
2025-02-08,115.8,100.0,16.6
2025-02-15,117.8,100.0,27.8
2025-02-22,115.4,100.0,23.8
2025-03-01,115.0,100.0,24.7
2025-03-08,114.9,100.0,40.0
2025-03-15,115.3,100.0,12.2
2025-03-22,115.3,100.0,10.8
2025-03-29,115.4,100.0,28.2
2025-04-05,113.8,100.0,26.4
2025-04-12,113.8,100.0,8.6
2025-04-19,114.1,100.0,9.9
2025-04-26,115.1,100.0,24.6
2025-05-03,114.2,100.0,8.6
2025-05-10,114.1,100.0,16.0
2025-05-17,116.0,100.0,13.2
2025-05-24,114.3,100.0,0.0
2025-05-31,115.5,100.0,40.6
2025-06-07,114.3,100.0,33.2
2025-06-14,117.0,100.0,26.9
2025-06-21,113.8,100.0,41.7
2025-06-28,115.6,100.0,39.9
2025-07-05,116.3,100.0,100.0
2025-07-12,115.3,100.0,100.0
2025-07-19,115.4,100.0,100.0
2025-07-26,115.8,100.0,100.0
2025-08-02,113.7,100.0,100.0
2025-08-09,114.2,100.0,100.0
2025-08-16,115.4,100.0,100.0
2025-08-23,114.4,100.0,100.0
2025-08-30,114.3,100.0,100.0
2025-09-06,115.3,100.0,48.7
2025-09-13,115.0,100.0,32.5
2025-09-20,113.9,100.0,10.1
2025-09-27,116.0,100.0,14.5
2025-10-04,114.3,100.0,22.1
2025-10-11,115.3,100.0,25.1
2025-10-18,115.3,100.0,16.8
2025-10-25,116.5,100.0,42.8
2025-11-01,114.6,100.0,12.4
2025-11-08,115.5,100.0,24.3
2025-11-15,112.7,100.0,23.9
2025-11-22,115.1,100.0,36.3
2025-11-29,114.8,100.0,24.5
2025-12-06,114.4,100.0,18.2
2025-12-13,116.1,100.0,26.2
2025-12-20,116.2,100.0,13.7
2025-12-27,114.3,100.0,29.6
2026-01-03,115.7,100.0,33.5
2026-01-10,115.0,100.0,21.1
2026-01-17,116.4,100.0,3.5
2026-01-24,114.2,100.0,14.0
2026-01-31,114.8,100.0,15.6
2026-02-07,115.1,100.0,1.1
2026-02-14,117.0,100.0,18.4
2026-02-21,115.4,100.0,29.3
2026-02-28,116.9,100.0,43.2
2026-03-07,116.6,100.0,13.3
2026-03-14,114.6,100.0,50.4
2026-03-21,114.8,100.0,39.7
2026-03-28,115.3,100.0,17.5
2026-04-04,113.9,100.0,12.5
2026-04-11,114.1,100.0,12.1
2026-04-18,113.8,100.0,4.4
2026-04-25,114.9,100.0,0.0
2026-05-02,116.0,100.0,20.6
2026-05-09,114.9,100.0,11.5
2026-05-16,115.8,100.0,39.9
2026-05-23,116.8,100.0,21.2
2026-05-30,115.8,100.0,34.3
2026-06-06,115.4,100.0,25.6
2026-06-13,113.9,100.0,19.4
2026-06-20,115.6,100.0,31.0
