date,units_in_stock,avg_daily_sales_14d
2023-07-01,876,17.71
2023-07-08,762,16.29
2023-07-15,684,17.71
2023-07-22,10,113.71
2023-07-29,815,1.43
2023-08-05,10,133.57
2023-08-12,805,1.43
2023-08-19,10,120.43
2023-08-26,782,1.43
2023-09-02,579,29.86
2023-09-09,552,30.29
2023-09-16,594,30.43
2023-09-23,599,26.57
2023-09-30,609,29.43
2023-10-07,610,29.14
2023-10-14,604,30.86
2023-10-21,550,34.0
2023-10-28,582,30.57
2023-11-04,568,31.57
2023-11-11,586,32.57
2023-11-18,545,35.29
2023-11-25,554,34.43
2023-12-02,588,35.43
2023-12-09,552,36.29
2023-12-16,572,35.0
2023-12-23,565,37.57
2023-12-30,582,33.71
2024-01-06,652,20.86
2024-01-13,627,27.43
2024-01-20,607,26.29
2024-01-27,672,24.43
2024-02-03,627,25.29
2024-02-10,556,28.0
2024-02-17,659,21.71
2024-02-24,634,19.71
2024-03-02,639,23.29
2024-03-09,643,21.57
2024-03-16,601,19.57
2024-03-23,712,16.0
2024-03-30,667,21.0
2024-04-06,703,14.57
2024-04-13,654,19.0
2024-04-20,674,16.71
2024-04-27,706,13.29
2024-05-04,680,16.0
2024-05-11,513,40.86
2024-05-18,723,14.43
2024-05-25,708,13.57
2024-06-01,712,13.43
2024-06-08,708,14.71
2024-06-15,706,12.71
2024-06-22,711,13.71
2024-06-29,712,13.29
2024-07-06,725,11.57
2024-07-13,677,13.71
2024-07-20,10,123.29
2024-07-27,779,1.43
2024-08-03,10,127.86
2024-08-10,794,1.43
2024-08-17,10,140.29
2024-08-24,763,1.43
2024-08-31,560,37.86
2024-09-07,556,35.0
2024-09-14,544,37.43
2024-09-21,541,40.57
2024-09-28,585,37.14
2024-10-05,516,39.57
2024-10-12,540,37.71
2024-10-19,509,37.0
2024-10-26,527,39.29
2024-11-02,533,40.43
2024-11-09,501,39.14
2024-11-16,601,33.57
2024-11-23,557,34.14
2024-11-30,566,33.86
2024-12-07,564,33.57
2024-12-14,543,37.14
2024-12-21,595,29.71
2024-12-28,580,26.71
2025-01-04,699,15.71
2025-01-11,700,19.43
2025-01-18,694,13.71
2025-01-25,689,15.14
2025-02-01,699,16.14
2025-02-08,687,15.57
2025-02-15,715,14.86
2025-02-22,683,14.43
2025-03-01,680,14.43
2025-03-08,667,15.0
2025-03-15,713,12.14
2025-03-22,701,17.14
2025-03-29,704,12.43
2025-04-05,727,14.43
2025-04-12,669,14.14
2025-04-19,731,14.71
2025-04-26,658,16.86
2025-05-03,646,18.43
2025-05-10,673,16.14
2025-05-17,631,20.86
2025-05-24,638,20.57
2025-05-31,647,20.29
2025-06-07,666,21.43
2025-06-14,660,21.29
2025-06-21,642,24.43
2025-06-28,643,22.57
2025-07-05,655,22.29
2025-07-12,636,26.14
2025-07-19,10,168.86
2025-07-26,798,1.43
2025-08-02,10,177.57
2025-08-09,788,1.43
2025-08-16,10,190.14
2025-08-23,796,1.43
2025-08-30,561,38.57
2025-09-06,589,33.71
2025-09-13,577,34.86
2025-09-20,599,32.43
2025-09-27,584,29.71
2025-10-04,575,30.0
2025-10-11,602,31.29
2025-10-18,579,30.86
2025-10-25,577,29.71
2025-11-01,594,26.71
2025-11-08,622,27.86
2025-11-15,564,29.86
2025-11-22,590,31.57
2025-11-29,603,28.86
2025-12-06,575,29.71
2025-12-13,581,30.0
2025-12-20,589,30.43
2025-12-27,577,29.57
2026-01-03,609,29.0
2026-01-10,577,31.86
2026-01-17,592,30.43
2026-01-24,588,32.43
2026-01-31,573,33.57
2026-02-07,543,33.14
2026-02-14,567,33.43
2026-02-21,602,31.71
2026-02-28,538,33.86
2026-03-07,548,35.29
2026-03-14,503,39.29
2026-03-21,531,39.71
2026-03-28,539,37.43
2026-04-04,556,34.57
2026-04-11,512,38.57
2026-04-18,512,40.43
2026-04-25,522,42.57
2026-05-02,528,38.43
2026-05-09,544,32.71
2026-05-16,529,38.14
2026-05-23,606,32.71
2026-05-30,563,35.14
2026-06-06,558,37.0
2026-06-13,572,32.0
2026-06-20,556,33.29
