date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_GHEVAR_001,14.92,124,6.0
2023-07-08,FMC_GHEVAR_001,15.38,114,6.0
2023-07-15,FMC_GHEVAR_001,15.65,124,6.0
2023-07-22,FMC_GHEVAR_001,16.16,796,6.0
2023-07-29,FMC_GHEVAR_001,16.16,10,6.0
2023-08-05,FMC_GHEVAR_001,16.69,935,6.0
2023-08-12,FMC_GHEVAR_001,16.72,10,6.0
2023-08-19,FMC_GHEVAR_001,17.28,843,6.0
2023-08-26,FMC_GHEVAR_001,17.28,10,6.0
2023-09-02,FMC_GHEVAR_001,17.48,209,6.0
2023-09-09,FMC_GHEVAR_001,17.54,212,6.0
2023-09-16,FMC_GHEVAR_001,16.97,213,6.0
2023-09-23,FMC_GHEVAR_001,17.28,186,6.0
2023-09-30,FMC_GHEVAR_001,16.97,206,6.0
2023-10-07,FMC_GHEVAR_001,16.77,204,6.0
2023-10-14,FMC_GHEVAR_001,16.33,216,6.0
2023-10-21,FMC_GHEVAR_001,15.96,238,6.0
2023-10-28,FMC_GHEVAR_001,15.81,214,6.0
2023-11-04,FMC_GHEVAR_001,15.44,221,6.0
2023-11-11,FMC_GHEVAR_001,15.23,228,6.0
2023-11-18,FMC_GHEVAR_001,14.81,247,6.0
2023-11-25,FMC_GHEVAR_001,14.34,241,6.0
2023-12-02,FMC_GHEVAR_001,14.06,248,6.0
2023-12-09,FMC_GHEVAR_001,13.82,254,6.0
2023-12-16,FMC_GHEVAR_001,13.61,245,6.0
2023-12-23,FMC_GHEVAR_001,13.14,263,6.0
2023-12-30,FMC_GHEVAR_001,13.03,236,6.0
2024-01-06,FMC_GHEVAR_001,12.8,146,6.0
2024-01-13,FMC_GHEVAR_001,12.86,192,6.0
2024-01-20,FMC_GHEVAR_001,12.65,184,6.0
2024-01-27,FMC_GHEVAR_001,12.61,171,6.0
2024-02-03,FMC_GHEVAR_001,12.78,177,6.0
2024-02-10,FMC_GHEVAR_001,12.91,196,6.0
2024-02-17,FMC_GHEVAR_001,13.16,152,6.0
2024-02-24,FMC_GHEVAR_001,13.39,138,6.0
2024-03-02,FMC_GHEVAR_001,13.73,163,6.0
2024-03-09,FMC_GHEVAR_001,13.98,151,6.0
2024-03-16,FMC_GHEVAR_001,14.26,137,6.0
2024-03-23,FMC_GHEVAR_001,14.8,112,6.0
2024-03-30,FMC_GHEVAR_001,15.14,147,6.0
2024-04-06,FMC_GHEVAR_001,15.4,102,6.0
2024-04-13,FMC_GHEVAR_001,15.83,133,6.0
2024-04-20,FMC_GHEVAR_001,16.02,117,6.0
2024-04-27,FMC_GHEVAR_001,16.32,93,6.0
2024-05-04,FMC_GHEVAR_001,16.65,112,6.0
2024-05-11,FMC_GHEVAR_001,16.77,286,6.0
2024-05-18,FMC_GHEVAR_001,16.99,101,6.0
2024-05-25,FMC_GHEVAR_001,16.97,95,6.0
2024-06-01,FMC_GHEVAR_001,17.29,94,6.0
2024-06-08,FMC_GHEVAR_001,17.13,103,6.0
2024-06-15,FMC_GHEVAR_001,17.33,89,6.0
2024-06-22,FMC_GHEVAR_001,17.03,96,6.0
2024-06-29,FMC_GHEVAR_001,17.0,93,6.0
2024-07-06,FMC_GHEVAR_001,16.85,81,6.0
2024-07-13,FMC_GHEVAR_001,16.88,96,6.0
2024-07-20,FMC_GHEVAR_001,16.3,863,6.0
2024-07-27,FMC_GHEVAR_001,16.1,10,6.0
2024-08-03,FMC_GHEVAR_001,15.61,895,6.0
2024-08-10,FMC_GHEVAR_001,15.43,10,6.0
2024-08-17,FMC_GHEVAR_001,14.94,982,6.0
2024-08-24,FMC_GHEVAR_001,14.3,10,6.0
2024-08-31,FMC_GHEVAR_001,14.13,265,6.0
2024-09-07,FMC_GHEVAR_001,13.8,245,6.0
2024-09-14,FMC_GHEVAR_001,13.45,262,6.0
2024-09-21,FMC_GHEVAR_001,13.22,284,6.0
2024-09-28,FMC_GHEVAR_001,12.94,260,6.0
2024-10-05,FMC_GHEVAR_001,12.86,277,6.0
2024-10-12,FMC_GHEVAR_001,12.83,264,6.0
2024-10-19,FMC_GHEVAR_001,12.68,259,6.0
2024-10-26,FMC_GHEVAR_001,12.89,275,6.0
2024-11-02,FMC_GHEVAR_001,12.64,283,6.0
2024-11-09,FMC_GHEVAR_001,12.94,274,6.0
2024-11-16,FMC_GHEVAR_001,13.17,235,6.0
2024-11-23,FMC_GHEVAR_001,13.64,239,6.0
2024-11-30,FMC_GHEVAR_001,13.84,237,6.0
2024-12-07,FMC_GHEVAR_001,14.19,235,6.0
2024-12-14,FMC_GHEVAR_001,14.18,260,6.0
2024-12-21,FMC_GHEVAR_001,14.74,208,6.0
2024-12-28,FMC_GHEVAR_001,14.87,187,6.0
2025-01-04,FMC_GHEVAR_001,15.29,110,6.0
2025-01-11,FMC_GHEVAR_001,15.64,136,6.0
2025-01-18,FMC_GHEVAR_001,16.19,96,6.0
2025-01-25,FMC_GHEVAR_001,16.53,106,6.0
2025-02-01,FMC_GHEVAR_001,16.38,113,6.0
2025-02-08,FMC_GHEVAR_001,17.03,109,6.0
2025-02-15,FMC_GHEVAR_001,16.86,104,6.0
2025-02-22,FMC_GHEVAR_001,17.14,101,6.0
2025-03-01,FMC_GHEVAR_001,17.44,101,6.0
2025-03-08,FMC_GHEVAR_001,17.29,105,6.0
2025-03-15,FMC_GHEVAR_001,17.4,85,6.0
2025-03-22,FMC_GHEVAR_001,17.35,120,6.0
2025-03-29,FMC_GHEVAR_001,17.35,87,6.0
2025-04-05,FMC_GHEVAR_001,16.71,101,6.0
2025-04-12,FMC_GHEVAR_001,16.59,99,6.0
2025-04-19,FMC_GHEVAR_001,16.07,103,6.0
2025-04-26,FMC_GHEVAR_001,16.01,118,6.0
2025-05-03,FMC_GHEVAR_001,15.52,129,6.0
2025-05-10,FMC_GHEVAR_001,15.16,113,6.0
2025-05-17,FMC_GHEVAR_001,15.08,146,6.0
2025-05-24,FMC_GHEVAR_001,14.43,144,6.0
2025-05-31,FMC_GHEVAR_001,14.16,142,6.0
2025-06-07,FMC_GHEVAR_001,13.56,150,6.0
2025-06-14,FMC_GHEVAR_001,13.39,149,6.0
2025-06-21,FMC_GHEVAR_001,13.25,171,6.0
2025-06-28,FMC_GHEVAR_001,12.63,158,6.0
2025-07-05,FMC_GHEVAR_001,13.24,156,6.0
2025-07-12,FMC_GHEVAR_001,12.75,183,6.0
2025-07-19,FMC_GHEVAR_001,13.04,1182,6.0
2025-07-26,FMC_GHEVAR_001,12.94,10,6.0
2025-08-02,FMC_GHEVAR_001,12.98,1243,6.0
2025-08-09,FMC_GHEVAR_001,13.17,10,6.0
2025-08-16,FMC_GHEVAR_001,13.1,1331,6.0
2025-08-23,FMC_GHEVAR_001,13.43,10,6.0
2025-08-30,FMC_GHEVAR_001,13.78,270,6.0
2025-09-06,FMC_GHEVAR_001,14.1,236,6.0
2025-09-13,FMC_GHEVAR_001,14.55,244,6.0
2025-09-20,FMC_GHEVAR_001,14.9,227,6.0
2025-09-27,FMC_GHEVAR_001,15.17,208,6.0
