date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,2.96,2.81,3.11
2023-07-08,2.96,2.81,3.11
2023-07-15,2.96,2.81,3.11
2023-07-22,2.88,2.7399999999999998,3.02
2023-07-29,2.86,2.7199999999999998,3.0
2023-08-05,2.82,2.6799999999999997,2.96
2023-08-12,2.82,2.6799999999999997,2.96
2023-08-19,2.87,2.73,3.0100000000000002
2023-08-26,2.87,2.73,3.0100000000000002
2023-09-02,2.88,2.7399999999999998,3.02
2023-09-09,2.93,2.7800000000000002,3.08
2023-09-16,2.91,2.7600000000000002,3.06
2023-09-23,2.93,2.7800000000000002,3.08
2023-09-30,2.98,2.83,3.13
2023-10-07,2.98,2.83,3.13
2023-10-14,2.96,2.81,3.11
2023-10-21,2.96,2.81,3.11
2023-10-28,2.99,2.8400000000000003,3.14
2023-11-04,2.99,2.8400000000000003,3.14
2023-11-11,2.98,2.83,3.13
2023-11-18,3.0,2.85,3.15
2023-11-25,3.03,2.88,3.1799999999999997
2023-12-02,3.06,2.91,3.21
2023-12-09,3.03,2.88,3.1799999999999997
2023-12-16,2.99,2.8400000000000003,3.14
2023-12-23,2.99,2.8400000000000003,3.14
2023-12-30,3.06,2.91,3.21
2024-01-06,3.08,2.93,3.23
2024-01-13,3.04,2.89,3.19
2024-01-20,3.06,2.91,3.21
2024-01-27,3.06,2.91,3.21
2024-02-03,3.04,2.89,3.19
2024-02-10,3.05,2.9,3.1999999999999997
2024-02-17,3.07,2.92,3.2199999999999998
2024-02-24,3.04,2.89,3.19
2024-03-02,3.04,2.89,3.19
2024-03-09,3.05,2.9,3.1999999999999997
2024-03-16,3.1,2.94,3.2600000000000002
2024-03-23,3.1,2.94,3.2600000000000002
2024-03-30,3.07,2.92,3.2199999999999998
2024-04-06,3.06,2.91,3.21
2024-04-13,3.1,2.94,3.2600000000000002
2024-04-20,3.05,2.9,3.1999999999999997
2024-04-27,3.06,2.91,3.21
2024-05-04,3.06,2.91,3.21
2024-05-11,3.03,2.88,3.1799999999999997
2024-05-18,3.03,2.88,3.1799999999999997
2024-05-25,2.97,2.8200000000000003,3.12
2024-06-01,2.99,2.8400000000000003,3.14
2024-06-08,2.99,2.8400000000000003,3.14
2024-06-15,2.96,2.81,3.11
2024-06-22,2.98,2.83,3.13
2024-06-29,2.98,2.83,3.13
2024-07-06,3.01,2.86,3.1599999999999997
2024-07-13,3.03,2.88,3.1799999999999997
2024-07-20,3.04,2.89,3.19
2024-07-27,3.03,2.88,3.1799999999999997
2024-08-03,3.04,2.89,3.19
2024-08-10,3.04,2.89,3.19
2024-08-17,3.0,2.85,3.15
2024-08-24,3.06,2.91,3.21
2024-08-31,3.05,2.9,3.1999999999999997
2024-09-07,3.01,2.86,3.1599999999999997
2024-09-14,3.08,2.93,3.23
2024-09-21,3.1,2.94,3.2600000000000002
2024-09-28,3.1,2.94,3.2600000000000002
2024-10-05,3.07,2.92,3.2199999999999998
2024-10-12,3.0,2.85,3.15
2024-10-19,2.99,2.8400000000000003,3.14
2024-10-26,2.94,2.79,3.09
2024-11-02,2.93,2.7800000000000002,3.08
2024-11-09,2.95,2.8000000000000003,3.1
2024-11-16,2.99,2.8400000000000003,3.14
2024-11-23,3.03,2.88,3.1799999999999997
2024-11-30,3.03,2.88,3.1799999999999997
2024-12-07,3.06,2.91,3.21
2024-12-14,3.05,2.9,3.1999999999999997
2024-12-21,3.01,2.86,3.1599999999999997
2024-12-28,3.05,2.9,3.1999999999999997
2025-01-04,3.07,2.92,3.2199999999999998
2025-01-11,3.07,2.92,3.2199999999999998
2025-01-18,2.3,2.19,2.4099999999999997
2025-01-25,2.28,2.17,2.3899999999999997
2025-02-01,2.18,2.0700000000000003,2.29
2025-02-08,2.2,2.0900000000000003,2.31
2025-02-15,2.26,2.15,2.3699999999999997
2025-02-22,2.26,2.15,2.3699999999999997
2025-03-01,2.29,2.18,2.4
2025-03-08,2.22,2.1100000000000003,2.33
2025-03-15,2.24,2.1300000000000003,2.35
2025-03-22,2.36,2.2399999999999998,2.48
2025-03-29,2.28,2.17,2.3899999999999997
2025-04-05,2.26,2.15,2.3699999999999997
2025-04-12,2.18,2.0700000000000003,2.29
2025-04-19,2.2,2.0900000000000003,2.31
2025-04-26,2.23,2.12,2.34
2025-05-03,2.24,2.1300000000000003,2.35
2025-05-10,2.24,2.1300000000000003,2.35
2025-05-17,2.28,2.17,2.3899999999999997
2025-05-24,2.22,2.1100000000000003,2.33
2025-05-31,2.2,2.0900000000000003,2.31
2025-06-07,2.31,2.19,2.43
2025-06-14,2.29,2.18,2.4
2025-06-21,2.23,2.12,2.34
2025-06-28,2.18,2.0700000000000003,2.29
2025-07-05,2.23,2.12,2.34
2025-07-12,2.23,2.12,2.34
2025-07-19,2.2,2.0900000000000003,2.31
2025-07-26,2.27,2.16,2.38
2025-08-02,2.26,2.15,2.3699999999999997
2025-08-09,2.24,2.1300000000000003,2.35
2025-08-16,2.23,2.12,2.34
2025-08-23,2.27,2.16,2.38
2025-08-30,2.3,2.19,2.4099999999999997
2025-09-06,2.29,2.18,2.4
2025-09-13,2.26,2.15,2.3699999999999997
2025-09-20,2.15,2.04,2.26
2025-09-27,2.27,2.16,2.38
2025-10-04,2.24,2.1300000000000003,2.35
2025-10-11,2.32,2.1999999999999997,2.44
2025-10-18,2.23,2.12,2.34
2025-10-25,2.27,2.16,2.38
2025-11-01,2.3,2.19,2.4099999999999997
2025-11-08,2.3,2.19,2.4099999999999997
2025-11-15,2.27,2.16,2.38
2025-11-22,2.26,2.15,2.3699999999999997
2025-11-29,2.32,2.1999999999999997,2.44
2025-12-06,2.22,2.1100000000000003,2.33
2025-12-13,2.21,2.1,2.32
2025-12-20,2.21,2.1,2.32
2025-12-27,2.28,2.17,2.3899999999999997
2026-01-03,2.31,2.19,2.43
2026-01-10,2.27,2.16,2.38
2026-01-17,2.28,2.17,2.3899999999999997
2026-01-24,2.36,2.2399999999999998,2.48
2026-01-31,2.25,2.14,2.36
2026-02-07,2.24,2.1300000000000003,2.35
