date,cci_current,cci_baseline,google_trends_score
2023-07-01,98.0,100.0,44.4
2023-07-08,100.6,100.0,56.0
2023-07-15,100.4,100.0,48.4
2023-07-22,101.9,100.0,47.7
2023-07-29,98.3,100.0,40.2
2023-08-05,98.6,100.0,49.1
2023-08-12,100.1,100.0,41.3
2023-08-19,99.0,100.0,48.1
2023-08-26,99.0,100.0,44.2
2023-09-02,100.8,100.0,41.2
2023-09-09,101.2,100.0,38.1
2023-09-16,102.6,100.0,44.2
2023-09-23,100.7,100.0,45.2
2023-09-30,101.8,100.0,46.6
2023-10-07,97.8,100.0,47.4
2023-10-14,99.3,100.0,43.7
2023-10-21,100.3,100.0,47.4
2023-10-28,101.8,100.0,45.9
2023-11-04,101.9,100.0,37.6
2023-11-11,100.4,100.0,37.5
2023-11-18,100.6,100.0,47.8
2023-11-25,101.7,100.0,52.4
2023-12-02,100.8,100.0,49.0
2023-12-09,103.8,100.0,47.5
2023-12-16,98.7,100.0,44.7
2023-12-23,101.7,100.0,51.6
2023-12-30,103.4,100.0,51.8
2024-01-06,101.4,100.0,50.9
2024-01-13,98.4,100.0,49.9
2024-01-20,101.2,100.0,53.2
2024-01-27,101.5,100.0,46.7
2024-02-03,98.5,100.0,57.5
2024-02-10,97.1,100.0,48.6
2024-02-17,100.4,100.0,55.0
2024-02-24,103.0,100.0,56.7
2024-03-02,99.2,100.0,46.1
2024-03-09,99.4,100.0,46.9
2024-03-16,100.7,100.0,57.9
2024-03-23,100.3,100.0,56.5
2024-03-30,101.9,100.0,62.1
2024-04-06,98.9,100.0,55.7
2024-04-13,100.7,100.0,47.1
2024-04-20,100.4,100.0,55.0
2024-04-27,101.6,100.0,48.9
2024-05-04,101.2,100.0,52.7
2024-05-11,100.1,100.0,57.3
2024-05-18,102.8,100.0,54.0
2024-05-25,99.5,100.0,46.1
2024-06-01,102.9,100.0,51.5
2024-06-08,98.6,100.0,50.9
2024-06-15,99.7,100.0,49.6
