date,units_in_stock,avg_daily_sales_14d
2023-07-01,5765,286.43
2023-07-08,5677,295.29
2023-07-15,5821,281.0
2023-07-22,5671,292.43
2023-07-29,5575,273.0
2023-08-05,5830,294.57
2023-08-12,6140,262.86
2023-08-19,5956,287.71
2023-08-26,5974,308.14
2023-09-02,6020,271.57
2023-09-09,6383,273.57
2023-09-16,6367,284.14
2023-09-23,6284,260.71
2023-09-30,6274,286.57
2023-10-07,6673,260.86
2023-10-14,6676,262.0
2023-10-21,7138,270.0
2023-10-28,7007,287.0
2023-11-04,6884,271.14
2023-11-11,7017,286.86
2023-11-18,7296,260.43
2023-11-25,7465,267.43
2023-12-02,7035,302.86
2023-12-09,7299,259.43
2023-12-16,7068,323.14
2023-12-23,7543,287.71
2023-12-30,7208,285.29
2024-01-06,7475,281.0
2024-01-13,7842,274.14
2024-01-20,7563,315.71
2024-01-27,7247,314.14
2024-02-03,6925,303.14
2024-02-10,7155,265.71
2024-02-17,7076,279.86
2024-02-24,6561,315.86
2024-03-02,6121,300.29
2024-03-09,5780,294.57
2024-03-16,5500,291.57
2024-03-23,5416,284.86
2024-03-30,5199,309.86
2024-04-06,5156,293.71
2024-04-13,5312,287.71
2024-04-20,5419,315.57
2024-04-27,5328,318.86
2024-05-04,5211,298.14
2024-05-11,1940,740.0
2024-05-18,1431,316.14
2024-05-25,970,359.29
2024-06-01,440,331.14
2024-06-08,1922,62.86
2024-06-15,1792,327.86
2024-06-22,1615,321.57
2024-06-29,917,327.14
2024-07-06,757,319.43
2024-07-13,1751,108.14
2024-07-20,1544,355.14
2024-07-27,1058,304.14
2024-08-03,949,333.71
2024-08-10,910,319.43
2024-08-17,1059,289.57
2024-08-24,990,306.57
2024-08-31,503,327.0
2024-09-07,2156,71.86
2024-09-14,2225,276.0
2024-09-21,2232,272.86
2024-09-28,2304,278.43
2024-10-05,2315,277.57
2024-10-12,2394,284.71
2024-10-19,2604,277.86
2024-10-26,2916,263.14
2024-11-02,2898,291.71
2024-11-09,2940,265.57
2024-11-16,2546,304.29
2024-11-23,2305,306.86
2024-11-30,2515,274.43
2024-12-07,2652,287.14
2024-12-14,2807,272.29
2024-12-21,3235,271.57
2024-12-28,2991,298.29
2025-01-04,2785,311.86
2025-01-11,3096,285.0
2025-01-18,3018,287.0
2025-01-25,2934,278.57
2025-02-01,2615,312.86
2025-02-08,2302,297.0
2025-02-15,2177,327.86
2025-02-22,1560,333.0
2025-03-01,1559,333.57
2025-03-08,1249,338.43
2025-03-15,363,363.57
2025-03-22,1985,51.86
2025-03-29,1665,337.86
2025-04-05,720,354.71
2025-04-12,1747,102.86
2025-04-19,1567,335.0
2025-04-26,1260,345.29
2025-05-03,878,342.0
2025-05-10,558,359.0
2025-05-17,2422,79.71
2025-05-24,2099,306.57
2025-05-31,2230,293.86
2025-06-07,1775,325.71
2025-06-14,1254,348.29
2025-06-21,537,380.0
2025-06-28,2047,76.71
2025-07-05,2003,318.71
2025-07-12,2283,310.29
2025-07-19,2182,290.57
2025-07-26,2294,266.0
2025-08-02,2426,294.43
2025-08-09,10,631.0
2025-08-16,1989,1.43
2025-08-23,1432,343.29
2025-08-30,1516,321.86
2025-09-06,1058,299.29
2025-09-13,660,337.14
2025-09-20,1913,94.29
2025-09-27,1832,326.43
2025-10-04,1651,307.14
2025-10-11,1449,309.14
2025-10-18,1066,322.14
2025-10-25,717,309.86
2025-11-01,1683,102.43
2025-11-08,1281,345.0
2025-11-15,610,339.29
2025-11-22,2178,87.14
2025-11-29,2256,301.14
2025-12-06,2393,317.43
2025-12-13,2067,328.14
2025-12-20,1871,302.0
2025-12-27,2031,324.57
2026-01-03,1974,306.43
2026-01-10,1765,340.0
2026-01-17,1425,358.43
2026-01-24,725,395.43
2026-01-31,1856,103.57
2026-02-07,1134,354.0
2026-02-14,488,330.0
2026-02-21,2056,69.71
2026-02-28,1904,293.86
2026-03-07,1127,372.86
2026-03-14,503,377.71
2026-03-21,1892,71.86
2026-03-28,1802,340.71
2026-04-04,1809,336.29
2026-04-11,1291,348.86
2026-04-18,690,362.14
2026-04-25,2037,98.57
2026-05-02,1518,312.57
2026-05-09,1551,330.43
2026-05-16,1080,370.57
2026-05-23,803,357.86
2026-05-30,2007,114.71
2026-06-06,1873,284.71
2026-06-13,1399,355.57
2026-06-20,800,360.57
