date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_RICE_001,2.94,2081,1.5
2023-07-08,FMC_RICE_001,2.92,2178,1.5
2023-07-15,FMC_RICE_001,3.05,2012,1.5
2023-07-22,FMC_RICE_001,3.02,1837,1.5
2023-07-29,FMC_RICE_001,2.97,1844,1.5
2023-08-05,FMC_RICE_001,2.96,1836,1.5
2023-08-12,FMC_RICE_001,3.04,1940,1.5
2023-08-19,FMC_RICE_001,3.0,2060,1.5
2023-08-26,FMC_RICE_001,3.02,1943,1.5
2023-09-02,FMC_RICE_001,3.05,1866,1.5
2023-09-09,FMC_RICE_001,2.98,2122,1.5
2023-09-16,FMC_RICE_001,3.02,1937,1.5
2023-09-23,FMC_RICE_001,3.01,1902,1.5
2023-09-30,FMC_RICE_001,2.97,1902,1.5
2023-10-07,FMC_RICE_001,3.08,1806,1.5
2023-10-14,FMC_RICE_001,3.0,1996,1.5
2023-10-21,FMC_RICE_001,2.91,1844,1.5
2023-10-28,FMC_RICE_001,3.0,1859,1.5
2023-11-04,FMC_RICE_001,3.03,1897,1.5
2023-11-11,FMC_RICE_001,3.01,1969,1.5
2023-11-18,FMC_RICE_001,3.01,1853,1.5
2023-11-25,FMC_RICE_001,2.93,1953,1.5
2023-12-02,FMC_RICE_001,2.97,1948,1.5
2023-12-09,FMC_RICE_001,3.07,1808,1.5
2023-12-16,FMC_RICE_001,3.07,1736,1.5
2023-12-23,FMC_RICE_001,2.96,2210,1.5
2023-12-30,FMC_RICE_001,2.99,1853,1.5
2024-01-06,FMC_RICE_001,2.95,1951,1.5
2024-01-13,FMC_RICE_001,3.01,1997,1.5
2024-01-20,FMC_RICE_001,3.07,1965,1.5
2024-01-27,FMC_RICE_001,3.03,2025,1.5
2024-02-03,FMC_RICE_001,3.11,2014,1.5
2024-02-10,FMC_RICE_001,3.05,1920,1.5
2024-02-17,FMC_RICE_001,3.01,1970,1.5
2024-02-24,FMC_RICE_001,3.06,2088,1.5
2024-03-02,FMC_RICE_001,3.06,2142,1.5
2024-03-09,FMC_RICE_001,3.03,2009,1.5
2024-03-16,FMC_RICE_001,3.01,2002,1.5
2024-03-23,FMC_RICE_001,2.93,2112,1.5
2024-03-30,FMC_RICE_001,2.97,2219,1.5
2024-04-06,FMC_RICE_001,2.96,2025,1.5
2024-04-13,FMC_RICE_001,2.98,2251,1.5
2024-04-20,FMC_RICE_001,2.93,2191,1.5
2024-04-27,FMC_RICE_001,3.04,2233,1.5
