date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,3.0,2.85,3.15
2023-07-08,2.99,2.8400000000000003,3.14
2023-07-15,3.02,2.87,3.17
2023-07-22,3.05,2.9,3.1999999999999997
2023-07-29,3.03,2.88,3.1799999999999997
2023-08-05,3.07,2.92,3.2199999999999998
2023-08-12,3.06,2.91,3.21
2023-08-19,3.04,2.89,3.19
2023-08-26,3.07,2.92,3.2199999999999998
2023-09-02,3.03,2.88,3.1799999999999997
2023-09-09,3.11,2.9499999999999997,3.27
2023-09-16,3.05,2.9,3.1999999999999997
2023-09-23,3.06,2.91,3.21
2023-09-30,3.04,2.89,3.19
2023-10-07,3.11,2.9499999999999997,3.27
2023-10-14,3.13,2.9699999999999998,3.29
2023-10-21,3.11,2.9499999999999997,3.27
2023-10-28,3.1,2.94,3.2600000000000002
2023-11-04,3.1,2.94,3.2600000000000002
2023-11-11,3.08,2.93,3.23
2023-11-18,3.13,2.9699999999999998,3.29
2023-11-25,3.09,2.94,3.2399999999999998
2023-12-02,3.14,2.98,3.3000000000000003
2023-12-09,3.15,2.9899999999999998,3.31
2023-12-16,3.17,3.01,3.33
2023-12-23,3.23,3.07,3.39
2023-12-30,3.19,3.03,3.35
2024-01-06,3.18,3.02,3.3400000000000003
2024-01-13,3.21,3.05,3.37
2024-01-20,3.2,3.04,3.3600000000000003
2024-01-27,3.24,3.08,3.4000000000000004
2024-02-03,3.21,3.05,3.37
2024-02-10,3.2,3.04,3.3600000000000003
2024-02-17,3.23,3.07,3.39
2024-02-24,3.25,3.09,3.41
2024-03-02,3.24,3.08,3.4000000000000004
2024-03-09,3.24,3.08,3.4000000000000004
2024-03-16,3.24,3.08,3.4000000000000004
2024-03-23,3.21,3.05,3.37
2024-03-30,3.24,3.08,3.4000000000000004
2024-04-06,3.23,3.07,3.39
2024-04-13,3.27,3.11,3.43
2024-04-20,3.26,3.0999999999999996,3.42
2024-04-27,3.28,3.1199999999999997,3.44
2024-05-04,3.25,3.09,3.41
2024-05-11,3.27,3.11,3.43
2024-05-18,3.28,3.1199999999999997,3.44
2024-05-25,3.31,3.14,3.48
2024-06-01,3.32,3.15,3.4899999999999998
2024-06-08,3.3,3.13,3.4699999999999998
2024-06-15,3.34,3.17,3.51
2024-06-22,3.37,3.2,3.54
2024-06-29,3.31,3.14,3.48
2024-07-06,3.29,3.13,3.45
2024-07-13,3.35,3.18,3.52
2024-07-20,3.33,3.16,3.5
2024-07-27,3.34,3.17,3.51
2024-08-03,3.37,3.2,3.54
2024-08-10,3.34,3.17,3.51
2024-08-17,3.37,3.2,3.54
2024-08-24,3.33,3.16,3.5
2024-08-31,3.41,3.24,3.58
2024-09-07,3.39,3.22,3.56
2024-09-14,3.37,3.2,3.54
2024-09-21,3.37,3.2,3.54
2024-09-28,3.39,3.22,3.56
2024-10-05,3.44,3.27,3.61
2024-10-12,3.37,3.2,3.54
2024-10-19,3.47,3.3000000000000003,3.64
2024-10-26,3.38,3.21,3.55
2024-11-02,3.44,3.27,3.61
2024-11-09,3.45,3.2800000000000002,3.62
2024-11-16,3.45,3.2800000000000002,3.62
2024-11-23,3.45,3.2800000000000002,3.62
2024-11-30,3.44,3.27,3.61
2024-12-07,3.48,3.31,3.65
2024-12-14,3.48,3.31,3.65
2024-12-21,3.46,3.29,3.63
2024-12-28,3.48,3.31,3.65
2025-01-04,3.47,3.3000000000000003,3.64
2025-01-11,3.54,3.36,3.72
2025-01-18,3.54,3.36,3.72
2025-01-25,3.51,3.3299999999999996,3.69
2025-02-01,3.52,3.34,3.7
2025-02-08,3.47,3.3000000000000003,3.64
2025-02-15,3.53,3.3499999999999996,3.71
2025-02-22,3.5,3.32,3.68
2025-03-01,3.56,3.38,3.74
2025-03-08,3.55,3.3699999999999997,3.73
2025-03-15,3.55,3.3699999999999997,3.73
2025-03-22,3.54,3.36,3.72
2025-03-29,3.56,3.38,3.74
2025-04-05,3.54,3.36,3.72
2025-04-12,3.58,3.4,3.7600000000000002
2025-04-19,3.59,3.4099999999999997,3.77
2025-04-26,3.57,3.3899999999999997,3.75
2025-05-03,3.6,3.42,3.7800000000000002
2025-05-10,3.64,3.46,3.8200000000000003
2025-05-17,3.56,3.38,3.74
2025-05-24,3.63,3.4499999999999997,3.81
2025-05-31,3.59,3.4099999999999997,3.77
2025-06-07,3.63,3.4499999999999997,3.81
2025-06-14,3.66,3.48,3.8400000000000003
2025-06-21,3.62,3.44,3.8000000000000003
2025-06-28,3.61,3.4299999999999997,3.79
2025-07-05,3.65,3.4699999999999998,3.83
2025-07-12,3.69,3.51,3.87
2025-07-19,3.66,3.48,3.8400000000000003
2025-07-26,3.69,3.51,3.87
2025-08-02,3.68,3.5,3.8600000000000003
2025-08-09,3.71,3.52,3.9
2025-08-16,3.68,3.5,3.8600000000000003
2025-08-23,3.69,3.51,3.87
2025-08-30,3.74,3.5500000000000003,3.93
2025-09-06,3.7,3.5100000000000002,3.89
2025-09-13,3.74,3.5500000000000003,3.93
2025-09-20,3.75,3.56,3.94
2025-09-27,3.74,3.5500000000000003,3.93
2025-10-04,3.73,3.54,3.92
2025-10-11,3.72,3.5300000000000002,3.91
2025-10-18,3.73,3.54,3.92
2025-10-25,3.75,3.56,3.94
2025-11-01,3.73,3.54,3.92
2025-11-08,3.77,3.58,3.96
2025-11-15,3.78,3.59,3.9699999999999998
2025-11-22,3.78,3.59,3.9699999999999998
2025-11-29,3.75,3.56,3.94
2025-12-06,3.77,3.58,3.96
2025-12-13,3.75,3.56,3.94
2025-12-20,3.84,3.65,4.03
2025-12-27,3.79,3.6,3.98
2026-01-03,3.83,3.64,4.0200000000000005
2026-01-10,3.8,3.61,3.9899999999999998
2026-01-17,3.84,3.65,4.03
2026-01-24,3.83,3.64,4.0200000000000005
2026-01-31,3.87,3.68,4.0600000000000005
2026-02-07,3.9,3.6999999999999997,4.1
2026-02-14,3.86,3.67,4.05
2026-02-21,3.84,3.65,4.03
2026-02-28,3.85,3.66,4.04
2026-03-07,3.78,3.59,3.9699999999999998
2026-03-14,3.88,3.69,4.07
2026-03-21,3.88,3.69,4.07
2026-03-28,3.9,3.6999999999999997,4.1
2026-04-04,3.84,3.65,4.03
2026-04-11,3.88,3.69,4.07
2026-04-18,3.93,3.73,4.13
2026-04-25,3.98,3.78,4.18
2026-05-02,3.93,3.73,4.13
2026-05-09,3.92,3.7199999999999998,4.12
2026-05-16,3.94,3.7399999999999998,4.14
2026-05-23,3.87,3.68,4.0600000000000005
2026-05-30,3.92,3.7199999999999998,4.12
2026-06-06,3.92,3.7199999999999998,4.12
2026-06-13,3.96,3.76,4.16
2026-06-20,3.95,3.75,4.15
