date,units_in_stock,avg_daily_sales_14d
2023-07-01,6536,275.14
2023-07-08,6449,292.71
2023-07-15,6419,286.14
2023-07-22,7134,275.29
2023-07-29,7194,300.43
2023-08-05,7270,282.14
2023-08-12,7232,265.43
2023-08-19,7240,282.71
2023-08-26,6983,290.86
2023-09-02,6846,282.43
2023-09-09,6873,257.0
2023-09-16,7114,270.14
2023-09-23,7450,256.71
2023-09-30,8023,260.43
2023-10-07,8291,285.14
2023-10-14,8418,270.0
2023-10-21,8564,256.0
2023-10-28,8339,286.43
2023-11-04,8327,289.0
2023-11-11,8064,283.0
2023-11-18,7925,274.43
2023-11-25,7689,298.0
2023-12-02,7265,294.29
2023-12-09,7264,282.86
2023-12-16,7252,297.43
2023-12-23,7473,283.57
2023-12-30,7492,289.71
2024-01-06,7347,305.0
2024-01-13,7182,297.14
2024-01-20,6781,304.57
2024-01-27,7099,274.57
2024-02-03,7019,278.86
2024-02-10,7190,285.43
2024-02-17,6818,297.0
2024-02-24,6725,331.57
2024-03-02,6312,321.29
2024-03-09,6324,310.71
2024-03-16,6289,282.86
2024-03-23,6319,291.43
2024-03-30,6097,294.43
2024-04-06,6087,313.29
2024-04-13,5931,278.86
2024-04-20,5783,304.29
2024-04-27,5364,313.43
2024-05-04,5344,282.71
2024-05-11,2068,751.29
2024-05-18,1820,299.29
2024-05-25,1056,332.14
2024-06-01,722,317.43
2024-06-08,2382,103.14
2024-06-15,2665,290.71
2024-06-22,3135,288.86
2024-06-29,3239,295.71
2024-07-06,3211,286.29
2024-07-13,3407,271.43
2024-07-20,3154,295.71
2024-07-27,3356,281.71
2024-08-03,3560,286.71
2024-08-10,3860,262.29
2024-08-17,3881,255.14
2024-08-24,4131,258.14
2024-08-31,3801,270.29
2024-09-07,3842,279.71
2024-09-14,4089,273.71
2024-09-21,3988,307.71
2024-09-28,3806,275.0
2024-10-05,3985,259.57
2024-10-12,4163,271.0
2024-10-19,4051,276.0
2024-10-26,3862,298.29
2024-11-02,3928,271.29
2024-11-09,3904,289.86
2024-11-16,4245,278.29
2024-11-23,4199,258.71
2024-11-30,4383,291.14
2024-12-07,4408,296.43
2024-12-14,4195,281.0
2024-12-21,4294,288.43
2024-12-28,4348,277.29
2025-01-04,4726,284.0
2025-01-11,4618,280.43
2025-01-18,4519,275.57
2025-01-25,3923,291.43
2025-02-01,4135,292.57
2025-02-08,3749,303.0
2025-02-15,3638,304.57
2025-02-22,3350,290.14
2025-03-01,2601,298.57
2025-03-08,2399,286.0
2025-03-15,2094,313.0
2025-03-22,2088,329.14
2025-03-29,1979,293.0
2025-04-05,1723,333.86
2025-04-12,1556,327.43
2025-04-19,918,390.57
2025-04-26,450,369.0
2025-05-03,2102,64.29
2025-05-10,1676,314.0
2025-05-17,1237,350.86
2025-05-24,979,331.0
2025-05-31,959,315.86
2025-06-07,445,349.29
2025-06-14,2032,63.57
2025-06-21,2049,289.14
2025-06-28,2380,259.57
2025-07-05,2695,268.43
2025-07-12,2685,295.14
2025-07-19,2407,265.0
2025-07-26,2814,283.0
2025-08-02,2837,296.57
2025-08-09,613,606.14
2025-08-16,2194,87.57
2025-08-23,2021,298.0
2025-08-30,1474,275.86
2025-09-06,1213,328.14
2025-09-13,1160,306.57
2025-09-20,1343,298.57
2025-09-27,1453,315.43
2025-10-04,1384,305.14
2025-10-11,1245,331.43
2025-10-18,1006,340.29
2025-10-25,880,301.86
2025-11-01,1150,275.29
2025-11-08,978,298.43
2025-11-15,1137,321.0
2025-11-22,1015,299.14
2025-11-29,976,310.29
2025-12-06,717,337.57
2025-12-13,1997,102.43
2025-12-20,1871,314.14
2025-12-27,1550,300.86
2026-01-03,1179,320.57
2026-01-10,733,337.43
2026-01-17,1957,104.71
2026-01-24,1528,354.86
2026-01-31,1789,307.29
2026-02-07,1451,350.86
2026-02-14,826,363.57
2026-02-21,2356,118.0
2026-02-28,2229,287.14
2026-03-07,1801,310.71
2026-03-14,1073,379.71
2026-03-21,738,313.14
2026-03-28,1918,105.43
2026-04-04,1677,319.71
2026-04-11,1080,369.86
2026-04-18,591,352.29
2026-04-25,1671,84.43
2026-05-02,1151,335.0
2026-05-09,323,352.86
2026-05-16,2389,46.14
2026-05-23,2074,293.57
2026-05-30,2160,291.29
2026-06-06,2393,275.14
2026-06-13,2452,313.71
2026-06-20,2481,285.86
