date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_RICE_001,3.01,2068,1.5
2023-07-08,FMC_RICE_001,3.01,1911,1.5
2023-07-15,FMC_RICE_001,2.99,2230,1.51
2023-07-22,FMC_RICE_001,2.98,1772,1.51
2023-07-29,FMC_RICE_001,2.99,1938,1.51
2023-08-05,FMC_RICE_001,3.03,1765,1.51
2023-08-12,FMC_RICE_001,2.95,1900,1.52
2023-08-19,FMC_RICE_001,3.0,1924,1.52
2023-08-26,FMC_RICE_001,3.06,1708,1.52
2023-09-02,FMC_RICE_001,3.07,2020,1.52
2023-09-09,FMC_RICE_001,3.06,1743,1.53
2023-09-16,FMC_RICE_001,3.03,1886,1.53
2023-09-23,FMC_RICE_001,3.05,1870,1.53
2023-09-30,FMC_RICE_001,3.03,1704,1.54
2023-10-07,FMC_RICE_001,3.1,1857,1.54
2023-10-14,FMC_RICE_001,3.12,1864,1.54
2023-10-21,FMC_RICE_001,3.12,1804,1.54
2023-10-28,FMC_RICE_001,3.11,1944,1.55
2023-11-04,FMC_RICE_001,3.16,1938,1.55
2023-11-11,FMC_RICE_001,3.12,1906,1.55
2023-11-18,FMC_RICE_001,3.1,1779,1.55
2023-11-25,FMC_RICE_001,3.16,1865,1.56
2023-12-02,FMC_RICE_001,3.17,1849,1.56
2023-12-09,FMC_RICE_001,3.2,1817,1.56
2023-12-16,FMC_RICE_001,3.18,1730,1.56
2023-12-23,FMC_RICE_001,3.2,1886,1.57
2023-12-30,FMC_RICE_001,3.19,1950,1.57
2024-01-06,FMC_RICE_001,3.09,2204,1.57
2024-01-13,FMC_RICE_001,3.23,1942,1.58
2024-01-20,FMC_RICE_001,3.23,1991,1.58
2024-01-27,FMC_RICE_001,3.14,1865,1.58
2024-02-03,FMC_RICE_001,3.24,2082,1.58
2024-02-10,FMC_RICE_001,3.18,1868,1.59
2024-02-17,FMC_RICE_001,3.19,2000,1.59
2024-02-24,FMC_RICE_001,3.26,2061,1.59
2024-03-02,FMC_RICE_001,3.24,2287,1.59
2024-03-09,FMC_RICE_001,3.25,1902,1.6
2024-03-16,FMC_RICE_001,3.22,1973,1.6
2024-03-23,FMC_RICE_001,3.25,2178,1.6
2024-03-30,FMC_RICE_001,3.25,2063,1.6
2024-04-06,FMC_RICE_001,3.29,2109,1.61
2024-04-13,FMC_RICE_001,3.25,1943,1.61
2024-04-20,FMC_RICE_001,3.28,2259,1.61
2024-04-27,FMC_RICE_001,3.33,1886,1.62
2024-05-04,FMC_RICE_001,3.31,1775,1.62
2024-05-11,FMC_RICE_001,3.3,4993,1.62
2024-05-18,FMC_RICE_001,3.28,2024,1.62
2024-05-25,FMC_RICE_001,3.34,2018,1.63
2024-06-01,FMC_RICE_001,3.32,2084,1.63
2024-06-08,FMC_RICE_001,3.33,1907,1.63
2024-06-15,FMC_RICE_001,3.32,1940,1.63
2024-06-22,FMC_RICE_001,3.35,1803,1.64
2024-06-29,FMC_RICE_001,3.38,1778,1.64
2024-07-06,FMC_RICE_001,3.37,1847,1.64
2024-07-13,FMC_RICE_001,3.37,1746,1.65
2024-07-20,FMC_RICE_001,3.34,1952,1.65
2024-07-27,FMC_RICE_001,3.34,1905,1.65
2024-08-03,FMC_RICE_001,3.41,1843,1.65
2024-08-10,FMC_RICE_001,3.45,1795,1.66
2024-08-17,FMC_RICE_001,3.35,1947,1.66
2024-08-24,FMC_RICE_001,3.38,1869,1.66
2024-08-31,FMC_RICE_001,3.4,1743,1.66
2024-09-07,FMC_RICE_001,3.45,1704,1.67
2024-09-14,FMC_RICE_001,3.41,1854,1.67
2024-09-21,FMC_RICE_001,3.36,1930,1.67
2024-09-28,FMC_RICE_001,3.41,1713,1.68
2024-10-05,FMC_RICE_001,3.46,1827,1.68
2024-10-12,FMC_RICE_001,3.45,1701,1.68
2024-10-19,FMC_RICE_001,3.41,1634,1.68
2024-10-26,FMC_RICE_001,3.47,1843,1.69
2024-11-02,FMC_RICE_001,3.46,1818,1.69
2024-11-09,FMC_RICE_001,3.51,1901,1.69
2024-11-16,FMC_RICE_001,3.47,1768,1.69
2024-11-23,FMC_RICE_001,3.5,1954,1.7
2024-11-30,FMC_RICE_001,3.47,1740,1.7
2024-12-07,FMC_RICE_001,3.43,1824,1.7
2024-12-14,FMC_RICE_001,3.5,1841,1.7
2024-12-21,FMC_RICE_001,3.58,2017,1.71
2024-12-28,FMC_RICE_001,3.51,1941,1.71
2025-01-04,FMC_RICE_001,3.55,1886,1.71
2025-01-11,FMC_RICE_001,3.56,1821,1.72
2025-01-18,FMC_RICE_001,3.49,1987,1.72
2025-01-25,FMC_RICE_001,3.55,1895,1.72
2025-02-01,FMC_RICE_001,3.57,2007,1.72
2025-02-08,FMC_RICE_001,3.6,1954,1.73
2025-02-15,FMC_RICE_001,3.56,1898,1.73
2025-02-22,FMC_RICE_001,3.61,1796,1.73
2025-03-01,FMC_RICE_001,3.58,2049,1.73
2025-03-08,FMC_RICE_001,3.62,1901,1.74
2025-03-15,FMC_RICE_001,3.63,2038,1.74
2025-03-22,FMC_RICE_001,3.62,1987,1.74
2025-03-29,FMC_RICE_001,3.64,1979,1.75
2025-04-05,FMC_RICE_001,3.61,1904,1.75
2025-04-12,FMC_RICE_001,3.62,2005,1.75
2025-04-19,FMC_RICE_001,3.63,1982,1.75
2025-04-26,FMC_RICE_001,3.62,1950,1.76
2025-05-03,FMC_RICE_001,3.65,2026,1.76
2025-05-10,FMC_RICE_001,3.68,1991,1.76
2025-05-17,FMC_RICE_001,3.73,1875,1.76
2025-05-24,FMC_RICE_001,3.68,1810,1.77
2025-05-31,FMC_RICE_001,3.65,2026,1.77
2025-06-07,FMC_RICE_001,3.68,1639,1.77
2025-06-14,FMC_RICE_001,3.73,1879,1.77
2025-06-21,FMC_RICE_001,3.68,1780,1.78
2025-06-28,FMC_RICE_001,3.68,1930,1.78
2025-07-05,FMC_RICE_001,3.75,1828,1.78
2025-07-12,FMC_RICE_001,3.78,1998,1.79
2025-07-19,FMC_RICE_001,3.69,1808,1.79
2025-07-26,FMC_RICE_001,3.72,1822,1.79
2025-08-02,FMC_RICE_001,3.74,1546,1.79
2025-08-09,FMC_RICE_001,3.73,3902,1.8
2025-08-16,FMC_RICE_001,3.8,1819,1.8
2025-08-23,FMC_RICE_001,3.76,1845,1.8
2025-08-30,FMC_RICE_001,3.75,1699,1.8
2025-09-06,FMC_RICE_001,3.73,1748,1.81
2025-09-13,FMC_RICE_001,3.79,1684,1.81
2025-09-20,FMC_RICE_001,3.77,1811,1.81
2025-09-27,FMC_RICE_001,3.77,1627,1.81
2025-10-04,FMC_RICE_001,3.79,1742,1.82
2025-10-11,FMC_RICE_001,3.85,1841,1.82
2025-10-18,FMC_RICE_001,3.78,1780,1.82
2025-10-25,FMC_RICE_001,3.83,1733,1.83
2025-11-01,FMC_RICE_001,3.84,1727,1.83
2025-11-08,FMC_RICE_001,3.83,1625,1.83
2025-11-15,FMC_RICE_001,3.8,1893,1.83
2025-11-22,FMC_RICE_001,3.84,1749,1.84
2025-11-29,FMC_RICE_001,3.9,1763,1.84
2025-12-06,FMC_RICE_001,3.89,1681,1.84
2025-12-13,FMC_RICE_001,3.89,1637,1.84
