date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,3.03,2.88,3.1799999999999997
2023-07-08,3.01,2.86,3.1599999999999997
2023-07-15,2.9,2.76,3.04
2023-07-22,2.9,2.76,3.04
2023-07-29,2.95,2.8000000000000003,3.1
2023-08-05,2.99,2.8400000000000003,3.14
2023-08-12,2.91,2.7600000000000002,3.06
2023-08-19,2.91,2.7600000000000002,3.06
2023-08-26,2.97,2.8200000000000003,3.12
2023-09-02,2.98,2.83,3.13
2023-09-09,2.88,2.7399999999999998,3.02
2023-09-16,2.98,2.83,3.13
2023-09-23,3.07,2.92,3.2199999999999998
2023-09-30,3.09,2.94,3.2399999999999998
2023-10-07,3.0,2.85,3.15
2023-10-14,3.07,2.92,3.2199999999999998
2023-10-21,3.12,2.96,3.2800000000000002
2023-10-28,3.12,2.96,3.2800000000000002
2023-11-04,3.0,2.85,3.15
2023-11-11,2.99,2.8400000000000003,3.14
2023-11-18,3.03,2.88,3.1799999999999997
2023-11-25,2.96,2.81,3.11
2023-12-02,2.92,2.77,3.07
2023-12-09,2.95,2.8000000000000003,3.1
2023-12-16,2.97,2.8200000000000003,3.12
2023-12-23,2.99,2.8400000000000003,3.14
2023-12-30,2.88,2.7399999999999998,3.02
2024-01-06,2.88,2.7399999999999998,3.02
2024-01-13,2.95,2.8000000000000003,3.1
2024-01-20,2.94,2.79,3.09
2024-01-27,2.85,2.71,2.99
2024-02-03,2.94,2.79,3.09
2024-02-10,2.93,2.7800000000000002,3.08
2024-02-17,2.98,2.83,3.13
2024-02-24,2.88,2.7399999999999998,3.02
2024-03-02,2.93,2.7800000000000002,3.08
2024-03-09,2.99,2.8400000000000003,3.14
2024-03-16,3.0,2.85,3.15
2024-03-23,2.89,2.75,3.0300000000000002
2024-03-30,2.94,2.79,3.09
2024-04-06,2.94,2.79,3.09
2024-04-13,2.93,2.7800000000000002,3.08
2024-04-20,2.84,2.6999999999999997,2.98
2024-04-27,2.89,2.75,3.0300000000000002
2024-05-04,2.92,2.77,3.07
2024-05-11,2.93,2.7800000000000002,3.08
2024-05-18,2.87,2.73,3.0100000000000002
2024-05-25,2.9,2.76,3.04
2024-06-01,2.99,2.8400000000000003,3.14
2024-06-08,3.02,2.87,3.17
2024-06-15,2.94,2.79,3.09
2024-06-22,3.02,2.87,3.17
2024-06-29,3.0,2.85,3.15
2024-07-06,3.02,2.87,3.17
2024-07-13,2.93,2.7800000000000002,3.08
2024-07-20,2.95,2.8000000000000003,3.1
2024-07-27,2.97,2.8200000000000003,3.12
2024-08-03,2.98,2.83,3.13
2024-08-10,2.89,2.75,3.0300000000000002
2024-08-17,2.9,2.76,3.04
2024-08-24,2.94,2.79,3.09
2024-08-31,2.98,2.83,3.13
2024-09-07,2.91,2.7600000000000002,3.06
2024-09-14,2.95,2.8000000000000003,3.1
2024-09-21,3.05,2.9,3.1999999999999997
2024-09-28,3.09,2.94,3.2399999999999998
2024-10-05,2.99,2.8400000000000003,3.14
2024-10-12,3.04,2.89,3.19
2024-10-19,3.06,2.91,3.21
2024-10-26,3.12,2.96,3.2800000000000002
2024-11-02,3.02,2.87,3.17
2024-11-09,3.05,2.9,3.1999999999999997
2024-11-16,3.08,2.93,3.23
2024-11-23,3.08,2.93,3.23
2024-11-30,2.99,2.8400000000000003,3.14
2024-12-07,3.0,2.85,3.15
2024-12-14,3.03,2.88,3.1799999999999997
2024-12-21,3.05,2.9,3.1999999999999997
2024-12-28,2.98,2.83,3.13
2025-01-04,2.98,2.83,3.13
2025-01-11,2.96,2.81,3.11
2025-01-18,3.01,2.86,3.1599999999999997
2025-01-25,2.85,2.71,2.99
2025-02-01,2.94,2.79,3.09
2025-02-08,2.98,2.83,3.13
2025-02-15,3.0,2.85,3.15
2025-02-22,2.84,2.6999999999999997,2.98
2025-03-01,2.93,2.7800000000000002,3.08
2025-03-08,2.94,2.79,3.09
2025-03-15,2.99,2.8400000000000003,3.14
2025-03-22,2.87,2.73,3.0100000000000002
2025-03-29,2.88,2.7399999999999998,3.02
2025-04-05,2.95,2.8000000000000003,3.1
2025-04-12,2.97,2.8200000000000003,3.12
2025-04-19,2.88,2.7399999999999998,3.02
2025-04-26,2.9,2.76,3.04
2025-05-03,2.97,2.8200000000000003,3.12
2025-05-10,3.0,2.85,3.15
2025-05-17,2.92,2.77,3.07
2025-05-24,2.96,2.81,3.11
2025-05-31,2.99,2.8400000000000003,3.14
2025-06-07,3.05,2.9,3.1999999999999997
2025-06-14,2.9,2.76,3.04
2025-06-21,2.97,2.8200000000000003,3.12
2025-06-28,3.0,2.85,3.15
2025-07-05,3.09,2.94,3.2399999999999998
2025-07-12,3.02,2.87,3.17
2025-07-19,3.09,2.94,3.2399999999999998
2025-07-26,3.12,2.96,3.2800000000000002
2025-08-02,3.13,2.9699999999999998,3.29
2025-08-09,2.97,2.8200000000000003,3.12
2025-08-16,2.98,2.83,3.13
2025-08-23,3.0,2.85,3.15
2025-08-30,3.02,2.87,3.17
2025-09-06,2.93,2.7800000000000002,3.08
2025-09-13,3.01,2.86,3.1599999999999997
2025-09-20,3.02,2.87,3.17
2025-09-27,3.04,2.89,3.19
2025-10-04,2.93,2.7800000000000002,3.08
2025-10-11,2.97,2.8200000000000003,3.12
2025-10-18,3.01,2.86,3.1599999999999997
2025-10-25,3.04,2.89,3.19
2025-11-01,2.98,2.83,3.13
2025-11-08,3.06,2.91,3.21
2025-11-15,3.05,2.9,3.1999999999999997
2025-11-22,3.08,2.93,3.23
2025-11-29,3.0,2.85,3.15
2025-12-06,3.03,2.88,3.1799999999999997
2025-12-13,3.07,2.92,3.2199999999999998
2025-12-20,3.05,2.9,3.1999999999999997
2025-12-27,2.93,2.7800000000000002,3.08
2026-01-03,2.96,2.81,3.11
