date,cci_current,cci_baseline,google_trends_score
2023-07-01,98.8,100.0,53.6
2023-07-08,102.3,100.0,50.2
2023-07-15,99.0,100.0,41.3
2023-07-22,102.0,100.0,39.8
2023-07-29,100.5,100.0,48.1
2023-08-05,101.7,100.0,53.1
2023-08-12,99.7,100.0,57.3
2023-08-19,99.1,100.0,50.4
2023-08-26,100.7,100.0,45.9
2023-09-02,96.9,100.0,40.9
2023-09-09,99.8,100.0,46.2
2023-09-16,101.3,100.0,47.6
2023-09-23,101.8,100.0,42.2
2023-09-30,100.4,100.0,40.2
2023-10-07,100.4,100.0,42.2
2023-10-14,100.2,100.0,30.4
2023-10-21,102.3,100.0,54.6
2023-10-28,100.5,100.0,60.0
2023-11-04,100.4,100.0,54.1
2023-11-11,100.9,100.0,46.6
2023-11-18,100.7,100.0,38.5
2023-11-25,97.4,100.0,52.1
2023-12-02,102.4,100.0,45.4
2023-12-09,100.1,100.0,47.0
2023-12-16,101.8,100.0,61.4
2023-12-23,98.1,100.0,44.5
2023-12-30,99.8,100.0,38.2
2024-01-06,100.9,100.0,47.8
2024-01-13,98.2,100.0,48.6
2024-01-20,98.5,100.0,55.3
2024-01-27,101.3,100.0,50.0
2024-02-03,101.2,100.0,55.3
2024-02-10,98.1,100.0,49.0
2024-02-17,101.3,100.0,56.6
2024-02-24,97.4,100.0,50.7
2024-03-02,100.0,100.0,56.1
2024-03-09,103.5,100.0,52.7
2024-03-16,102.0,100.0,61.5
2024-03-23,101.9,100.0,52.6
2024-03-30,99.3,100.0,53.8
2024-04-06,102.0,100.0,60.3
2024-04-13,99.8,100.0,59.8
2024-04-20,102.1,100.0,42.9
2024-04-27,102.2,100.0,53.3
2024-05-04,98.8,100.0,59.0
2024-05-11,101.8,100.0,55.6
2024-05-18,99.6,100.0,56.5
2024-05-25,100.6,100.0,55.6
2024-06-01,98.6,100.0,57.3
2024-06-08,99.8,100.0,49.9
2024-06-15,100.7,100.0,53.3
2024-06-22,100.7,100.0,46.0
2024-06-29,101.2,100.0,60.7
2024-07-06,102.6,100.0,57.3
2024-07-13,99.3,100.0,42.2
2024-07-20,98.6,100.0,46.6
2024-07-27,99.4,100.0,49.3
2024-08-03,99.0,100.0,51.1
2024-08-10,102.9,100.0,51.1
2024-08-17,95.8,100.0,44.9
2024-08-24,102.0,100.0,49.0
2024-08-31,98.3,100.0,45.2
2024-09-07,99.1,100.0,45.8
2024-09-14,99.7,100.0,49.9
2024-09-21,102.5,100.0,48.3
2024-09-28,98.7,100.0,44.6
2024-10-05,97.0,100.0,44.8
2024-10-12,99.9,100.0,49.6
2024-10-19,101.8,100.0,43.8
2024-10-26,101.6,100.0,37.6
2024-11-02,99.0,100.0,52.0
2024-11-09,102.2,100.0,46.6
2024-11-16,97.1,100.0,39.0
2024-11-23,100.3,100.0,54.9
2024-11-30,99.5,100.0,48.4
2024-12-07,98.6,100.0,44.4
2024-12-14,99.5,100.0,43.9
2024-12-21,97.2,100.0,51.1
2024-12-28,97.1,100.0,58.1
2025-01-04,100.2,100.0,45.9
2025-01-11,98.7,100.0,47.5
2025-01-18,96.9,100.0,43.2
2025-01-25,99.3,100.0,49.2
2025-02-01,100.7,100.0,62.2
2025-02-08,98.4,100.0,53.8
2025-02-15,100.5,100.0,51.0
2025-02-22,103.6,100.0,53.1
2025-03-01,100.7,100.0,54.7
2025-03-08,100.7,100.0,56.1
2025-03-15,97.9,100.0,56.2
2025-03-22,99.6,100.0,52.4
2025-03-29,97.2,100.0,62.9
2025-04-05,99.9,100.0,64.1
2025-04-12,100.4,100.0,57.6
2025-04-19,98.0,100.0,55.3
2025-04-26,97.7,100.0,54.2
2025-05-03,99.3,100.0,56.1
2025-05-10,101.2,100.0,45.3
2025-05-17,99.8,100.0,48.4
2025-05-24,102.3,100.0,55.2
2025-05-31,99.3,100.0,59.6
2025-06-07,98.9,100.0,45.9
2025-06-14,100.6,100.0,49.0
2025-06-21,98.9,100.0,40.0
2025-06-28,100.2,100.0,55.7
2025-07-05,99.9,100.0,50.7
2025-07-12,101.2,100.0,52.7
2025-07-19,100.5,100.0,42.6
2025-07-26,100.3,100.0,46.2
2025-08-02,98.6,100.0,48.1
2025-08-09,100.6,100.0,100.0
2025-08-16,97.9,100.0,45.5
2025-08-23,101.4,100.0,41.6
2025-08-30,98.3,100.0,41.8
