date,units_in_stock,avg_daily_sales_14d
2023-07-01,7322,382.57
2023-07-08,5742,291.43
2023-07-15,6063,280.14
2023-07-22,5682,264.0
2023-07-29,5335,359.43
2023-08-05,6067,258.29
2023-08-12,5921,302.86
2023-08-19,5887,296.57
2023-08-26,5242,388.0
2023-09-02,6316,244.0
2023-09-09,6308,250.43
2023-09-16,5979,263.43
2023-09-23,5628,374.0
2023-09-30,6154,279.71
2023-10-07,5780,275.43
2023-10-14,6387,263.29
2023-10-21,5603,369.71
2023-10-28,6174,249.71
2023-11-04,6444,256.0
2023-11-11,6174,273.71
2023-11-18,5169,360.0
2023-11-25,6404,241.14
2023-12-02,5727,292.86
2023-12-09,5917,297.86
2023-12-16,5363,395.0
2023-12-23,6077,268.43
2023-12-30,6177,279.29
2024-01-06,6265,301.0
2024-01-13,5684,370.29
2024-01-20,5582,307.43
2024-01-27,5835,310.57
2024-02-03,6422,272.0
2024-02-10,5125,414.86
2024-02-17,6057,291.29
2024-02-24,6025,298.29
2024-03-02,5848,290.29
2024-03-09,5618,385.43
2024-03-16,5417,329.14
2024-03-23,5964,299.29
2024-03-30,5960,314.0
2024-04-06,4968,418.29
2024-04-13,5835,294.57
2024-04-20,5653,330.0
2024-04-27,5715,295.0
2024-05-04,5194,430.14
2024-05-11,2892,722.71
2024-05-18,5486,313.43
2024-05-25,5787,270.0
2024-06-01,4962,402.86
2024-06-08,5785,291.71
2024-06-15,5824,311.43
2024-06-22,6101,262.43
2024-06-29,5113,402.71
2024-07-06,6044,257.14
2024-07-13,6085,282.14
2024-07-20,5901,263.0
2024-07-27,5454,346.71
2024-08-03,6255,261.14
2024-08-10,6191,278.43
2024-08-17,6082,253.14
2024-08-24,6095,352.57
2024-08-31,6286,264.14
2024-09-07,6149,283.57
2024-09-14,5984,265.14
2024-09-21,5740,371.86
2024-09-28,6013,258.71
2024-10-05,6293,259.0
2024-10-12,5950,277.43
2024-10-19,5685,359.43
2024-10-26,5565,282.86
2024-11-02,5938,275.29
2024-11-09,6162,301.86
2024-11-16,5780,342.29
2024-11-23,6121,263.14
2024-11-30,6037,267.57
2024-12-07,6330,255.86
2024-12-14,5328,367.43
2024-12-21,6284,271.86
2024-12-28,5566,296.86
2025-01-04,6204,275.57
2025-01-11,5376,373.0
2025-01-18,5740,297.43
2025-01-25,6219,286.0
2025-02-01,5839,275.14
2025-02-08,5595,372.43
2025-02-15,6270,278.0
2025-02-22,6245,269.29
2025-03-01,5783,293.57
2025-03-08,5217,414.29
2025-03-15,6087,298.14
2025-03-22,5808,325.29
2025-03-29,6202,293.86
2025-04-05,5045,411.43
2025-04-12,5763,313.29
2025-04-19,6102,275.43
2025-04-26,6067,295.0
2025-05-03,5161,401.29
2025-05-10,6075,292.0
2025-05-17,6130,286.0
2025-05-24,5988,297.57
2025-05-31,5410,390.0
2025-06-07,6009,273.71
2025-06-14,6004,298.29
2025-06-21,6054,273.0
2025-06-28,5204,377.43
2025-07-05,6064,276.0
2025-07-12,6119,283.71
2025-07-19,6106,283.57
2025-07-26,5846,371.43
2025-08-02,6255,273.57
2025-08-09,3950,594.71
2025-08-16,6091,288.57
2025-08-23,5445,345.29
2025-08-30,5927,259.14
2025-09-06,5982,300.0
2025-09-13,5831,265.71
2025-09-20,5807,330.14
2025-09-27,6408,238.57
2025-10-04,5944,287.43
2025-10-11,6336,260.71
2025-10-18,5670,375.14
2025-10-25,6181,265.14
2025-11-01,6210,284.86
2025-11-08,6227,274.0
2025-11-15,5338,380.86
2025-11-22,5860,281.57
2025-11-29,5966,270.71
2025-12-06,6038,274.57
2025-12-13,5140,372.14
2025-12-20,5786,270.29
2025-12-27,5832,287.14
2026-01-03,6444,259.86
2026-01-10,5637,377.86
2026-01-17,5934,283.43
2026-01-24,6327,262.0
2026-01-31,6163,275.14
2026-02-07,4921,435.14
2026-02-14,6038,309.43
2026-02-21,5944,275.57
2026-02-28,5956,304.71
2026-03-07,5316,396.14
2026-03-14,5558,311.29
2026-03-21,5922,327.14
2026-03-28,6165,276.71
2026-04-04,5028,378.43
2026-04-11,6333,270.71
2026-04-18,6098,281.71
2026-04-25,5708,313.86
2026-05-02,5357,377.57
2026-05-09,5660,300.86
2026-05-16,5908,284.43
2026-05-23,6139,283.86
2026-05-30,5895,363.86
2026-06-06,6150,287.0
2026-06-13,5972,315.0
2026-06-20,6023,279.14
