date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_RICE_001,2.46,2654,1.5
2023-07-08,FMC_RICE_001,3.03,2172,1.5
2023-07-15,FMC_RICE_001,3.08,1789,1.5
2023-07-22,FMC_RICE_001,3.03,2005,1.5
2023-07-29,FMC_RICE_001,2.46,2706,1.5
2023-08-05,FMC_RICE_001,2.96,1852,1.5
2023-08-12,FMC_RICE_001,3.04,1861,1.5
2023-08-19,FMC_RICE_001,2.94,1987,1.5
2023-08-26,FMC_RICE_001,2.46,2710,1.5
2023-09-02,FMC_RICE_001,2.99,1780,1.5
2023-09-09,FMC_RICE_001,3.09,1967,1.5
2023-09-16,FMC_RICE_001,2.95,1869,1.5
2023-09-23,FMC_RICE_001,2.46,2584,1.5
2023-09-30,FMC_RICE_001,3.04,2072,1.5
2023-10-07,FMC_RICE_001,3.06,1948,1.5
2023-10-14,FMC_RICE_001,3.02,1873,1.5
2023-10-21,FMC_RICE_001,2.46,2446,1.5
2023-10-28,FMC_RICE_001,3.01,1693,1.5
2023-11-04,FMC_RICE_001,3.05,1985,1.5
2023-11-11,FMC_RICE_001,3.02,1966,1.5
2023-11-18,FMC_RICE_001,2.46,2586,1.5
2023-11-25,FMC_RICE_001,3.08,1795,1.5
2023-12-02,FMC_RICE_001,2.81,1962,1.5
2023-12-09,FMC_RICE_001,3.05,1872,1.5
2023-12-16,FMC_RICE_001,2.46,2732,1.5
2023-12-23,FMC_RICE_001,2.92,1841,1.5
2023-12-30,FMC_RICE_001,3.0,1990,1.5
2024-01-06,FMC_RICE_001,3.04,2027,1.5
2024-01-13,FMC_RICE_001,2.46,2721,1.5
2024-01-20,FMC_RICE_001,3.0,2185,1.5
2024-01-27,FMC_RICE_001,3.04,2020,1.5
2024-02-03,FMC_RICE_001,3.01,2111,1.5
2024-02-10,FMC_RICE_001,2.46,2747,1.5
2024-02-17,FMC_RICE_001,2.94,2094,1.5
2024-02-24,FMC_RICE_001,2.9,2206,1.5
2024-03-02,FMC_RICE_001,2.9,2095,1.5
2024-03-09,FMC_RICE_001,2.46,3274,1.5
2024-03-16,FMC_RICE_001,2.97,710,1.5
2024-03-23,FMC_RICE_001,3.0,2111,1.5
2024-03-30,FMC_RICE_001,3.02,2174,1.5
2024-04-06,FMC_RICE_001,2.46,3168,1.5
2024-04-13,FMC_RICE_001,3.0,2448,1.5
2024-04-20,FMC_RICE_001,2.96,529,1.5
2024-04-27,FMC_RICE_001,2.94,2384,1.5
2024-05-04,FMC_RICE_001,2.46,3386,1.5
2024-05-11,FMC_RICE_001,3.04,208,1.5
2024-05-18,FMC_RICE_001,3.08,2150,1.5
2024-05-25,FMC_RICE_001,3.03,2138,1.5
2024-06-01,FMC_RICE_001,2.46,2845,1.5
2024-06-08,FMC_RICE_001,2.96,2138,1.5
2024-06-15,FMC_RICE_001,3.09,2198,1.5
2024-06-22,FMC_RICE_001,3.07,2207,1.5
2024-06-29,FMC_RICE_001,2.46,745,1.5
2024-07-06,FMC_RICE_001,2.95,2120,1.5
2024-07-13,FMC_RICE_001,3.09,2294,1.5
2024-07-20,FMC_RICE_001,2.99,2272,1.5
2024-07-27,FMC_RICE_001,2.46,610,1.5
2024-08-03,FMC_RICE_001,2.99,2294,1.5
2024-08-10,FMC_RICE_001,3.08,2158,1.5
2024-08-17,FMC_RICE_001,3.11,2112,1.5
2024-08-24,FMC_RICE_001,2.46,2953,1.5
2024-08-31,FMC_RICE_001,2.93,133,1.5
2024-09-07,FMC_RICE_001,3.02,2203,1.5
2024-09-14,FMC_RICE_001,3.0,2142,1.5
2024-09-21,FMC_RICE_001,2.46,2739,1.5
2024-09-28,FMC_RICE_001,2.99,376,1.5
2024-10-05,FMC_RICE_001,3.09,1861,1.5
2024-10-12,FMC_RICE_001,3.02,1920,1.5
2024-10-19,FMC_RICE_001,2.46,2222,1.5
2024-10-26,FMC_RICE_001,2.95,1889,1.5
2024-11-02,FMC_RICE_001,2.99,1899,1.5
2024-11-09,FMC_RICE_001,2.95,1907,1.5
2024-11-16,FMC_RICE_001,2.46,2694,1.5
2024-11-23,FMC_RICE_001,2.93,2182,1.5
2024-11-30,FMC_RICE_001,3.0,2217,1.5
2024-12-07,FMC_RICE_001,2.94,846,1.5
2024-12-14,FMC_RICE_001,2.46,2654,1.5
2024-12-21,FMC_RICE_001,2.93,2318,1.5
2024-12-28,FMC_RICE_001,2.96,2374,1.5
2025-01-04,FMC_RICE_001,2.98,2358,1.5
2025-01-11,FMC_RICE_001,2.46,3425,1.5
2025-01-18,FMC_RICE_001,3.03,10,1.5
2025-01-25,FMC_RICE_001,3.04,2150,1.5
2025-02-01,FMC_RICE_001,3.15,2386,1.5
2025-02-08,FMC_RICE_001,2.46,2997,1.5
2025-02-15,FMC_RICE_001,2.98,585,1.5
2025-02-22,FMC_RICE_001,2.99,2085,1.5
2025-03-01,FMC_RICE_001,2.96,2338,1.5
2025-03-08,FMC_RICE_001,2.46,3325,1.5
2025-03-15,FMC_RICE_001,2.98,360,1.5
2025-03-22,FMC_RICE_001,2.92,2277,1.5
2025-03-29,FMC_RICE_001,3.04,2575,1.5
2025-04-05,FMC_RICE_001,2.46,700,1.5
2025-04-12,FMC_RICE_001,3.03,2282,1.5
2025-04-19,FMC_RICE_001,3.01,2531,1.5
2025-04-26,FMC_RICE_001,3.0,2606,1.5
2025-05-03,FMC_RICE_001,2.46,810,1.5
2025-05-10,FMC_RICE_001,3.06,2310,1.5
2025-05-17,FMC_RICE_001,3.03,2369,1.5
2025-05-24,FMC_RICE_001,2.97,2298,1.5
2025-05-31,FMC_RICE_001,2.46,3208,1.5
2025-06-07,FMC_RICE_001,3.15,471,1.5
2025-06-14,FMC_RICE_001,2.98,1875,1.5
2025-06-21,FMC_RICE_001,2.96,2121,1.5
2025-06-28,FMC_RICE_001,2.46,2853,1.5
2025-07-05,FMC_RICE_001,2.92,2237,1.5
2025-07-12,FMC_RICE_001,3.11,2201,1.5
2025-07-19,FMC_RICE_001,3.01,745,1.5
2025-07-26,FMC_RICE_001,2.46,3024,1.5
2025-08-02,FMC_RICE_001,3.03,770,1.5
2025-08-09,FMC_RICE_001,2.99,4259,1.5
2025-08-16,FMC_RICE_001,3.01,10,1.5
2025-08-23,FMC_RICE_001,2.46,2360,1.5
2025-08-30,FMC_RICE_001,3.01,2201,1.5
2025-09-06,FMC_RICE_001,2.88,2415,1.5
2025-09-13,FMC_RICE_001,3.11,2192,1.5
2025-09-20,FMC_RICE_001,2.46,2833,1.5
2025-09-27,FMC_RICE_001,3.03,460,1.5
2025-10-04,FMC_RICE_001,3.01,1897,1.5
2025-10-11,FMC_RICE_001,3.0,2034,1.5
2025-10-18,FMC_RICE_001,2.46,2518,1.5
2025-10-25,FMC_RICE_001,3.07,2239,1.5
2025-11-01,FMC_RICE_001,2.98,2401,1.5
2025-11-08,FMC_RICE_001,3.04,198,1.5
2025-11-15,FMC_RICE_001,2.46,3176,1.5
2025-11-22,FMC_RICE_001,3.0,328,1.5
2025-11-29,FMC_RICE_001,3.0,2059,1.5
2025-12-06,FMC_RICE_001,3.07,2470,1.5
2025-12-13,FMC_RICE_001,2.46,3059,1.5
2025-12-20,FMC_RICE_001,3.04,10,1.5
2025-12-27,FMC_RICE_001,2.92,2132,1.5
2026-01-03,FMC_RICE_001,2.96,1888,1.5
2026-01-10,FMC_RICE_001,2.46,2602,1.5
2026-01-17,FMC_RICE_001,2.98,2159,1.5
2026-01-24,FMC_RICE_001,3.0,1946,1.5
2026-01-31,FMC_RICE_001,3.0,2284,1.5
2026-02-07,FMC_RICE_001,2.46,3252,1.5
2026-02-14,FMC_RICE_001,3.01,389,1.5
2026-02-21,FMC_RICE_001,3.03,2456,1.5
2026-02-28,FMC_RICE_001,2.96,2480,1.5
2026-03-07,FMC_RICE_001,2.46,3242,1.5
2026-03-14,FMC_RICE_001,3.01,38,1.5
2026-03-21,FMC_RICE_001,2.95,2087,1.5
2026-03-28,FMC_RICE_001,3.13,1994,1.5
2026-04-04,FMC_RICE_001,2.46,2536,1.5
2026-04-11,FMC_RICE_001,2.94,2449,1.5
2026-04-18,FMC_RICE_001,3.01,605,1.5
2026-04-25,FMC_RICE_001,2.97,2288,1.5
2026-05-02,FMC_RICE_001,2.46,3194,1.5
