date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,2.99,2.8400000000000003,3.14
2023-07-08,2.95,2.8000000000000003,3.1
2023-07-15,2.91,2.7600000000000002,3.06
2023-07-22,2.97,2.8200000000000003,3.12
2023-07-29,2.98,2.83,3.13
2023-08-05,3.03,2.88,3.1799999999999997
2023-08-12,3.08,2.93,3.23
2023-08-19,3.15,2.9899999999999998,3.31
2023-08-26,3.13,2.9699999999999998,3.29
2023-09-02,3.19,3.03,3.35
2023-09-09,3.24,3.08,3.4000000000000004
2023-09-16,3.28,3.1199999999999997,3.44
2023-09-23,3.37,3.2,3.54
2023-09-30,3.35,3.18,3.52
2023-10-07,3.31,3.14,3.48
2023-10-14,3.38,3.21,3.55
2023-10-21,3.37,3.2,3.54
2023-10-28,3.31,3.14,3.48
2023-11-04,3.33,3.16,3.5
2023-11-11,3.29,3.13,3.45
2023-11-18,3.24,3.08,3.4000000000000004
2023-11-25,3.17,3.01,3.33
2023-12-02,3.08,2.93,3.23
2023-12-09,2.99,2.8400000000000003,3.14
2023-12-16,2.92,2.77,3.07
2023-12-23,2.9,2.76,3.04
2023-12-30,2.87,2.73,3.0100000000000002
2024-01-06,2.79,2.65,2.93
2024-01-13,2.81,2.67,2.95
2024-01-20,2.81,2.67,2.95
2024-01-27,2.8,2.6599999999999997,2.94
2024-02-03,2.81,2.67,2.95
2024-02-10,2.75,2.61,2.89
2024-02-17,2.73,2.59,2.87
2024-02-24,2.7,2.56,2.8400000000000003
2024-03-02,2.75,2.61,2.89
2024-03-09,2.67,2.54,2.8
2024-03-16,2.6,2.47,2.73
2024-03-23,2.63,2.5,2.76
2024-03-30,2.64,2.5100000000000002,2.77
2024-04-06,2.67,2.54,2.8
2024-04-13,2.64,2.5100000000000002,2.77
2024-04-20,2.73,2.59,2.87
2024-04-27,2.8,2.6599999999999997,2.94
2024-05-04,2.9,2.76,3.04
2024-05-11,2.9,2.76,3.04
2024-05-18,2.93,2.7800000000000002,3.08
2024-05-25,2.96,2.81,3.11
2024-06-01,3.05,2.9,3.1999999999999997
2024-06-08,3.16,3.0,3.3200000000000003
2024-06-15,3.19,3.03,3.35
2024-06-22,3.26,3.0999999999999996,3.42
2024-06-29,3.32,3.15,3.4899999999999998
2024-07-06,3.36,3.19,3.53
2024-07-13,3.35,3.18,3.52
2024-07-20,3.34,3.17,3.51
2024-07-27,3.38,3.21,3.55
2024-08-03,3.41,3.24,3.58
2024-08-10,3.32,3.15,3.4899999999999998
2024-08-17,3.25,3.09,3.41
2024-08-24,3.21,3.05,3.37
2024-08-31,3.07,2.92,3.2199999999999998
2024-09-07,3.01,2.86,3.1599999999999997
2024-09-14,2.94,2.79,3.09
2024-09-21,2.89,2.75,3.0300000000000002
2024-09-28,2.81,2.67,2.95
2024-10-05,2.79,2.65,2.93
2024-10-12,2.8,2.6599999999999997,2.94
2024-10-19,2.81,2.67,2.95
2024-10-26,2.72,2.58,2.8600000000000003
2024-11-02,2.63,2.5,2.76
2024-11-09,2.6,2.47,2.73
2024-11-16,2.63,2.5,2.76
2024-11-23,2.62,2.49,2.75
2024-11-30,2.61,2.48,2.7399999999999998
2024-12-07,2.54,2.41,2.67
2024-12-14,2.53,2.4,2.6599999999999997
2024-12-21,2.57,2.44,2.6999999999999997
2024-12-28,2.64,2.5100000000000002,2.77
2025-01-04,2.69,2.56,2.82
2025-01-11,2.74,2.6,2.8800000000000003
2025-01-18,2.82,2.6799999999999997,2.96
2025-01-25,2.86,2.7199999999999998,3.0
2025-02-01,2.94,2.79,3.09
2025-02-08,3.01,2.86,3.1599999999999997
2025-02-15,3.06,2.91,3.21
2025-02-22,3.08,2.93,3.23
2025-03-01,3.15,2.9899999999999998,3.31
2025-03-08,3.16,3.0,3.3200000000000003
2025-03-15,3.25,3.09,3.41
2025-03-22,3.23,3.07,3.39
2025-03-29,3.28,3.1199999999999997,3.44
2025-04-05,3.34,3.17,3.51
2025-04-12,3.35,3.18,3.52
2025-04-19,3.36,3.19,3.53
2025-04-26,3.43,3.2600000000000002,3.6
2025-05-03,3.36,3.19,3.53
2025-05-10,3.3,3.1399999999999997,3.46
2025-05-17,3.19,3.03,3.35
2025-05-24,3.11,2.9499999999999997,3.27
2025-05-31,3.06,2.91,3.21
2025-06-07,3.04,2.89,3.19
2025-06-14,2.96,2.81,3.11
2025-06-21,2.91,2.7600000000000002,3.06
2025-06-28,2.88,2.7399999999999998,3.02
2025-07-05,2.88,2.7399999999999998,3.02
2025-07-12,2.89,2.75,3.0300000000000002
2025-07-19,2.85,2.71,2.99
2025-07-26,2.8,2.6599999999999997,2.94
2025-08-02,2.7,2.56,2.8400000000000003
2025-08-09,2.64,2.5100000000000002,2.77
2025-08-16,2.55,2.42,2.6799999999999997
2025-08-23,2.59,2.46,2.7199999999999998
2025-08-30,2.58,2.45,2.71
2025-09-06,2.58,2.45,2.71
2025-09-13,2.72,2.58,2.8600000000000003
2025-09-20,2.72,2.58,2.8600000000000003
2025-09-27,2.77,2.63,2.91
2025-10-04,2.76,2.6199999999999997,2.9
2025-10-11,2.85,2.71,2.99
2025-10-18,2.86,2.7199999999999998,3.0
2025-10-25,3.0,2.85,3.15
2025-11-01,3.05,2.9,3.1999999999999997
2025-11-08,3.09,2.94,3.2399999999999998
2025-11-15,3.15,2.9899999999999998,3.31
2025-11-22,3.14,2.98,3.3000000000000003
2025-11-29,3.17,3.01,3.33
2025-12-06,3.27,3.11,3.43
2025-12-13,3.31,3.14,3.48
2025-12-20,3.31,3.14,3.48
2025-12-27,3.38,3.21,3.55
2026-01-03,3.34,3.17,3.51
2026-01-10,3.3,3.1399999999999997,3.46
2026-01-17,3.37,3.2,3.54
2026-01-24,3.39,3.22,3.56
2026-01-31,3.3,3.1399999999999997,3.46
2026-02-07,3.23,3.07,3.39
2026-02-14,3.26,3.0999999999999996,3.42
2026-02-21,3.22,3.06,3.3800000000000003
2026-02-28,3.17,3.01,3.33
2026-03-07,3.14,2.98,3.3000000000000003
2026-03-14,3.1,2.94,3.2600000000000002
2026-03-21,3.07,2.92,3.2199999999999998
2026-03-28,2.93,2.7800000000000002,3.08
