date,cci_current,cci_baseline,google_trends_score
2023-07-01,99.1,100.0,48.0
2023-07-08,99.9,100.0,43.5
2023-07-15,102.7,100.0,49.2
2023-07-22,102.6,100.0,55.4
2023-07-29,98.6,100.0,46.4
2023-08-05,98.6,100.0,41.3
2023-08-12,100.4,100.0,42.2
2023-08-19,101.2,100.0,46.8
2023-08-26,99.3,100.0,43.3
2023-09-02,101.5,100.0,52.5
2023-09-09,100.6,100.0,37.6
2023-09-16,101.0,100.0,42.4
2023-09-23,101.6,100.0,45.0
2023-09-30,98.6,100.0,49.8
2023-10-07,103.5,100.0,44.9
2023-10-14,101.9,100.0,52.6
2023-10-21,100.7,100.0,42.2
2023-10-28,100.5,100.0,44.7
2023-11-04,99.5,100.0,43.0
2023-11-11,98.5,100.0,43.2
2023-11-18,101.6,100.0,48.1
2023-11-25,98.1,100.0,39.4
2023-12-02,98.7,100.0,48.6
2023-12-09,101.3,100.0,48.4
2023-12-16,99.8,100.0,41.2
2023-12-23,99.0,100.0,55.0
2023-12-30,96.3,100.0,46.6
2024-01-06,100.8,100.0,51.1
2024-01-13,102.0,100.0,47.9
2024-01-20,101.3,100.0,46.9
2024-01-27,100.1,100.0,50.5
2024-02-03,97.7,100.0,53.1
2024-02-10,98.2,100.0,51.1
2024-02-17,102.3,100.0,56.4
2024-02-24,98.0,100.0,56.2
2024-03-02,97.7,100.0,48.7
2024-03-09,98.9,100.0,52.0
2024-03-16,102.2,100.0,50.9
2024-03-23,100.8,100.0,55.1
2024-03-30,99.2,100.0,60.7
2024-04-06,100.3,100.0,59.0
2024-04-13,96.5,100.0,49.3
2024-04-20,100.0,100.0,56.0
2024-04-27,102.0,100.0,64.6
2024-05-04,99.7,100.0,59.7
2024-05-11,100.9,100.0,53.3
2024-05-18,101.0,100.0,49.2
2024-05-25,100.6,100.0,54.0
2024-06-01,98.5,100.0,48.1
2024-06-08,98.1,100.0,52.3
2024-06-15,98.8,100.0,50.7
2024-06-22,103.0,100.0,56.3
2024-06-29,99.5,100.0,52.8
2024-07-06,100.6,100.0,52.1
2024-07-13,97.8,100.0,53.0
2024-07-20,100.3,100.0,47.8
2024-07-27,100.2,100.0,38.0
2024-08-03,101.5,100.0,31.6
2024-08-10,101.4,100.0,42.2
2024-08-17,98.2,100.0,39.8
2024-08-24,98.5,100.0,44.5
2024-08-31,100.3,100.0,52.5
2024-09-07,100.4,100.0,37.5
2024-09-14,98.0,100.0,47.0
2024-09-21,99.4,100.0,40.1
2024-09-28,102.1,100.0,40.4
2024-10-05,101.3,100.0,45.9
2024-10-12,100.5,100.0,42.1
2024-10-19,103.1,100.0,45.3
2024-10-26,100.1,100.0,49.0
2024-11-02,98.6,100.0,38.8
2024-11-09,99.9,100.0,38.5
2024-11-16,100.3,100.0,50.5
2024-11-23,99.5,100.0,51.5
2024-11-30,103.1,100.0,46.4
2024-12-07,99.3,100.0,51.0
2024-12-14,98.0,100.0,48.7
2024-12-21,96.5,100.0,50.1
