date,units_in_stock,avg_daily_sales_14d
2023-07-01,5854,279.29
2023-07-08,6116,275.57
2023-07-15,6412,265.14
2023-07-22,6055,290.43
2023-07-29,5861,279.43
2023-08-05,5832,292.57
2023-08-12,5374,289.14
2023-08-19,5331,283.14
2023-08-26,5414,299.71
2023-09-02,5289,293.14
2023-09-09,5566,268.43
2023-09-16,5742,271.0
2023-09-23,6008,271.57
2023-09-30,6110,271.29
2023-10-07,5960,259.0
2023-10-14,5901,308.43
2023-10-21,5923,274.86
2023-10-28,5968,264.43
2023-11-04,6150,288.57
2023-11-11,6219,285.86
2023-11-18,6138,275.71
2023-11-25,6092,281.43
2023-12-02,6549,274.86
2023-12-09,6674,293.86
2023-12-16,6719,286.29
2023-12-23,6936,278.14
2023-12-30,6785,314.43
2024-01-06,6851,286.43
2024-01-13,6550,301.0
2024-01-20,6985,278.29
2024-01-27,7246,273.14
2024-02-03,6948,291.86
2024-02-10,7128,275.29
2024-02-17,7444,262.71
2024-02-24,7538,300.57
2024-03-02,7133,310.14
2024-03-09,6954,295.71
2024-03-16,6954,308.43
2024-03-23,7083,310.29
2024-03-30,6486,307.71
2024-04-06,6661,288.14
2024-04-13,6552,293.86
2024-04-20,6447,300.71
2024-04-27,6286,303.0
2024-05-04,6512,283.29
2024-05-11,3346,736.0
2024-05-18,3457,286.86
2024-05-25,3187,312.0
2024-06-01,2679,316.71
2024-06-08,2831,295.57
2024-06-15,2417,296.57
2024-06-22,2227,284.86
2024-06-29,2238,280.57
2024-07-06,2032,285.14
2024-07-13,1948,284.29
2024-07-20,1716,347.57
2024-07-27,1737,334.29
2024-08-03,1591,317.29
2024-08-10,1426,287.71
2024-08-17,1191,293.71
2024-08-24,1024,322.43
2024-08-31,437,345.14
2024-09-07,2077,62.43
2024-09-14,2542,269.0
2024-09-21,2762,262.43
2024-09-28,2608,293.86
2024-10-05,2588,267.71
2024-10-12,2809,269.14
2024-10-19,2885,271.0
2024-10-26,3209,245.29
2024-11-02,3435,276.29
2024-11-09,3565,278.57
2024-11-16,4192,244.43
2024-11-23,4248,283.43
2024-11-30,4633,281.43
2024-12-07,5279,278.43
2024-12-14,5562,271.14
2024-12-21,5594,295.0
2024-12-28,5759,262.71
2025-01-04,5532,267.14
2025-01-11,5682,272.0
2025-01-18,5770,275.29
2025-01-25,5989,282.0
2025-02-01,5643,319.14
2025-02-08,5612,284.43
2025-02-15,5521,278.29
2025-02-22,5456,294.43
2025-03-01,5424,308.0
2025-03-08,5461,283.43
2025-03-15,5223,335.86
2025-03-22,5284,283.57
2025-03-29,5337,306.43
2025-04-05,4980,295.43
2025-04-12,4833,295.14
2025-04-19,4700,300.71
2025-04-26,4428,312.71
2025-05-03,4025,307.29
2025-05-10,4257,278.57
2025-05-17,4174,290.43
2025-05-24,3723,275.0
2025-05-31,3944,296.29
2025-06-07,3944,287.86
2025-06-14,4009,290.57
2025-06-21,3957,287.86
2025-06-28,4183,275.43
2025-07-05,4000,306.57
2025-07-12,3824,276.71
2025-07-19,3940,292.86
2025-07-26,3961,257.57
2025-08-02,4257,291.14
2025-08-09,1784,607.29
2025-08-16,1968,335.29
2025-08-23,1451,347.57
2025-08-30,1284,324.86
2025-09-06,1253,301.71
2025-09-13,1171,319.86
2025-09-20,1048,324.14
2025-09-27,950,315.14
2025-10-04,692,316.86
2025-10-11,2210,98.86
2025-10-18,2521,282.14
2025-10-25,2187,301.29
2025-11-01,2106,283.43
2025-11-08,2278,275.86
2025-11-15,2742,263.0
2025-11-22,3140,275.14
2025-11-29,3212,299.14
2025-12-06,3350,277.14
2025-12-13,3504,286.29
2025-12-20,3203,291.14
2025-12-27,3010,295.86
2026-01-03,2960,291.57
2026-01-10,2957,284.57
2026-01-17,3084,281.0
2026-01-24,2738,307.0
2026-01-31,3071,280.86
2026-02-07,2993,317.14
2026-02-14,2808,299.43
2026-02-21,2433,312.86
2026-02-28,2125,302.86
2026-03-07,2281,293.29
2026-03-14,2536,295.14
2026-03-21,2940,286.29
2026-03-28,2954,290.71
2026-04-04,3210,290.43
2026-04-11,3312,296.86
2026-04-18,2869,294.71
2026-04-25,2684,320.43
2026-05-02,2361,301.57
2026-05-09,2037,295.14
2026-05-16,1869,292.57
2026-05-23,1619,310.29
2026-05-30,1110,329.57
2026-06-06,464,363.14
2026-06-13,1737,66.29
2026-06-20,1301,339.86
