date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_RICE_001,2.99,2069,1.5
2023-07-08,FMC_RICE_001,3.1,2007,1.5
2023-07-15,FMC_RICE_001,3.09,2042,1.5
2023-07-22,FMC_RICE_001,3.17,1928,1.5
2023-07-29,FMC_RICE_001,3.27,1840,1.5
2023-08-05,FMC_RICE_001,3.25,1763,1.5
2023-08-12,FMC_RICE_001,3.36,1819,1.5
2023-08-19,FMC_RICE_001,3.4,1692,1.5
2023-08-26,FMC_RICE_001,3.45,1823,1.5
2023-09-02,FMC_RICE_001,3.51,1694,1.5
2023-09-09,FMC_RICE_001,3.47,1738,1.5
2023-09-16,FMC_RICE_001,3.44,1943,1.5
2023-09-23,FMC_RICE_001,3.46,1700,1.5
2023-09-30,FMC_RICE_001,3.4,1865,1.5
2023-10-07,FMC_RICE_001,3.36,1783,1.5
2023-10-14,FMC_RICE_001,3.3,1760,1.5
2023-10-21,FMC_RICE_001,3.21,1988,1.5
2023-10-28,FMC_RICE_001,3.16,1901,1.5
2023-11-04,FMC_RICE_001,3.11,1838,1.5
2023-11-11,FMC_RICE_001,3.04,2006,1.5
2023-11-18,FMC_RICE_001,2.95,1837,1.5
2023-11-25,FMC_RICE_001,2.89,1995,1.5
2023-12-02,FMC_RICE_001,2.78,2129,1.5
2023-12-09,FMC_RICE_001,2.8,2155,1.5
2023-12-16,FMC_RICE_001,2.65,2065,1.5
2023-12-23,FMC_RICE_001,2.64,1935,1.5
2023-12-30,FMC_RICE_001,2.55,2074,1.5
2024-01-06,FMC_RICE_001,2.64,2014,1.5
2024-01-13,FMC_RICE_001,2.6,2144,1.5
2024-01-20,FMC_RICE_001,2.53,2195,1.5
2024-01-27,FMC_RICE_001,2.56,2171,1.5
2024-02-03,FMC_RICE_001,2.54,2185,1.5
2024-02-10,FMC_RICE_001,2.58,2147,1.5
2024-02-17,FMC_RICE_001,2.66,2191,1.5
2024-02-24,FMC_RICE_001,2.69,2109,1.5
2024-03-02,FMC_RICE_001,2.72,2241,1.5
2024-03-09,FMC_RICE_001,2.83,2277,1.5
2024-03-16,FMC_RICE_001,2.84,2012,1.5
2024-03-23,FMC_RICE_001,2.92,2108,1.5
2024-03-30,FMC_RICE_001,3.03,2185,1.5
2024-04-06,FMC_RICE_001,3.05,2064,1.5
2024-04-13,FMC_RICE_001,3.17,2097,1.5
2024-04-20,FMC_RICE_001,3.19,1997,1.5
2024-04-27,FMC_RICE_001,3.25,1989,1.5
