date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,6.09,5.79,6.39
2023-07-08,6.12,5.8100000000000005,6.43
2023-07-15,6.06,5.76,6.359999999999999
2023-07-22,6.04,5.74,6.34
2023-07-29,5.92,5.62,6.22
2023-08-05,6.43,6.109999999999999,6.75
2023-08-12,6.08,5.78,6.38
2023-08-19,6.08,5.78,6.38
2023-08-26,5.87,5.58,6.16
2023-09-02,5.88,5.59,6.17
2023-09-09,5.83,5.54,6.12
2023-09-16,6.02,5.72,6.319999999999999
2023-09-23,5.54,5.26,5.82
2023-09-30,6.05,5.75,6.35
2023-10-07,5.98,5.680000000000001,6.28
2023-10-14,5.86,5.57,6.15
2023-10-21,6.02,5.72,6.319999999999999
2023-10-28,6.15,5.840000000000001,6.46
2023-11-04,6.06,5.76,6.359999999999999
2023-11-11,5.91,5.61,6.21
2023-11-18,5.74,5.45,6.03
2023-11-25,5.82,5.53,6.11
2023-12-02,6.1,5.8,6.3999999999999995
2023-12-09,6.01,5.71,6.31
2023-12-16,6.34,6.02,6.66
2023-12-23,6.07,5.7700000000000005,6.37
2023-12-30,5.87,5.58,6.16
2024-01-06,6.07,5.7700000000000005,6.37
2024-01-13,5.67,5.39,5.95
2024-01-20,6.11,5.800000000000001,6.42
2024-01-27,6.05,5.75,6.35
2024-02-03,6.33,6.01,6.65
2024-02-10,5.83,5.54,6.12
2024-02-17,5.88,5.59,6.17
2024-02-24,6.05,5.75,6.35
2024-03-02,6.24,5.930000000000001,6.55
2024-03-09,6.13,5.82,6.4399999999999995
2024-03-16,6.36,6.04,6.680000000000001
2024-03-23,6.02,5.72,6.319999999999999
2024-03-30,6.11,5.800000000000001,6.42
2024-04-06,6.07,5.7700000000000005,6.37
2024-04-13,6.0,5.7,6.3
2024-04-20,5.81,5.52,6.1
2024-04-27,5.93,5.63,6.2299999999999995
2024-05-04,5.96,5.66,6.26
2024-05-11,5.68,5.3999999999999995,5.96
2024-05-18,5.68,5.3999999999999995,5.96
2024-05-25,6.05,5.75,6.35
2024-06-01,5.81,5.52,6.1
2024-06-08,6.26,5.95,6.569999999999999
2024-06-15,6.33,6.01,6.65
2024-06-22,6.19,5.880000000000001,6.5
2024-06-29,6.13,5.82,6.4399999999999995
2024-07-06,6.16,5.8500000000000005,6.47
2024-07-13,6.14,5.83,6.449999999999999
2024-07-20,5.77,5.4799999999999995,6.06
2024-07-27,6.15,5.840000000000001,6.46
2024-08-03,5.86,5.57,6.15
2024-08-10,5.87,5.58,6.16
2024-08-17,6.39,6.069999999999999,6.71
2024-08-24,5.82,5.53,6.11
2024-08-31,6.07,5.7700000000000005,6.37
2024-09-07,6.25,5.94,6.56
2024-09-14,5.66,5.38,5.94
2024-09-21,6.13,5.82,6.4399999999999995
2024-09-28,5.95,5.65,6.25
2024-10-05,6.11,5.800000000000001,6.42
2024-10-12,5.89,5.6,6.18
2024-10-19,6.27,5.96,6.579999999999999
2024-10-26,6.08,5.78,6.38
2024-11-02,6.0,5.7,6.3
2024-11-09,6.08,5.78,6.38
2024-11-16,5.87,5.58,6.16
2024-11-23,5.76,5.47,6.05
2024-11-30,5.98,5.680000000000001,6.28
2024-12-07,5.86,5.57,6.15
2024-12-14,6.08,5.78,6.38
2024-12-21,6.03,5.73,6.33
2024-12-28,6.0,5.7,6.3
2025-01-04,5.94,5.640000000000001,6.24
2025-01-11,6.18,5.87,6.489999999999999
2025-01-18,4.82,4.58,5.0600000000000005
2025-01-25,4.96,4.71,5.21
2025-02-01,4.77,4.529999999999999,5.01
2025-02-08,4.68,4.449999999999999,4.91
2025-02-15,4.94,4.69,5.19
2025-02-22,4.95,4.7,5.2
2025-03-01,4.7,4.46,4.94
2025-03-08,4.81,4.569999999999999,5.05
2025-03-15,5.07,4.82,5.32
2025-03-22,4.6,4.369999999999999,4.83
2025-03-29,4.83,4.59,5.07
2025-04-05,4.87,4.63,5.11
2025-04-12,4.77,4.529999999999999,5.01
2025-04-19,4.7,4.46,4.94
2025-04-26,4.95,4.7,5.2
2025-05-03,4.69,4.46,4.920000000000001
2025-05-10,4.74,4.5,4.98
2025-05-17,4.66,4.43,4.890000000000001
2025-05-24,4.63,4.3999999999999995,4.86
2025-05-31,4.77,4.529999999999999,5.01
2025-06-07,4.65,4.42,4.880000000000001
2025-06-14,4.75,4.51,4.99
2025-06-21,4.64,4.409999999999999,4.87
2025-06-28,4.95,4.7,5.2
2025-07-05,4.9,4.65,5.15
2025-07-12,4.67,4.4399999999999995,4.9
2025-07-19,4.92,4.67,5.17
2025-07-26,4.96,4.71,5.21
2025-08-02,4.82,4.58,5.0600000000000005
2025-08-09,4.62,4.39,4.8500000000000005
2025-08-16,4.78,4.54,5.0200000000000005
2025-08-23,4.96,4.71,5.21
2025-08-30,4.65,4.42,4.880000000000001
2025-09-06,4.87,4.63,5.11
2025-09-13,4.89,4.6499999999999995,5.13
2025-09-20,4.77,4.529999999999999,5.01
2025-09-27,4.52,4.289999999999999,4.75
2025-10-04,4.87,4.63,5.11
2025-10-11,4.73,4.49,4.970000000000001
2025-10-18,4.86,4.62,5.1000000000000005
2025-10-25,4.52,4.289999999999999,4.75
2025-11-01,4.84,4.6,5.08
2025-11-08,4.54,4.31,4.7700000000000005
2025-11-15,4.93,4.68,5.18
2025-11-22,4.87,4.63,5.11
2025-11-29,4.96,4.71,5.21
2025-12-06,4.78,4.54,5.0200000000000005
2025-12-13,5.02,4.77,5.27
2025-12-20,4.93,4.68,5.18
2025-12-27,4.64,4.409999999999999,4.87
2026-01-03,4.71,4.47,4.95
2026-01-10,4.79,4.55,5.03
2026-01-17,4.83,4.59,5.07
2026-01-24,4.7,4.46,4.94
2026-01-31,4.62,4.39,4.8500000000000005
2026-02-07,4.92,4.67,5.17
2026-02-14,4.73,4.49,4.970000000000001
2026-02-21,4.61,4.38,4.840000000000001
2026-02-28,4.87,4.63,5.11
2026-03-07,4.79,4.55,5.03
