date,cci_current,cci_baseline,google_trends_score
2023-07-01,97.2,100.0,58.1
2023-07-08,96.5,100.0,47.6
2023-07-15,100.1,100.0,34.2
2023-07-22,97.1,100.0,37.9
2023-07-29,100.3,100.0,40.4
2023-08-05,100.4,100.0,39.2
2023-08-12,100.1,100.0,35.1
2023-08-19,101.2,100.0,30.4
2023-08-26,102.6,100.0,31.9
2023-09-02,98.3,100.0,23.8
2023-09-09,99.7,100.0,30.6
2023-09-16,101.6,100.0,22.3
2023-09-23,101.7,100.0,28.7
2023-09-30,98.8,100.0,18.8
2023-10-07,100.7,100.0,30.6
2023-10-14,100.3,100.0,27.6
2023-10-21,100.6,100.0,26.5
2023-10-28,100.6,100.0,22.2
2023-11-04,99.4,100.0,30.3
2023-11-11,100.0,100.0,40.1
2023-11-18,101.3,100.0,39.4
2023-11-25,97.1,100.0,36.4
2023-12-02,100.7,100.0,44.4
2023-12-09,99.5,100.0,47.5
2023-12-16,98.8,100.0,45.8
2023-12-23,99.0,100.0,40.6
2023-12-30,100.0,100.0,54.8
2024-01-06,99.2,100.0,54.7
2024-01-13,102.3,100.0,52.8
2024-01-20,99.8,100.0,62.7
2024-01-27,99.8,100.0,66.7
2024-02-03,104.3,100.0,73.0
2024-02-10,100.2,100.0,66.6
2024-02-17,99.9,100.0,69.7
2024-02-24,100.4,100.0,67.5
2024-03-02,101.3,100.0,73.9
2024-03-09,102.8,100.0,71.6
2024-03-16,101.0,100.0,64.6
2024-03-23,100.7,100.0,74.4
2024-03-30,96.9,100.0,72.0
2024-04-06,100.3,100.0,72.9
2024-04-13,100.0,100.0,62.6
2024-04-20,97.9,100.0,81.4
2024-04-27,98.2,100.0,69.4
2024-05-04,98.8,100.0,71.0
2024-05-11,99.8,100.0,68.6
2024-05-18,99.5,100.0,68.3
2024-05-25,101.7,100.0,57.6
2024-06-01,101.4,100.0,60.3
2024-06-08,100.2,100.0,61.5
2024-06-15,100.6,100.0,58.9
2024-06-22,100.6,100.0,54.7
2024-06-29,100.8,100.0,48.4
2024-07-06,101.6,100.0,44.7
2024-07-13,101.5,100.0,48.7
2024-07-20,101.3,100.0,42.8
2024-07-27,96.7,100.0,33.7
2024-08-03,99.3,100.0,33.2
2024-08-10,98.3,100.0,42.7
2024-08-17,98.4,100.0,37.7
2024-08-24,99.4,100.0,35.3
2024-08-31,99.3,100.0,32.9
2024-09-07,101.8,100.0,23.2
2024-09-14,101.1,100.0,27.9
2024-09-21,99.7,100.0,28.2
2024-09-28,98.9,100.0,30.4
2024-10-05,99.4,100.0,17.7
2024-10-12,99.1,100.0,31.5
2024-10-19,99.2,100.0,18.1
2024-10-26,97.6,100.0,20.6
2024-11-02,101.7,100.0,21.9
2024-11-09,100.4,100.0,34.5
2024-11-16,100.3,100.0,36.4
2024-11-23,99.2,100.0,32.4
2024-11-30,99.9,100.0,41.3
2024-12-07,100.4,100.0,50.6
2024-12-14,101.1,100.0,50.4
2024-12-21,98.6,100.0,50.2
2024-12-28,99.7,100.0,50.3
2025-01-04,100.1,100.0,51.9
2025-01-11,98.3,100.0,54.3
2025-01-18,99.3,100.0,68.9
2025-01-25,99.4,100.0,62.9
2025-02-01,98.3,100.0,60.2
2025-02-08,99.1,100.0,61.1
2025-02-15,97.5,100.0,60.8
2025-02-22,99.1,100.0,66.8
2025-03-01,101.2,100.0,74.5
2025-03-08,100.4,100.0,64.9
2025-03-15,99.1,100.0,72.8
2025-03-22,103.0,100.0,77.9
2025-03-29,98.3,100.0,78.8
2025-04-05,99.3,100.0,71.6
2025-04-12,100.8,100.0,67.2
2025-04-19,101.3,100.0,74.5
2025-04-26,100.7,100.0,70.9
2025-05-03,101.8,100.0,69.2
2025-05-10,99.0,100.0,62.9
2025-05-17,98.5,100.0,71.5
2025-05-24,97.8,100.0,74.1
2025-05-31,101.8,100.0,60.2
2025-06-07,98.7,100.0,56.3
2025-06-14,99.6,100.0,56.3
2025-06-21,100.2,100.0,46.8
2025-06-28,99.7,100.0,51.6
2025-07-05,99.1,100.0,53.0
2025-07-12,101.3,100.0,40.1
2025-07-19,98.8,100.0,32.0
2025-07-26,97.2,100.0,33.0
2025-08-02,98.8,100.0,34.5
2025-08-09,96.3,100.0,100.0
2025-08-16,98.9,100.0,29.7
2025-08-23,98.0,100.0,31.1
2025-08-30,100.9,100.0,26.4
2025-09-06,100.5,100.0,32.6
2025-09-13,98.6,100.0,31.3
2025-09-20,101.1,100.0,31.7
2025-09-27,102.3,100.0,23.0
2025-10-04,100.6,100.0,21.8
2025-10-11,99.8,100.0,24.2
2025-10-18,97.5,100.0,30.7
2025-10-25,101.3,100.0,24.7
2025-11-01,100.0,100.0,32.5
2025-11-08,101.0,100.0,31.5
2025-11-15,100.1,100.0,33.2
2025-11-22,98.0,100.0,37.4
2025-11-29,99.8,100.0,41.4
2025-12-06,99.6,100.0,47.4
