date,units_in_stock,avg_daily_sales_14d
2023-07-01,2357,91.86
2023-07-08,1856,82.86
2023-07-15,1844,80.71
2023-07-22,1805,81.0
2023-07-29,1900,79.57
2023-08-05,1772,78.14
2023-08-12,1913,76.0
2023-08-19,1919,71.43
2023-08-26,2017,65.71
2023-09-02,2013,69.57
2023-09-09,1976,61.57
2023-09-16,1948,59.86
2023-09-23,1949,65.0
2023-09-30,1920,66.14
2023-10-07,1955,62.71
2023-10-14,1950,62.57
2023-10-21,1867,66.86
2023-10-28,1896,62.43
2023-11-04,1888,68.57
2023-11-11,1818,72.57
2023-11-18,1805,71.14
2023-11-25,1900,76.86
2023-12-02,1798,78.0
2023-12-09,1929,73.0
2023-12-16,1866,84.71
2023-12-23,1877,75.86
2023-12-30,1753,85.57
2024-01-06,1763,90.14
2024-01-13,1694,93.86
2024-01-20,1639,86.0
2024-01-27,1780,95.0
2024-02-03,1768,92.14
2024-02-10,1685,101.29
2024-02-17,1610,115.14
2024-02-24,1620,109.86
2024-03-02,1597,107.0
2024-03-09,1717,97.29
2024-03-16,1697,106.0
2024-03-23,1724,111.57
2024-03-30,1599,105.14
2024-04-06,1764,108.0
2024-04-13,1626,114.14
2024-04-20,1610,105.29
2024-04-27,1581,107.0
2024-05-04,1570,110.14
2024-05-11,540,259.71
2024-05-18,1749,107.57
2024-05-25,1781,84.43
2024-06-01,1793,85.71
2024-06-08,1615,96.71
2024-06-15,1777,89.0
2024-06-22,1862,82.57
2024-06-29,1863,77.14
2024-07-06,1862,79.57
2024-07-13,1884,78.86
2024-07-20,1812,86.14
2024-07-27,1871,71.29
2024-08-03,1822,74.0
2024-08-10,1945,71.0
2024-08-17,1793,73.86
2024-08-24,1876,71.43
2024-08-31,1899,71.14
2024-09-07,1975,61.86
2024-09-14,1945,65.71
2024-09-21,1984,68.14
2024-09-28,1925,64.0
2024-10-05,2023,64.86
2024-10-12,2031,62.71
2024-10-19,1980,62.0
2024-10-26,1813,64.14
2024-11-02,1846,74.86
2024-11-09,2016,61.71
2024-11-16,2094,64.71
2024-11-23,1799,71.14
2024-11-30,1868,78.86
2024-12-07,1861,77.86
2024-12-14,1807,83.0
2024-12-21,1930,81.86
2024-12-28,1821,83.0
2025-01-04,1785,85.29
2025-01-11,1752,97.14
2025-01-18,1641,101.29
2025-01-25,1778,100.0
2025-02-01,1640,110.0
2025-02-08,1680,94.29
2025-02-15,1694,103.71
2025-02-22,1589,105.43
2025-03-01,1663,103.71
2025-03-08,1729,99.86
2025-03-15,1605,120.29
2025-03-22,1610,113.29
2025-03-29,1653,108.43
2025-04-05,1644,111.0
2025-04-12,1672,107.71
2025-04-19,1670,102.29
2025-04-26,1728,95.86
2025-05-03,1596,131.0
2025-05-10,1449,129.14
2025-05-17,1507,130.29
2025-05-24,1501,124.14
2025-05-31,1624,102.71
2025-06-07,1545,121.14
2025-06-14,1611,115.29
2025-06-21,1622,110.86
2025-06-28,1812,106.86
2025-07-05,1803,100.71
2025-07-12,1726,101.57
2025-07-19,1636,98.14
2025-07-26,1762,89.29
2025-08-02,1807,95.0
2025-08-09,1088,193.29
2025-08-16,1815,86.57
2025-08-23,1797,86.86
2025-08-30,1871,82.29
2025-09-06,1783,80.43
2025-09-13,1813,81.57
2025-09-20,1852,88.86
2025-09-27,1922,76.86
2025-10-04,1749,85.14
2025-10-11,1896,72.29
2025-10-18,1863,81.43
2025-10-25,1743,81.29
2025-11-01,1833,81.71
2025-11-08,1637,93.86
2025-11-15,1831,87.29
2025-11-22,1743,92.0
2025-11-29,1803,90.86
2025-12-06,1737,87.71
2025-12-13,1792,92.0
2025-12-20,1878,88.43
2025-12-27,1700,103.43
2026-01-03,1733,104.14
2026-01-10,1729,109.57
2026-01-17,1665,118.14
2026-01-24,1616,119.86
2026-01-31,1416,124.57
2026-02-07,1498,126.29
2026-02-14,1441,137.43
2026-02-21,1491,131.57
2026-02-28,1453,121.71
2026-03-07,1394,130.14
2026-03-14,1511,131.14
2026-03-21,1469,126.43
2026-03-28,1562,122.57
2026-04-04,1563,136.57
2026-04-11,1457,126.57
2026-04-18,1555,129.86
2026-04-25,1557,123.14
2026-05-02,1359,130.57
2026-05-09,1576,113.29
2026-05-16,1650,117.29
2026-05-23,1468,121.29
2026-05-30,1619,116.14
2026-06-06,1512,118.14
2026-06-13,1662,105.57
2026-06-20,1647,107.43
