date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_SHAMPOO_001,6.01,643,2.8
2023-07-08,FMC_SHAMPOO_001,5.95,580,2.8
2023-07-15,FMC_SHAMPOO_001,5.99,565,2.8
2023-07-22,FMC_SHAMPOO_001,6.0,567,2.8
2023-07-29,FMC_SHAMPOO_001,5.94,557,2.8
2023-08-05,FMC_SHAMPOO_001,6.08,547,2.8
2023-08-12,FMC_SHAMPOO_001,5.97,532,2.8
2023-08-19,FMC_SHAMPOO_001,6.0,500,2.8
2023-08-26,FMC_SHAMPOO_001,5.96,460,2.8
2023-09-02,FMC_SHAMPOO_001,6.03,487,2.8
2023-09-09,FMC_SHAMPOO_001,6.02,431,2.8
2023-09-16,FMC_SHAMPOO_001,6.13,419,2.8
2023-09-23,FMC_SHAMPOO_001,5.89,455,2.8
2023-09-30,FMC_SHAMPOO_001,6.07,463,2.8
2023-10-07,FMC_SHAMPOO_001,6.0,439,2.8
2023-10-14,FMC_SHAMPOO_001,6.05,438,2.8
2023-10-21,FMC_SHAMPOO_001,5.89,468,2.8
2023-10-28,FMC_SHAMPOO_001,5.93,437,2.8
2023-11-04,FMC_SHAMPOO_001,6.1,480,2.8
2023-11-11,FMC_SHAMPOO_001,6.0,508,2.8
2023-11-18,FMC_SHAMPOO_001,5.86,498,2.8
2023-11-25,FMC_SHAMPOO_001,5.96,538,2.8
2023-12-02,FMC_SHAMPOO_001,5.88,546,2.8
2023-12-09,FMC_SHAMPOO_001,5.97,511,2.8
2023-12-16,FMC_SHAMPOO_001,6.0,593,2.8
2023-12-23,FMC_SHAMPOO_001,6.0,531,2.8
2023-12-30,FMC_SHAMPOO_001,6.05,599,2.8
2024-01-06,FMC_SHAMPOO_001,6.04,631,2.8
2024-01-13,FMC_SHAMPOO_001,6.09,657,2.8
2024-01-20,FMC_SHAMPOO_001,6.04,602,2.8
2024-01-27,FMC_SHAMPOO_001,6.16,665,2.8
2024-02-03,FMC_SHAMPOO_001,6.13,645,2.8
2024-02-10,FMC_SHAMPOO_001,6.01,709,2.8
2024-02-17,FMC_SHAMPOO_001,5.97,806,2.8
2024-02-24,FMC_SHAMPOO_001,5.95,769,2.8
2024-03-02,FMC_SHAMPOO_001,6.01,749,2.8
2024-03-09,FMC_SHAMPOO_001,6.02,681,2.8
2024-03-16,FMC_SHAMPOO_001,6.09,742,2.8
2024-03-23,FMC_SHAMPOO_001,5.97,781,2.8
2024-03-30,FMC_SHAMPOO_001,5.81,736,2.8
2024-04-06,FMC_SHAMPOO_001,6.15,756,2.8
2024-04-13,FMC_SHAMPOO_001,6.05,799,2.8
2024-04-20,FMC_SHAMPOO_001,5.94,737,2.8
2024-04-27,FMC_SHAMPOO_001,5.86,749,2.8
2024-05-04,FMC_SHAMPOO_001,5.95,771,2.8
2024-05-11,FMC_SHAMPOO_001,5.86,1818,2.8
2024-05-18,FMC_SHAMPOO_001,6.06,753,2.8
2024-05-25,FMC_SHAMPOO_001,5.94,591,2.8
2024-06-01,FMC_SHAMPOO_001,6.16,600,2.8
2024-06-08,FMC_SHAMPOO_001,5.91,677,2.8
2024-06-15,FMC_SHAMPOO_001,5.9,623,2.8
2024-06-22,FMC_SHAMPOO_001,5.99,578,2.8
2024-06-29,FMC_SHAMPOO_001,6.01,540,2.8
2024-07-06,FMC_SHAMPOO_001,6.09,557,2.8
2024-07-13,FMC_SHAMPOO_001,6.08,552,2.8
2024-07-20,FMC_SHAMPOO_001,5.94,603,2.8
2024-07-27,FMC_SHAMPOO_001,6.03,499,2.8
2024-08-03,FMC_SHAMPOO_001,5.83,518,2.8
2024-08-10,FMC_SHAMPOO_001,6.15,497,2.8
2024-08-17,FMC_SHAMPOO_001,5.95,517,2.8
2024-08-24,FMC_SHAMPOO_001,6.04,500,2.8
2024-08-31,FMC_SHAMPOO_001,6.06,498,2.8
2024-09-07,FMC_SHAMPOO_001,5.99,433,2.8
2024-09-14,FMC_SHAMPOO_001,5.98,460,2.8
2024-09-21,FMC_SHAMPOO_001,5.88,477,2.8
2024-09-28,FMC_SHAMPOO_001,5.89,448,2.8
2024-10-05,FMC_SHAMPOO_001,6.03,454,2.8
2024-10-12,FMC_SHAMPOO_001,6.06,439,2.8
2024-10-19,FMC_SHAMPOO_001,6.06,434,2.8
2024-10-26,FMC_SHAMPOO_001,6.13,449,2.8
2024-11-02,FMC_SHAMPOO_001,6.05,524,2.8
2024-11-09,FMC_SHAMPOO_001,5.94,432,2.8
2024-11-16,FMC_SHAMPOO_001,6.1,453,2.8
2024-11-23,FMC_SHAMPOO_001,6.0,498,2.8
