date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,6.07,5.7700000000000005,6.37
2023-07-08,5.98,5.680000000000001,6.28
2023-07-15,6.01,5.71,6.31
2023-07-22,6.07,5.7700000000000005,6.37
2023-07-29,5.94,5.640000000000001,6.24
2023-08-05,6.01,5.71,6.31
2023-08-12,6.11,5.800000000000001,6.42
2023-08-19,6.13,5.82,6.4399999999999995
2023-08-26,6.14,5.83,6.449999999999999
2023-09-02,6.05,5.75,6.35
2023-09-09,6.12,5.8100000000000005,6.43
2023-09-16,6.16,5.8500000000000005,6.47
2023-09-23,6.08,5.78,6.38
2023-09-30,6.11,5.800000000000001,6.42
2023-10-07,6.23,5.920000000000001,6.54
2023-10-14,6.17,5.86,6.4799999999999995
2023-10-21,6.2,5.890000000000001,6.51
2023-10-28,6.2,5.890000000000001,6.51
2023-11-04,6.28,5.970000000000001,6.59
2023-11-11,6.27,5.96,6.579999999999999
2023-11-18,6.17,5.86,6.4799999999999995
2023-11-25,6.31,5.989999999999999,6.63
2023-12-02,6.3,5.9799999999999995,6.62
2023-12-09,6.37,6.05,6.69
2023-12-16,6.29,5.98,6.6
2023-12-23,6.32,6.0,6.640000000000001
2023-12-30,6.3,5.9799999999999995,6.62
2024-01-06,6.33,6.01,6.65
2024-01-13,6.4,6.08,6.720000000000001
2024-01-20,6.36,6.04,6.680000000000001
2024-01-27,6.43,6.109999999999999,6.75
2024-02-03,6.33,6.01,6.65
2024-02-10,6.42,6.1,6.74
2024-02-17,6.32,6.0,6.640000000000001
2024-02-24,6.35,6.029999999999999,6.67
2024-03-02,6.52,6.1899999999999995,6.85
2024-03-09,6.39,6.069999999999999,6.71
2024-03-16,6.53,6.2,6.86
2024-03-23,6.48,6.16,6.800000000000001
2024-03-30,6.42,6.1,6.74
2024-04-06,6.6,6.27,6.93
2024-04-13,6.41,6.09,6.73
2024-04-20,6.53,6.2,6.86
2024-04-27,6.57,6.24,6.9
2024-05-04,6.55,6.22,6.88
2024-05-11,6.53,6.2,6.86
2024-05-18,6.65,6.32,6.98
2024-05-25,6.58,6.25,6.91
2024-06-01,6.64,6.31,6.97
2024-06-08,6.56,6.2299999999999995,6.89
2024-06-15,6.73,6.390000000000001,7.07
2024-06-22,6.71,6.37,7.05
2024-06-29,6.63,6.3,6.96
2024-07-06,6.7,6.36,7.04
2024-07-13,6.74,6.4,7.08
2024-07-20,6.78,6.44,7.12
2024-07-27,6.71,6.37,7.05
2024-08-03,6.63,6.3,6.96
2024-08-10,6.68,6.35,7.01
2024-08-17,6.77,6.43,7.109999999999999
2024-08-24,6.77,6.43,7.109999999999999
2024-08-31,6.82,6.48,7.16
2024-09-07,6.82,6.48,7.16
2024-09-14,6.78,6.44,7.12
2024-09-21,6.75,6.41,7.09
2024-09-28,6.79,6.45,7.13
2024-10-05,6.73,6.390000000000001,7.07
2024-10-12,6.91,6.5600000000000005,7.26
2024-10-19,6.8,6.46,7.14
2024-10-26,6.93,6.58,7.279999999999999
2024-11-02,6.85,6.51,7.1899999999999995
2024-11-09,6.88,6.54,7.22
2024-11-16,6.98,6.630000000000001,7.33
2024-11-23,7.01,6.66,7.359999999999999
2024-11-30,6.88,6.54,7.22
2024-12-07,6.88,6.54,7.22
2024-12-14,6.92,6.57,7.27
2024-12-21,6.99,6.640000000000001,7.34
2024-12-28,7.0,6.65,7.35
2025-01-04,7.01,6.66,7.359999999999999
2025-01-11,6.92,6.57,7.27
2025-01-18,7.05,6.7,7.3999999999999995
2025-01-25,7.02,6.67,7.369999999999999
2025-02-01,7.0,6.65,7.35
2025-02-08,6.95,6.6000000000000005,7.3
2025-02-15,7.01,6.66,7.359999999999999
2025-02-22,7.06,6.71,7.409999999999999
2025-03-01,7.02,6.67,7.369999999999999
2025-03-08,7.0,6.65,7.35
2025-03-15,7.13,6.77,7.49
2025-03-22,7.17,6.81,7.53
2025-03-29,7.07,6.720000000000001,7.42
2025-04-05,7.1,6.75,7.449999999999999
2025-04-12,7.19,6.83,7.550000000000001
2025-04-19,7.15,6.79,7.510000000000001
2025-04-26,7.3,6.9399999999999995,7.66
2025-05-03,7.18,6.819999999999999,7.54
2025-05-10,7.23,6.87,7.590000000000001
2025-05-17,7.32,6.95,7.69
2025-05-24,7.14,6.779999999999999,7.5
2025-05-31,7.24,6.88,7.6000000000000005
2025-06-07,7.21,6.85,7.57
2025-06-14,7.26,6.8999999999999995,7.62
2025-06-21,7.21,6.85,7.57
2025-06-28,7.32,6.95,7.69
2025-07-05,7.25,6.89,7.61
2025-07-12,7.39,7.02,7.76
2025-07-19,7.34,6.97,7.71
2025-07-26,7.33,6.96,7.7
2025-08-02,7.28,6.92,7.640000000000001
2025-08-09,7.39,7.02,7.76
2025-08-16,7.31,6.9399999999999995,7.68
2025-08-23,7.4,7.03,7.7700000000000005
2025-08-30,7.41,7.04,7.78
2025-09-06,7.35,6.9799999999999995,7.72
2025-09-13,7.39,7.02,7.76
2025-09-20,7.36,6.99,7.73
2025-09-27,7.49,7.12,7.86
2025-10-04,7.4,7.03,7.7700000000000005
2025-10-11,7.46,7.09,7.83
2025-10-18,7.38,7.01,7.75
2025-10-25,7.49,7.12,7.86
2025-11-01,7.51,7.13,7.89
2025-11-08,7.58,7.2,7.96
2025-11-15,7.49,7.12,7.86
2025-11-22,7.57,7.19,7.95
2025-11-29,7.62,7.24,8.0
2025-12-06,7.56,7.18,7.9399999999999995
2025-12-13,7.56,7.18,7.9399999999999995
2025-12-20,7.6,7.22,7.9799999999999995
2025-12-27,7.66,7.28,8.040000000000001
2026-01-03,7.66,7.28,8.040000000000001
2026-01-10,7.66,7.28,8.040000000000001
2026-01-17,7.63,7.25,8.01
2026-01-24,7.68,7.3,8.06
2026-01-31,7.71,7.32,8.1
2026-02-07,7.72,7.33,8.11
2026-02-14,7.85,7.46,8.24
2026-02-21,7.61,7.23,7.99
2026-02-28,7.7,7.3100000000000005,8.09
2026-03-07,7.75,7.36,8.14
2026-03-14,7.68,7.3,8.06
2026-03-21,7.78,7.390000000000001,8.17
2026-03-28,7.79,7.4,8.18
2026-04-04,7.82,7.430000000000001,8.21
2026-04-11,7.77,7.38,8.16
2026-04-18,7.86,7.470000000000001,8.25
2026-04-25,7.83,7.44,8.22
2026-05-02,7.8,7.41,8.19
2026-05-09,7.75,7.36,8.14
2026-05-16,7.72,7.33,8.11
2026-05-23,7.95,7.55,8.35
2026-05-30,7.84,7.45,8.23
2026-06-06,7.82,7.430000000000001,8.21
2026-06-13,7.92,7.52,8.32
2026-06-20,7.96,7.56,8.36
