date,units_in_stock,avg_daily_sales_14d
2023-07-01,2431,81.29
2023-07-08,1906,80.0
2023-07-15,1929,85.0
2023-07-22,1869,76.0
2023-07-29,1868,82.57
2023-08-05,1872,77.71
2023-08-12,1914,67.43
2023-08-19,1927,68.57
2023-08-26,1976,66.29
2023-09-02,1876,67.0
2023-09-09,1970,60.29
2023-09-16,1943,60.0
2023-09-23,1944,63.71
2023-09-30,1894,61.14
2023-10-07,1932,63.29
2023-10-14,2070,60.71
2023-10-21,1866,65.57
2023-10-28,1976,61.14
2023-11-04,1835,66.14
2023-11-11,1852,67.14
2023-11-18,1930,67.29
2023-11-25,1947,71.43
2023-12-02,1961,73.86
2023-12-09,1876,71.86
2023-12-16,1773,77.14
2023-12-23,1919,77.86
2023-12-30,1897,83.0
2024-01-06,1858,80.43
2024-01-13,1813,91.71
2024-01-20,1743,90.71
2024-01-27,1750,102.14
2024-02-03,1777,92.29
2024-02-10,1815,96.0
2024-02-17,1642,95.86
2024-02-24,1772,95.71
2024-03-02,1682,98.14
2024-03-09,1740,86.57
2024-03-16,1541,102.71
2024-03-23,1666,98.0
2024-03-30,1625,106.86
2024-04-06,1660,103.43
2024-04-13,1773,99.29
2024-04-20,1565,100.43
2024-04-27,1757,96.0
2024-05-04,1704,95.0
2024-05-11,722,229.86
2024-05-18,1846,93.86
2024-05-25,1812,88.14
2024-06-01,2007,82.71
2024-06-08,1780,83.57
2024-06-15,1803,86.57
2024-06-22,1808,78.57
2024-06-29,1813,76.29
2024-07-06,1900,68.71
2024-07-13,1858,70.29
2024-07-20,1914,73.29
2024-07-27,1883,68.71
2024-08-03,1904,65.0
2024-08-10,2043,62.71
2024-08-17,1938,56.71
2024-08-24,1906,59.57
2024-08-31,1964,53.29
2024-09-07,1993,59.0
2024-09-14,2177,55.71
2024-09-21,2055,60.43
2024-09-28,2000,60.71
2024-10-05,2028,56.29
2024-10-12,2070,57.29
2024-10-19,2057,61.43
2024-10-26,1905,58.0
2024-11-02,1957,58.57
2024-11-09,2023,58.57
2024-11-16,1981,69.14
2024-11-23,1882,65.43
2024-11-30,1926,70.71
2024-12-07,1932,69.86
2024-12-14,1967,65.71
2024-12-21,1934,68.71
2024-12-28,1920,74.43
2025-01-04,1826,82.71
2025-01-11,1867,79.29
2025-01-18,1842,77.43
2025-01-25,1794,85.0
2025-02-01,1772,84.86
2025-02-08,1691,86.71
2025-02-15,1792,89.86
2025-02-22,1785,89.0
2025-03-01,1821,84.57
2025-03-08,1927,83.86
2025-03-15,1889,89.71
2025-03-22,1740,91.71
2025-03-29,1765,91.0
2025-04-05,1848,91.71
2025-04-12,1826,92.43
2025-04-19,1800,92.71
2025-04-26,1645,93.43
2025-05-03,1770,81.43
2025-05-10,1790,78.86
2025-05-17,1728,95.0
2025-05-24,1906,83.43
2025-05-31,1937,76.86
2025-06-07,1836,78.43
2025-06-14,1821,79.43
2025-06-21,1842,75.29
2025-06-28,1834,76.29
2025-07-05,1966,65.86
2025-07-12,1822,66.29
2025-07-19,1969,67.43
2025-07-26,1951,63.43
2025-08-02,1957,60.71
2025-08-09,1507,128.29
2025-08-16,2110,56.0
2025-08-23,2093,57.57
2025-08-30,2022,56.29
2025-09-06,2143,52.71
2025-09-13,2077,49.57
2025-09-20,2010,52.71
2025-09-27,2136,51.71
2025-10-04,2072,54.86
2025-10-11,2006,55.14
2025-10-18,2053,51.0
2025-10-25,2006,52.14
2025-11-01,1987,58.86
2025-11-08,1968,56.29
2025-11-15,1925,61.71
2025-11-22,2017,52.71
2025-11-29,1963,54.0
2025-12-06,1987,58.57
2025-12-13,1862,66.86
2025-12-20,1989,66.43
2025-12-27,1950,66.43
2026-01-03,1793,71.43
2026-01-10,1824,74.43
2026-01-17,1936,72.29
2026-01-24,1863,83.71
2026-01-31,1864,72.0
2026-02-07,1942,81.0
2026-02-14,1790,82.14
2026-02-21,1903,73.14
2026-02-28,1940,72.57
2026-03-07,1788,84.29
2026-03-14,1758,82.86
2026-03-21,1917,83.43
2026-03-28,1799,83.86
2026-04-04,1926,76.0
2026-04-11,1851,80.29
2026-04-18,1858,79.29
2026-04-25,1867,77.86
2026-05-02,1942,75.86
2026-05-09,1794,80.43
2026-05-16,1834,78.86
2026-05-23,1878,79.43
2026-05-30,1872,73.14
2026-06-06,1854,68.57
2026-06-13,1760,75.71
2026-06-20,1998,68.43
