date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_SHAMPOO_001,6.1,652,2.8
2023-07-08,FMC_SHAMPOO_001,6.03,536,2.81
2023-07-15,FMC_SHAMPOO_001,6.14,589,2.81
2023-07-22,FMC_SHAMPOO_001,6.13,553,2.82
2023-07-29,FMC_SHAMPOO_001,6.04,583,2.82
2023-08-05,FMC_SHAMPOO_001,5.99,484,2.83
2023-08-12,FMC_SHAMPOO_001,6.08,514,2.83
2023-08-19,FMC_SHAMPOO_001,6.08,480,2.84
2023-08-26,FMC_SHAMPOO_001,6.16,448,2.84
2023-09-02,FMC_SHAMPOO_001,6.11,475,2.85
2023-09-09,FMC_SHAMPOO_001,6.28,454,2.85
2023-09-16,FMC_SHAMPOO_001,6.11,432,2.86
2023-09-23,FMC_SHAMPOO_001,6.1,402,2.86
2023-09-30,FMC_SHAMPOO_001,6.19,477,2.87
2023-10-07,FMC_SHAMPOO_001,6.14,492,2.87
2023-10-14,FMC_SHAMPOO_001,6.15,445,2.88
2023-10-21,FMC_SHAMPOO_001,6.18,421,2.88
2023-10-28,FMC_SHAMPOO_001,6.23,495,2.89
2023-11-04,FMC_SHAMPOO_001,6.22,436,2.89
2023-11-11,FMC_SHAMPOO_001,6.25,446,2.9
2023-11-18,FMC_SHAMPOO_001,6.23,478,2.9
2023-11-25,FMC_SHAMPOO_001,6.23,493,2.91
2023-12-02,FMC_SHAMPOO_001,6.27,545,2.91
2023-12-09,FMC_SHAMPOO_001,6.25,498,2.92
2023-12-16,FMC_SHAMPOO_001,6.31,576,2.92
2023-12-23,FMC_SHAMPOO_001,6.3,566,2.93
2023-12-30,FMC_SHAMPOO_001,6.33,555,2.93
2024-01-06,FMC_SHAMPOO_001,6.32,580,2.94
2024-01-13,FMC_SHAMPOO_001,6.28,611,2.94
2024-01-20,FMC_SHAMPOO_001,6.44,621,2.95
2024-01-27,FMC_SHAMPOO_001,6.45,644,2.95
2024-02-03,FMC_SHAMPOO_001,6.45,658,2.96
2024-02-10,FMC_SHAMPOO_001,6.42,708,2.96
2024-02-17,FMC_SHAMPOO_001,6.42,669,2.97
2024-02-24,FMC_SHAMPOO_001,6.51,741,2.97
2024-03-02,FMC_SHAMPOO_001,6.44,659,2.98
2024-03-09,FMC_SHAMPOO_001,6.39,693,2.98
