date,cci_current,cci_baseline,google_trends_score
2023-07-01,99.8,100.0,50.6
2023-07-08,102.1,100.0,38.6
2023-07-15,101.5,100.0,35.8
2023-07-22,101.7,100.0,44.8
2023-07-29,100.0,100.0,34.2
2023-08-05,102.0,100.0,35.7
2023-08-12,99.8,100.0,32.0
2023-08-19,101.1,100.0,22.7
2023-08-26,99.4,100.0,36.5
2023-09-02,101.3,100.0,30.0
2023-09-09,99.4,100.0,28.4
2023-09-16,100.0,100.0,18.8
2023-09-23,100.9,100.0,33.6
2023-09-30,100.9,100.0,19.5
2023-10-07,100.1,100.0,20.4
2023-10-14,100.4,100.0,22.4
2023-10-21,99.8,100.0,29.7
2023-10-28,98.5,100.0,26.5
2023-11-04,101.6,100.0,34.1
2023-11-11,101.3,100.0,36.2
2023-11-18,99.3,100.0,33.7
2023-11-25,104.0,100.0,35.5
2023-12-02,101.2,100.0,55.0
2023-12-09,99.5,100.0,50.1
2023-12-16,100.7,100.0,45.2
2023-12-23,100.7,100.0,45.6
2023-12-30,102.7,100.0,41.2
2024-01-06,102.3,100.0,50.1
2024-01-13,99.0,100.0,58.0
2024-01-20,99.8,100.0,61.8
2024-01-27,99.2,100.0,57.0
2024-02-03,101.7,100.0,58.9
2024-02-10,100.6,100.0,57.2
2024-02-17,102.3,100.0,68.5
2024-02-24,97.5,100.0,71.0
2024-03-02,99.6,100.0,72.3
2024-03-09,99.7,100.0,71.6
2024-03-16,99.3,100.0,82.0
2024-03-23,98.8,100.0,73.7
2024-03-30,101.4,100.0,67.1
2024-04-06,98.7,100.0,76.6
2024-04-13,101.0,100.0,82.6
2024-04-20,98.6,100.0,73.1
2024-04-27,98.9,100.0,74.1
2024-05-04,101.0,100.0,71.6
2024-05-11,101.0,100.0,67.8
2024-05-18,99.2,100.0,69.0
2024-05-25,101.5,100.0,68.2
2024-06-01,100.8,100.0,53.9
2024-06-08,97.7,100.0,62.8
2024-06-15,99.4,100.0,53.9
2024-06-22,99.8,100.0,56.7
2024-06-29,101.7,100.0,52.4
2024-07-06,99.7,100.0,46.7
2024-07-13,99.2,100.0,40.6
2024-07-20,99.5,100.0,43.6
2024-07-27,99.6,100.0,33.8
2024-08-03,102.7,100.0,34.3
2024-08-10,99.3,100.0,27.0
2024-08-17,100.2,100.0,35.9
2024-08-24,100.1,100.0,27.3
2024-08-31,100.3,100.0,29.5
2024-09-07,99.4,100.0,15.5
2024-09-14,99.2,100.0,21.2
2024-09-21,98.3,100.0,29.7
2024-09-28,100.5,100.0,25.4
2024-10-05,97.4,100.0,26.7
2024-10-12,98.4,100.0,22.0
2024-10-19,100.1,100.0,23.8
2024-10-26,100.9,100.0,29.5
2024-11-02,101.3,100.0,18.2
2024-11-09,99.1,100.0,31.5
2024-11-16,98.9,100.0,37.6
2024-11-23,99.6,100.0,29.2
2024-11-30,99.4,100.0,43.9
2024-12-07,101.5,100.0,38.7
2024-12-14,102.2,100.0,47.6
2024-12-21,99.4,100.0,46.5
2024-12-28,97.9,100.0,44.9
2025-01-04,102.0,100.0,53.0
2025-01-11,99.5,100.0,53.4
2025-01-18,98.0,100.0,60.8
2025-01-25,99.8,100.0,58.8
2025-02-01,98.6,100.0,58.5
2025-02-08,96.0,100.0,69.8
2025-02-15,100.3,100.0,62.6
2025-02-22,100.3,100.0,68.3
2025-03-01,100.8,100.0,73.2
2025-03-08,98.5,100.0,82.9
2025-03-15,99.8,100.0,67.8
2025-03-22,102.7,100.0,74.8
2025-03-29,100.3,100.0,76.3
2025-04-05,100.6,100.0,70.7
2025-04-12,99.6,100.0,71.7
2025-04-19,97.0,100.0,65.1
2025-04-26,100.0,100.0,80.7
2025-05-03,99.3,100.0,75.1
2025-05-10,100.4,100.0,71.5
2025-05-17,99.1,100.0,56.8
2025-05-24,98.1,100.0,63.9
2025-05-31,104.3,100.0,58.6
2025-06-07,99.1,100.0,61.7
2025-06-14,100.2,100.0,65.3
2025-06-21,101.8,100.0,52.8
2025-06-28,98.7,100.0,55.0
2025-07-05,100.3,100.0,49.9
2025-07-12,100.7,100.0,43.6
2025-07-19,98.8,100.0,39.5
2025-07-26,100.2,100.0,28.2
2025-08-02,98.7,100.0,36.1
2025-08-09,102.5,100.0,100.0
2025-08-16,100.8,100.0,29.6
2025-08-23,104.0,100.0,31.6
2025-08-30,100.6,100.0,27.9
2025-09-06,100.2,100.0,26.4
2025-09-13,99.9,100.0,26.4
2025-09-20,102.8,100.0,15.7
2025-09-27,100.6,100.0,21.9
2025-10-04,100.0,100.0,35.1
2025-10-11,99.0,100.0,25.7
2025-10-18,100.4,100.0,26.5
2025-10-25,102.3,100.0,19.5
2025-11-01,102.4,100.0,30.6
2025-11-08,98.5,100.0,29.2
2025-11-15,99.2,100.0,31.6
2025-11-22,100.9,100.0,37.4
2025-11-29,98.6,100.0,31.9
2025-12-06,100.9,100.0,41.9
2025-12-13,100.2,100.0,40.9
2025-12-20,98.2,100.0,43.7
2025-12-27,99.9,100.0,57.5
2026-01-03,100.5,100.0,54.9
2026-01-10,102.4,100.0,55.1
2026-01-17,98.0,100.0,56.4
2026-01-24,100.2,100.0,63.5
2026-01-31,100.8,100.0,67.5
2026-02-07,100.9,100.0,62.9
2026-02-14,98.1,100.0,69.2
2026-02-21,98.7,100.0,73.2
2026-02-28,98.6,100.0,68.7
2026-03-07,101.8,100.0,64.9
2026-03-14,102.0,100.0,73.1
2026-03-21,101.2,100.0,83.1
2026-03-28,100.8,100.0,71.6
2026-04-04,100.4,100.0,68.2
2026-04-11,100.1,100.0,73.3
2026-04-18,99.4,100.0,67.0
2026-04-25,98.1,100.0,79.1
2026-05-02,99.4,100.0,75.9
2026-05-09,98.6,100.0,62.4
2026-05-16,99.4,100.0,66.7
2026-05-23,97.7,100.0,69.3
2026-05-30,102.6,100.0,59.8
2026-06-06,99.4,100.0,61.6
2026-06-13,100.8,100.0,56.9
2026-06-20,100.4,100.0,56.3
