date,units_in_stock,avg_daily_sales_14d
2023-07-01,1559,131.29
2023-07-08,1624,82.86
2023-07-15,1726,70.71
2023-07-22,1772,74.86
2023-07-29,1582,111.57
2023-08-05,1738,67.71
2023-08-12,1799,79.57
2023-08-19,1808,69.0
2023-08-26,1782,96.29
2023-09-02,1961,66.14
2023-09-09,2164,67.0
2023-09-16,2282,65.57
2023-09-23,2180,102.29
2023-09-30,2446,63.29
2023-10-07,2564,69.71
2023-10-14,2703,61.43
2023-10-21,2666,94.29
2023-10-28,2795,65.29
2023-11-04,2975,68.71
2023-11-11,3046,69.57
2023-11-18,2908,99.43
2023-11-25,3029,76.71
2023-12-02,2996,77.71
2023-12-09,3003,77.86
2023-12-16,2868,128.0
2023-12-23,2952,81.14
2023-12-30,2977,82.57
2024-01-06,2826,84.71
2024-01-13,2496,133.29
2024-01-20,2407,88.57
2024-01-27,2436,98.0
2024-02-03,2348,94.14
2024-02-10,1842,149.14
2024-02-17,1664,106.71
2024-02-24,1609,102.43
2024-03-02,1405,107.71
2024-03-09,901,169.86
2024-03-16,750,101.86
2024-03-23,672,106.0
2024-03-30,446,103.43
2024-04-06,10,194.0
2024-04-13,510,1.43
2024-04-20,323,120.29
2024-04-27,218,116.0
2024-05-04,501,31.14
2024-05-11,10,289.71
2024-05-18,581,1.43
2024-05-25,399,116.29
2024-06-01,10,159.57
2024-06-08,631,1.43
2024-06-15,563,94.86
2024-06-22,448,103.14
2024-06-29,24,154.57
2024-07-06,536,3.43
2024-07-13,475,92.14
2024-07-20,553,81.0
2024-07-27,292,127.71
2024-08-03,304,86.14
2024-08-10,400,75.0
2024-08-17,498,74.43
2024-08-24,163,126.0
2024-08-31,694,23.29
2024-09-07,864,72.43
2024-09-14,993,61.29
2024-09-21,968,90.86
2024-09-28,1023,62.0
2024-10-05,1030,62.71
2024-10-12,1099,68.57
2024-10-19,989,95.14
2024-10-26,1102,64.14
2024-11-02,1204,61.71
2024-11-09,1459,64.71
2024-11-16,1447,103.29
2024-11-23,1527,72.71
2024-11-30,1532,78.86
2024-12-07,1453,78.71
2024-12-14,1248,116.86
2024-12-21,1324,75.71
2024-12-28,1370,83.86
2025-01-04,1419,90.0
2025-01-11,1032,142.43
2025-01-18,955,100.57
2025-01-25,924,97.14
2025-02-01,748,96.43
2025-02-08,384,146.14
2025-02-15,173,118.43
2025-02-22,561,24.71
2025-03-01,300,122.86
2025-03-08,10,178.86
2025-03-15,478,1.43
2025-03-22,178,129.71
2025-03-29,612,25.43
2025-04-05,257,159.14
2025-04-12,10,124.86
2025-04-19,627,1.43
2025-04-26,307,113.86
2025-05-03,10,174.0
2025-05-10,685,1.43
2025-05-17,562,100.29
2025-05-24,391,112.29
2025-05-31,10,170.43
2025-06-07,608,1.43
2025-06-14,589,84.71
2025-06-21,513,95.14
2025-06-28,142,148.14
2025-07-05,562,20.29
2025-07-12,507,90.14
2025-07-19,515,90.71
2025-07-26,212,124.14
2025-08-02,554,30.29
2025-08-09,10,189.0
2025-08-16,628,1.43
2025-08-23,595,93.14
2025-08-30,578,82.29
2025-09-06,661,79.57
2025-09-13,872,63.43
2025-09-20,670,104.57
2025-09-27,871,64.14
2025-10-04,1064,59.14
2025-10-11,1217,65.71
2025-10-18,1055,102.57
2025-10-25,1124,60.71
2025-11-01,1214,69.29
2025-11-08,1281,70.57
2025-11-15,1199,101.29
2025-11-22,1231,72.0
2025-11-29,1329,71.71
2025-12-06,1313,83.0
2025-12-13,1118,116.57
2025-12-20,1058,84.14
2025-12-27,931,99.43
2026-01-03,941,82.43
2026-01-10,508,138.71
2026-01-17,483,102.43
2026-01-24,408,106.57
2026-01-31,318,111.29
2026-02-07,10,180.86
2026-02-14,640,1.43
2026-02-21,519,106.29
2026-02-28,246,128.0
2026-03-07,576,35.14
2026-03-14,322,141.29
2026-03-21,114,125.71
2026-03-28,636,16.29
2026-04-04,327,148.43
2026-04-11,195,111.86
2026-04-18,535,27.86
2026-04-25,291,126.86
2026-05-02,10,175.43
2026-05-09,719,1.43
2026-05-16,709,87.0
2026-05-23,593,104.0
2026-05-30,10,173.71
2026-06-06,664,1.43
2026-06-13,662,90.29
2026-06-20,666,88.43
