date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_SHAMPOO_001,4.8,873,2.8
2023-07-08,FMC_SHAMPOO_001,6.38,610,2.8
2023-07-15,FMC_SHAMPOO_001,6.39,560,2.8
2023-07-22,FMC_SHAMPOO_001,6.25,542,2.8
2023-07-29,FMC_SHAMPOO_001,4.8,798,2.8
2023-08-05,FMC_SHAMPOO_001,6.29,519,2.8
2023-08-12,FMC_SHAMPOO_001,6.29,467,2.8
2023-08-19,FMC_SHAMPOO_001,6.28,440,2.8
2023-08-26,FMC_SHAMPOO_001,4.8,721,2.8
2023-09-02,FMC_SHAMPOO_001,6.34,416,2.8
2023-09-09,FMC_SHAMPOO_001,6.24,432,2.8
2023-09-16,FMC_SHAMPOO_001,6.36,452,2.8
2023-09-23,FMC_SHAMPOO_001,4.8,680,2.8
2023-09-30,FMC_SHAMPOO_001,6.35,383,2.8
2023-10-07,FMC_SHAMPOO_001,6.35,440,2.8
2023-10-14,FMC_SHAMPOO_001,6.26,450,2.8
2023-10-21,FMC_SHAMPOO_001,4.8,668,2.8
2023-10-28,FMC_SHAMPOO_001,6.33,414,2.8
2023-11-04,FMC_SHAMPOO_001,6.23,486,2.8
2023-11-11,FMC_SHAMPOO_001,6.3,470,2.8
2023-11-18,FMC_SHAMPOO_001,4.8,681,2.8
2023-11-25,FMC_SHAMPOO_001,6.37,465,2.8
2023-12-02,FMC_SHAMPOO_001,6.35,545,2.8
2023-12-09,FMC_SHAMPOO_001,6.31,535,2.8
2023-12-16,FMC_SHAMPOO_001,4.8,876,2.8
2023-12-23,FMC_SHAMPOO_001,6.2,584,2.8
2023-12-30,FMC_SHAMPOO_001,6.3,589,2.8
2024-01-06,FMC_SHAMPOO_001,6.33,561,2.8
2024-01-13,FMC_SHAMPOO_001,4.8,912,2.8
2024-01-20,FMC_SHAMPOO_001,6.39,648,2.8
2024-01-27,FMC_SHAMPOO_001,6.28,593,2.8
2024-02-03,FMC_SHAMPOO_001,6.21,592,2.8
2024-02-10,FMC_SHAMPOO_001,4.8,1053,2.8
2024-02-17,FMC_SHAMPOO_001,6.33,717,2.8
2024-02-24,FMC_SHAMPOO_001,6.23,656,2.8
2024-03-02,FMC_SHAMPOO_001,6.3,671,2.8
2024-03-09,FMC_SHAMPOO_001,4.8,1124,2.8
2024-03-16,FMC_SHAMPOO_001,6.32,699,2.8
2024-03-23,FMC_SHAMPOO_001,6.36,683,2.8
2024-03-30,FMC_SHAMPOO_001,6.38,624,2.8
2024-04-06,FMC_SHAMPOO_001,4.8,1164,2.8
2024-04-13,FMC_SHAMPOO_001,6.35,668,2.8
2024-04-20,FMC_SHAMPOO_001,6.31,745,2.8
2024-04-27,FMC_SHAMPOO_001,6.5,686,2.8
2024-05-04,FMC_SHAMPOO_001,4.8,1048,2.8
2024-05-11,FMC_SHAMPOO_001,6.32,1698,2.8
2024-05-18,FMC_SHAMPOO_001,6.34,726,2.8
2024-05-25,FMC_SHAMPOO_001,6.3,657,2.8
2024-06-01,FMC_SHAMPOO_001,4.8,917,2.8
2024-06-08,FMC_SHAMPOO_001,6.36,599,2.8
2024-06-15,FMC_SHAMPOO_001,6.34,587,2.8
