date,comp_price_avg,comp_price_min,comp_price_max
2023-07-01,6.17,5.86,6.4799999999999995
2023-07-08,5.84,5.55,6.13
2023-07-15,5.8,5.51,6.09
2023-07-22,6.01,5.71,6.31
2023-07-29,6.03,5.73,6.33
2023-08-05,6.06,5.76,6.359999999999999
2023-08-12,6.26,5.95,6.569999999999999
2023-08-19,5.9,5.6000000000000005,6.2
2023-08-26,6.21,5.9,6.52
2023-09-02,6.04,5.74,6.34
2023-09-09,5.99,5.69,6.29
2023-09-16,6.0,5.7,6.3
2023-09-23,5.8,5.51,6.09
2023-09-30,6.08,5.78,6.38
2023-10-07,6.21,5.9,6.52
2023-10-14,5.86,5.57,6.15
2023-10-21,5.91,5.61,6.21
2023-10-28,6.16,5.8500000000000005,6.47
2023-11-04,5.94,5.640000000000001,6.24
2023-11-11,6.1,5.8,6.3999999999999995
2023-11-18,6.16,5.8500000000000005,6.47
2023-11-25,6.1,5.8,6.3999999999999995
2023-12-02,5.95,5.65,6.25
2023-12-09,6.23,5.920000000000001,6.54
2023-12-16,6.05,5.75,6.35
2023-12-23,5.98,5.680000000000001,6.28
2023-12-30,6.24,5.930000000000001,6.55
2024-01-06,6.16,5.8500000000000005,6.47
2024-01-13,6.15,5.840000000000001,6.46
2024-01-20,6.01,5.71,6.31
2024-01-27,6.43,6.109999999999999,6.75
2024-02-03,6.09,5.79,6.39
2024-02-10,6.13,5.82,6.4399999999999995
2024-02-17,5.94,5.640000000000001,6.24
2024-02-24,5.95,5.65,6.25
2024-03-02,6.25,5.94,6.56
2024-03-09,6.1,5.8,6.3999999999999995
2024-03-16,6.08,5.78,6.38
2024-03-23,5.75,5.46,6.04
2024-03-30,5.57,5.29,5.8500000000000005
2024-04-06,5.87,5.58,6.16
2024-04-13,5.95,5.65,6.25
2024-04-20,5.79,5.5,6.08
2024-04-27,5.86,5.57,6.15
2024-05-04,5.97,5.67,6.27
2024-05-11,6.04,5.74,6.34
2024-05-18,5.83,5.54,6.12
2024-05-25,5.78,5.49,6.07
2024-06-01,6.01,5.71,6.31
2024-06-08,6.33,6.01,6.65
2024-06-15,6.24,5.930000000000001,6.55
2024-06-22,6.07,5.7700000000000005,6.37
2024-06-29,5.96,5.66,6.26
2024-07-06,5.85,5.56,6.14
2024-07-13,6.11,5.800000000000001,6.42
2024-07-20,6.08,5.78,6.38
2024-07-27,5.91,5.61,6.21
2024-08-03,5.82,5.53,6.11
2024-08-10,6.21,5.9,6.52
2024-08-17,5.84,5.55,6.13
2024-08-24,5.88,5.59,6.17
2024-08-31,6.02,5.72,6.319999999999999
2024-09-07,6.29,5.98,6.6
2024-09-14,6.21,5.9,6.52
2024-09-21,5.86,5.57,6.15
2024-09-28,5.93,5.63,6.2299999999999995
2024-10-05,5.61,5.33,5.890000000000001
2024-10-12,6.06,5.76,6.359999999999999
2024-10-19,5.81,5.52,6.1
2024-10-26,6.0,5.7,6.3
2024-11-02,6.12,5.8100000000000005,6.43
2024-11-09,5.88,5.59,6.17
2024-11-16,6.01,5.71,6.31
2024-11-23,6.02,5.72,6.319999999999999
2024-11-30,6.08,5.78,6.38
2024-12-07,5.91,5.61,6.21
2024-12-14,6.21,5.9,6.52
2024-12-21,6.24,5.930000000000001,6.55
2024-12-28,6.19,5.880000000000001,6.5
2025-01-04,6.17,5.86,6.4799999999999995
2025-01-11,5.99,5.69,6.29
2025-01-18,5.85,5.56,6.14
2025-01-25,6.4,6.08,6.720000000000001
2025-02-01,6.22,5.91,6.529999999999999
2025-02-08,6.04,5.74,6.34
2025-02-15,6.47,6.1499999999999995,6.79
2025-02-22,6.13,5.82,6.4399999999999995
2025-03-01,5.85,5.56,6.14
2025-03-08,5.82,5.53,6.11
2025-03-15,6.13,5.82,6.4399999999999995
2025-03-22,6.1,5.8,6.3999999999999995
2025-03-29,5.36,5.09,5.630000000000001
2025-04-05,5.86,5.57,6.15
2025-04-12,5.94,5.640000000000001,6.24
2025-04-19,5.89,5.6,6.18
2025-04-26,6.36,6.04,6.680000000000001
2025-05-03,6.24,5.930000000000001,6.55
2025-05-10,5.8,5.51,6.09
2025-05-17,5.88,5.59,6.17
2025-05-24,5.95,5.65,6.25
2025-05-31,5.77,5.4799999999999995,6.06
2025-06-07,6.04,5.74,6.34
2025-06-14,5.95,5.65,6.25
2025-06-21,5.65,5.37,5.930000000000001
2025-06-28,6.0,5.7,6.3
2025-07-05,6.22,5.91,6.529999999999999
2025-07-12,5.86,5.57,6.15
2025-07-19,6.06,5.76,6.359999999999999
2025-07-26,5.82,5.53,6.11
2025-08-02,6.02,5.72,6.319999999999999
2025-08-09,5.93,5.63,6.2299999999999995
2025-08-16,5.82,5.53,6.11
2025-08-23,5.9,5.6000000000000005,6.2
2025-08-30,5.84,5.55,6.13
2025-09-06,5.87,5.58,6.16
2025-09-13,6.02,5.72,6.319999999999999
2025-09-20,6.08,5.78,6.38
2025-09-27,5.93,5.63,6.2299999999999995
2025-10-04,6.18,5.87,6.489999999999999
2025-10-11,5.84,5.55,6.13
2025-10-18,5.88,5.59,6.17
2025-10-25,5.9,5.6000000000000005,6.2
2025-11-01,5.61,5.33,5.890000000000001
2025-11-08,6.45,6.13,6.7700000000000005
2025-11-15,6.09,5.79,6.39
2025-11-22,6.22,5.91,6.529999999999999
2025-11-29,5.85,5.56,6.14
2025-12-06,5.92,5.62,6.22
2025-12-13,5.86,5.57,6.15
2025-12-20,5.97,5.67,6.27
2025-12-27,6.01,5.71,6.31
2026-01-03,6.28,5.970000000000001,6.59
2026-01-10,6.22,5.91,6.529999999999999
2026-01-17,5.92,5.62,6.22
2026-01-24,6.47,6.1499999999999995,6.79
2026-01-31,6.1,5.8,6.3999999999999995
2026-02-07,5.98,5.680000000000001,6.28
2026-02-14,5.99,5.69,6.29
2026-02-21,6.04,5.74,6.34
2026-02-28,5.64,5.359999999999999,5.92
2026-03-07,5.99,5.69,6.29
2026-03-14,6.05,5.75,6.35
2026-03-21,6.15,5.840000000000001,6.46
2026-03-28,6.08,5.78,6.38
2026-04-04,6.23,5.920000000000001,6.54
2026-04-11,5.82,5.53,6.11
2026-04-18,6.05,5.75,6.35
2026-04-25,5.87,5.58,6.16
2026-05-02,5.91,5.61,6.21
2026-05-09,5.86,5.57,6.15
2026-05-16,6.27,5.96,6.579999999999999
2026-05-23,5.98,5.680000000000001,6.28
2026-05-30,5.66,5.38,5.94
2026-06-06,6.08,5.78,6.38
2026-06-13,6.04,5.74,6.34
2026-06-20,5.8,5.51,6.09
