date,cci_current,cci_baseline,google_trends_score
2023-07-01,97.4,100.0,44.6
2023-07-08,99.0,100.0,45.4
2023-07-15,100.3,100.0,36.8
2023-07-22,101.9,100.0,45.2
2023-07-29,99.6,100.0,42.7
2023-08-05,101.8,100.0,40.1
2023-08-12,101.4,100.0,30.6
2023-08-19,102.0,100.0,30.1
2023-08-26,100.5,100.0,31.1
2023-09-02,99.0,100.0,25.5
2023-09-09,102.6,100.0,23.4
2023-09-16,99.6,100.0,15.2
2023-09-23,99.5,100.0,21.8
2023-09-30,98.1,100.0,30.5
2023-10-07,97.3,100.0,29.1
2023-10-14,100.3,100.0,22.6
2023-10-21,99.1,100.0,32.9
2023-10-28,100.9,100.0,29.3
2023-11-04,102.0,100.0,20.4
2023-11-11,99.4,100.0,24.9
2023-11-18,99.2,100.0,33.1
2023-11-25,99.9,100.0,31.8
2023-12-02,99.2,100.0,31.0
2023-12-09,100.8,100.0,40.9
2023-12-16,98.1,100.0,46.2
2023-12-23,99.8,100.0,46.8
2023-12-30,100.0,100.0,44.5
2024-01-06,97.6,100.0,60.5
2024-01-13,100.0,100.0,49.9
2024-01-20,100.8,100.0,57.5
2024-01-27,101.7,100.0,60.9
2024-02-03,99.6,100.0,61.8
2024-02-10,100.0,100.0,65.3
2024-02-17,98.7,100.0,70.3
2024-02-24,96.8,100.0,66.4
2024-03-02,101.1,100.0,67.4
2024-03-09,99.3,100.0,67.4
2024-03-16,100.6,100.0,83.4
2024-03-23,98.9,100.0,84.1
2024-03-30,100.5,100.0,69.5
2024-04-06,100.5,100.0,75.7
2024-04-13,98.9,100.0,67.2
2024-04-20,100.4,100.0,66.5
2024-04-27,101.2,100.0,64.2
2024-05-04,100.7,100.0,73.7
2024-05-11,102.2,100.0,64.8
2024-05-18,98.4,100.0,62.9
2024-05-25,99.1,100.0,56.7
2024-06-01,100.7,100.0,52.1
2024-06-08,96.2,100.0,65.6
2024-06-15,96.7,100.0,58.3
2024-06-22,98.1,100.0,56.8
2024-06-29,102.0,100.0,56.7
2024-07-06,99.0,100.0,49.5
2024-07-13,99.3,100.0,48.9
2024-07-20,101.2,100.0,35.9
2024-07-27,98.9,100.0,43.2
2024-08-03,100.0,100.0,28.3
2024-08-10,104.3,100.0,31.4
2024-08-17,99.1,100.0,28.4
2024-08-24,99.7,100.0,30.3
2024-08-31,99.4,100.0,25.1
2024-09-07,99.1,100.0,26.9
2024-09-14,100.5,100.0,28.1
2024-09-21,99.8,100.0,28.2
2024-09-28,98.8,100.0,33.0
2024-10-05,100.7,100.0,30.8
2024-10-12,96.2,100.0,29.9
2024-10-19,100.9,100.0,28.2
2024-10-26,100.6,100.0,26.5
2024-11-02,100.9,100.0,31.9
2024-11-09,100.2,100.0,32.9
2024-11-16,103.1,100.0,28.9
2024-11-23,101.5,100.0,26.9
2024-11-30,101.7,100.0,38.7
2024-12-07,101.3,100.0,27.8
2024-12-14,99.4,100.0,45.3
2024-12-21,102.2,100.0,53.2
2024-12-28,102.7,100.0,53.4
2025-01-04,100.8,100.0,48.8
2025-01-11,100.3,100.0,58.6
2025-01-18,99.1,100.0,65.5
2025-01-25,98.7,100.0,61.2
2025-02-01,102.3,100.0,67.0
2025-02-08,98.8,100.0,68.9
2025-02-15,99.6,100.0,69.8
2025-02-22,98.9,100.0,68.2
2025-03-01,98.2,100.0,73.8
2025-03-08,97.8,100.0,60.7
2025-03-15,99.7,100.0,71.9
2025-03-22,103.1,100.0,76.3
2025-03-29,102.4,100.0,74.1
2025-04-05,101.8,100.0,72.5
2025-04-12,99.0,100.0,70.4
2025-04-19,97.0,100.0,73.4
2025-04-26,98.9,100.0,69.6
2025-05-03,101.7,100.0,82.1
2025-05-10,99.3,100.0,76.6
2025-05-17,98.2,100.0,67.6
2025-05-24,99.5,100.0,68.7
2025-05-31,97.6,100.0,60.8
2025-06-07,98.2,100.0,62.3
2025-06-14,101.6,100.0,51.1
2025-06-21,98.1,100.0,65.1
2025-06-28,99.5,100.0,49.4
2025-07-05,99.2,100.0,55.2
2025-07-12,99.1,100.0,44.6
2025-07-19,99.9,100.0,31.2
2025-07-26,97.8,100.0,31.9
2025-08-02,102.3,100.0,34.3
2025-08-09,97.9,100.0,100.0
2025-08-16,100.5,100.0,24.9
2025-08-23,98.0,100.0,27.5
2025-08-30,100.4,100.0,23.1
2025-09-06,102.0,100.0,28.3
2025-09-13,98.3,100.0,23.5
2025-09-20,100.6,100.0,20.7
2025-09-27,101.1,100.0,19.2
2025-10-04,101.5,100.0,24.8
2025-10-11,98.4,100.0,36.0
2025-10-18,100.4,100.0,28.7
2025-10-25,96.6,100.0,31.1
2025-11-01,100.2,100.0,35.8
2025-11-08,101.1,100.0,26.8
2025-11-15,100.6,100.0,35.2
2025-11-22,98.1,100.0,45.1
2025-11-29,99.2,100.0,32.4
2025-12-06,98.0,100.0,50.5
2025-12-13,98.1,100.0,43.7
2025-12-20,98.1,100.0,38.0
2025-12-27,98.8,100.0,53.3
2026-01-03,99.6,100.0,48.3
2026-01-10,99.7,100.0,57.3
2026-01-17,97.0,100.0,67.3
2026-01-24,102.1,100.0,64.7
2026-01-31,103.1,100.0,58.7
2026-02-07,100.2,100.0,66.1
2026-02-14,103.9,100.0,71.3
2026-02-21,99.5,100.0,75.2
2026-02-28,98.5,100.0,70.3
2026-03-07,101.8,100.0,66.9
2026-03-14,99.9,100.0,66.0
2026-03-21,100.5,100.0,70.9
2026-03-28,99.9,100.0,63.4
2026-04-04,98.7,100.0,73.0
2026-04-11,100.1,100.0,77.6
2026-04-18,99.9,100.0,71.8
2026-04-25,101.1,100.0,71.5
2026-05-02,99.5,100.0,72.7
2026-05-09,100.6,100.0,68.1
2026-05-16,98.4,100.0,66.1
2026-05-23,96.7,100.0,74.3
2026-05-30,100.2,100.0,66.1
2026-06-06,99.0,100.0,55.7
2026-06-13,101.8,100.0,54.0
2026-06-20,99.6,100.0,65.2
