date,units_in_stock,avg_daily_sales_14d
2023-07-01,2382,88.29
2023-07-08,1910,80.14
2023-07-15,1739,82.57
2023-07-22,1899,75.43
2023-07-29,1930,71.14
2023-08-05,1952,67.57
2023-08-12,1914,67.14
2023-08-19,1938,63.57
2023-08-26,1969,61.29
2023-09-02,1922,58.14
2023-09-09,1942,59.29
2023-09-16,2062,57.43
2023-09-23,1998,54.57
2023-09-30,1997,60.29
2023-10-07,1993,57.57
2023-10-14,2132,64.14
2023-10-21,1957,61.86
2023-10-28,1859,61.57
2023-11-04,1924,70.86
2023-11-11,1826,68.0
2023-11-18,1820,74.86
2023-11-25,1892,79.71
2023-12-02,1858,78.57
2023-12-09,1742,91.71
2023-12-16,1863,89.29
2023-12-23,1740,99.29
2023-12-30,1730,91.71
2024-01-06,1610,98.14
2024-01-13,1618,108.0
2024-01-20,1695,102.71
2024-01-27,1548,117.43
2024-02-03,1616,113.57
2024-02-10,1472,113.71
2024-02-17,1661,108.43
2024-02-24,1527,121.86
2024-03-02,1677,116.43
2024-03-09,1570,121.43
2024-03-16,1675,108.14
2024-03-23,1739,102.43
2024-03-30,1617,109.86
2024-04-06,1626,104.29
2024-04-13,1685,103.71
2024-04-20,1690,99.43
2024-04-27,1638,104.0
2024-05-04,1648,98.57
2024-05-11,722,229.57
2024-05-18,1886,83.71
2024-05-25,1742,89.0
2024-06-01,1868,86.29
2024-06-08,1726,81.14
2024-06-15,1821,81.29
2024-06-22,1875,80.14
2024-06-29,1976,71.57
2024-07-06,1754,86.0
2024-07-13,1913,78.71
2024-07-20,1894,76.29
2024-07-27,1753,77.14
2024-08-03,1958,68.0
2024-08-10,1961,75.57
2024-08-17,1914,68.86
2024-08-24,2005,69.29
2024-08-31,1979,63.43
2024-09-07,1883,72.57
2024-09-14,1835,70.86
2024-09-21,1895,73.71
2024-09-28,1997,76.0
2024-10-05,1913,77.0
2024-10-12,1827,75.14
2024-10-19,1748,84.43
2024-10-26,1971,70.86
2024-11-02,1832,78.57
2024-11-09,1939,69.86
2024-11-16,1925,79.43
2024-11-23,1926,77.57
2024-11-30,1777,81.29
2024-12-07,1701,86.71
2024-12-14,1828,80.57
2024-12-21,1875,68.0
2024-12-28,1666,89.29
2025-01-04,1843,84.0
2025-01-11,1715,86.57
2025-01-18,1771,88.71
2025-01-25,1855,88.0
2025-02-01,1714,88.71
2025-02-08,1678,98.0
2025-02-15,1764,95.57
2025-02-22,1750,94.0
2025-03-01,1727,88.71
2025-03-08,1679,95.43
2025-03-15,1818,91.71
2025-03-22,1824,90.71
2025-03-29,1633,94.0
2025-04-05,1706,104.0
2025-04-12,1755,94.86
2025-04-19,1696,96.29
2025-04-26,1734,96.43
2025-05-03,1653,96.29
2025-05-10,1724,106.0
2025-05-17,1604,105.0
2025-05-24,1706,104.14
2025-05-31,1600,109.0
2025-06-07,1732,95.57
2025-06-14,1646,103.86
2025-06-21,1635,96.0
2025-06-28,1790,97.86
2025-07-05,1672,99.71
2025-07-12,1772,97.29
2025-07-19,1772,94.0
2025-07-26,1861,85.57
2025-08-02,1794,86.57
2025-08-09,1101,179.14
2025-08-16,1880,78.43
2025-08-23,1895,72.0
2025-08-30,1900,72.71
2025-09-06,1808,72.43
2025-09-13,1989,65.43
2025-09-20,1933,63.57
2025-09-27,2000,69.14
2025-10-04,2035,59.0
2025-10-11,1940,60.57
2025-10-18,1916,60.43
2025-10-25,2040,61.86
2025-11-01,1945,57.71
2025-11-08,1914,65.86
2025-11-15,2016,58.57
2025-11-22,2022,65.43
2025-11-29,1938,67.43
2025-12-06,1927,75.0
2025-12-13,1981,74.14
2025-12-20,1812,73.29
2025-12-27,1847,79.0
2026-01-03,1869,81.57
2026-01-10,1856,82.43
2026-01-17,1746,85.29
2026-01-24,1698,91.57
2026-01-31,1829,93.14
2026-02-07,1714,104.14
2026-02-14,1758,104.86
2026-02-21,1522,105.29
2026-02-28,1613,110.29
2026-03-07,1519,116.0
2026-03-14,1564,126.71
2026-03-21,1617,111.14
2026-03-28,1522,118.14
2026-04-04,1582,127.14
2026-04-11,1584,128.14
2026-04-18,1561,131.14
2026-04-25,1593,120.0
2026-05-02,1616,109.29
2026-05-09,1522,129.0
2026-05-16,1633,112.71
2026-05-23,1641,107.0
2026-05-30,1676,105.14
2026-06-06,1744,91.0
2026-06-13,1781,99.43
2026-06-20,1778,87.43
