date,sku_id,unit_price,units_sold,cost_per_unit
2023-07-01,FMC_SHAMPOO_001,6.02,618,2.8
2023-07-08,FMC_SHAMPOO_001,6.13,561,2.8
2023-07-15,FMC_SHAMPOO_001,6.26,578,2.8
2023-07-22,FMC_SHAMPOO_001,6.36,528,2.8
2023-07-29,FMC_SHAMPOO_001,6.62,498,2.8
2023-08-05,FMC_SHAMPOO_001,6.61,473,2.8
2023-08-12,FMC_SHAMPOO_001,6.82,470,2.8
2023-08-19,FMC_SHAMPOO_001,6.79,445,2.8
2023-08-26,FMC_SHAMPOO_001,6.8,429,2.8
2023-09-02,FMC_SHAMPOO_001,6.92,407,2.8
2023-09-09,FMC_SHAMPOO_001,6.95,415,2.8
2023-09-16,FMC_SHAMPOO_001,6.87,402,2.8
2023-09-23,FMC_SHAMPOO_001,6.89,382,2.8
2023-09-30,FMC_SHAMPOO_001,6.83,422,2.8
2023-10-07,FMC_SHAMPOO_001,6.58,403,2.8
2023-10-14,FMC_SHAMPOO_001,6.51,449,2.8
2023-10-21,FMC_SHAMPOO_001,6.56,433,2.8
2023-10-28,FMC_SHAMPOO_001,6.42,431,2.8
2023-11-04,FMC_SHAMPOO_001,6.18,496,2.8
2023-11-11,FMC_SHAMPOO_001,6.06,476,2.8
2023-11-18,FMC_SHAMPOO_001,5.95,524,2.8
2023-11-25,FMC_SHAMPOO_001,5.79,558,2.8
2023-12-02,FMC_SHAMPOO_001,5.64,550,2.8
2023-12-09,FMC_SHAMPOO_001,5.43,642,2.8
2023-12-16,FMC_SHAMPOO_001,5.41,625,2.8
2023-12-23,FMC_SHAMPOO_001,5.36,695,2.8
2023-12-30,FMC_SHAMPOO_001,5.24,642,2.8
2024-01-06,FMC_SHAMPOO_001,5.1,687,2.8
2024-01-13,FMC_SHAMPOO_001,5.06,756,2.8
2024-01-20,FMC_SHAMPOO_001,5.13,719,2.8
2024-01-27,FMC_SHAMPOO_001,5.13,822,2.8
2024-02-03,FMC_SHAMPOO_001,5.2,795,2.8
2024-02-10,FMC_SHAMPOO_001,5.16,796,2.8
2024-02-17,FMC_SHAMPOO_001,5.24,759,2.8
2024-02-24,FMC_SHAMPOO_001,5.28,853,2.8
2024-03-02,FMC_SHAMPOO_001,5.52,815,2.8
2024-03-09,FMC_SHAMPOO_001,5.57,850,2.8
2024-03-16,FMC_SHAMPOO_001,5.76,757,2.8
2024-03-23,FMC_SHAMPOO_001,5.89,717,2.8
2024-03-30,FMC_SHAMPOO_001,6.08,769,2.8
2024-04-06,FMC_SHAMPOO_001,6.13,730,2.8
2024-04-13,FMC_SHAMPOO_001,6.36,726,2.8
2024-04-20,FMC_SHAMPOO_001,6.39,696,2.8
2024-04-27,FMC_SHAMPOO_001,6.51,728,2.8
2024-05-04,FMC_SHAMPOO_001,6.63,690,2.8
2024-05-11,FMC_SHAMPOO_001,6.71,1607,2.8
2024-05-18,FMC_SHAMPOO_001,6.83,586,2.8
2024-05-25,FMC_SHAMPOO_001,6.87,623,2.8
2024-06-01,FMC_SHAMPOO_001,6.95,604,2.8
2024-06-08,FMC_SHAMPOO_001,6.92,568,2.8
2024-06-15,FMC_SHAMPOO_001,6.94,569,2.8
2024-06-22,FMC_SHAMPOO_001,6.85,561,2.8
2024-06-29,FMC_SHAMPOO_001,6.76,501,2.8
2024-07-06,FMC_SHAMPOO_001,6.65,602,2.8
2024-07-13,FMC_SHAMPOO_001,6.62,551,2.8
2024-07-20,FMC_SHAMPOO_001,6.56,534,2.8
2024-07-27,FMC_SHAMPOO_001,6.35,540,2.8
2024-08-03,FMC_SHAMPOO_001,6.34,476,2.8
2024-08-10,FMC_SHAMPOO_001,5.97,529,2.8
2024-08-17,FMC_SHAMPOO_001,5.95,482,2.8
2024-08-24,FMC_SHAMPOO_001,5.76,485,2.8
2024-08-31,FMC_SHAMPOO_001,5.7,444,2.8
2024-09-07,FMC_SHAMPOO_001,5.48,508,2.8
2024-09-14,FMC_SHAMPOO_001,5.38,496,2.8
2024-09-21,FMC_SHAMPOO_001,5.34,516,2.8
2024-09-28,FMC_SHAMPOO_001,5.15,532,2.8
2024-10-05,FMC_SHAMPOO_001,5.12,539,2.8
2024-10-12,FMC_SHAMPOO_001,5.09,526,2.8
2024-10-19,FMC_SHAMPOO_001,5.13,591,2.8
2024-10-26,FMC_SHAMPOO_001,5.01,496,2.8
2024-11-02,FMC_SHAMPOO_001,5.18,550,2.8
2024-11-09,FMC_SHAMPOO_001,5.28,489,2.8
2024-11-16,FMC_SHAMPOO_001,5.18,556,2.8
2024-11-23,FMC_SHAMPOO_001,5.34,543,2.8
2024-11-30,FMC_SHAMPOO_001,5.48,569,2.8
2024-12-07,FMC_SHAMPOO_001,5.57,607,2.8
2024-12-14,FMC_SHAMPOO_001,5.75,564,2.8
2024-12-21,FMC_SHAMPOO_001,5.97,476,2.8
2024-12-28,FMC_SHAMPOO_001,5.99,625,2.8
2025-01-04,FMC_SHAMPOO_001,6.05,588,2.8
2025-01-11,FMC_SHAMPOO_001,6.34,606,2.8
2025-01-18,FMC_SHAMPOO_001,6.37,621,2.8
2025-01-25,FMC_SHAMPOO_001,6.5,616,2.8
2025-02-01,FMC_SHAMPOO_001,6.72,621,2.8
2025-02-08,FMC_SHAMPOO_001,6.7,686,2.8
2025-02-15,FMC_SHAMPOO_001,6.76,669,2.8
2025-02-22,FMC_SHAMPOO_001,6.92,658,2.8
2025-03-01,FMC_SHAMPOO_001,6.93,621,2.8
2025-03-08,FMC_SHAMPOO_001,7.03,668,2.8
2025-03-15,FMC_SHAMPOO_001,6.89,642,2.8
2025-03-22,FMC_SHAMPOO_001,6.87,635,2.8
2025-03-29,FMC_SHAMPOO_001,6.8,658,2.8
2025-04-05,FMC_SHAMPOO_001,6.58,728,2.8
2025-04-12,FMC_SHAMPOO_001,6.52,664,2.8
2025-04-19,FMC_SHAMPOO_001,6.6,674,2.8
2025-04-26,FMC_SHAMPOO_001,6.36,675,2.8
2025-05-03,FMC_SHAMPOO_001,6.14,674,2.8
2025-05-10,FMC_SHAMPOO_001,6.04,742,2.8
2025-05-17,FMC_SHAMPOO_001,5.98,735,2.8
2025-05-24,FMC_SHAMPOO_001,5.74,729,2.8
2025-05-31,FMC_SHAMPOO_001,5.5,763,2.8
2025-06-07,FMC_SHAMPOO_001,5.48,669,2.8
2025-06-14,FMC_SHAMPOO_001,5.42,727,2.8
2025-06-21,FMC_SHAMPOO_001,5.32,672,2.8
2025-06-28,FMC_SHAMPOO_001,5.33,685,2.8
2025-07-05,FMC_SHAMPOO_001,5.15,698,2.8
2025-07-12,FMC_SHAMPOO_001,5.18,681,2.8
2025-07-19,FMC_SHAMPOO_001,5.08,658,2.8
2025-07-26,FMC_SHAMPOO_001,5.18,599,2.8
2025-08-02,FMC_SHAMPOO_001,5.18,606,2.8
2025-08-09,FMC_SHAMPOO_001,5.18,1254,2.8
2025-08-16,FMC_SHAMPOO_001,5.3,549,2.8
2025-08-23,FMC_SHAMPOO_001,5.4,504,2.8
2025-08-30,FMC_SHAMPOO_001,5.44,509,2.8
2025-09-06,FMC_SHAMPOO_001,5.62,507,2.8
