brand,model,architecture,seasonality,decay,WMAPE,R2,RMSE,MAE,MASE,mean_elasticity,Rank_Score,split
Asus,PyTorch Deep Neural Network (MLP),End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,9.02,0.8467,2694.12,2310.17,0.5046,-4.9226,80.799,test_only
Asus,Temporal LSTM-Attention Network,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,17.8,0.2174,6086.5,4558.67,0.9957,-4.2469,47.71,test_only
Asus,LightGBM Gradient Boosted Ensemble,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.85,0.9044,2127.05,1497.84,0.3271,-5.4052,87.666,test_only
Asus,Deep Q-Network (DQN) RL Agent,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,12.06,0.7089,3712.49,3088.51,0.6746,-3.7643,71.744,test_only
Asus,Neuro-Boost Learned Stacking Hybrid,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,8.13,0.8639,2538.44,2082.43,0.4548,-4.8261,82.754,test_only
Dell,PyTorch Deep Neural Network (MLP),End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,6.91,0.8582,4810.49,3600.21,0.5008,-3.8503,82.275,test_only
Dell,Temporal LSTM-Attention Network,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,14.68,0.3027,10666.12,7646.73,1.0636,-3.3219,51.743,test_only
Dell,LightGBM Gradient Boosted Ensemble,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,7.17,0.8459,5014.86,3733.26,0.5193,-4.2278,81.408,test_only
Dell,Deep Q-Network (DQN) RL Agent,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,10.97,0.6637,7407.53,5714.77,0.7949,-2.9444,68.529,test_only
Dell,Neuro-Boost Learned Stacking Hybrid,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.79,0.8966,4108.03,3017.09,0.4197,-3.7748,85.608,test_only
HP,PyTorch Deep Neural Network (MLP),End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,4.34,0.9507,5882.85,4482.02,0.2528,-4.3811,91.294,test_only
HP,Temporal LSTM-Attention Network,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,15.86,0.396,20592.53,16364.01,0.9229,-3.7797,55.492,test_only
HP,LightGBM Gradient Boosted Ensemble,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.24,0.912,7859.57,5408.77,0.305,-4.8106,88.639,test_only
HP,Deep Q-Network (DQN) RL Agent,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,10.9,0.7413,13475.47,11243.85,0.6341,-3.3502,74.109,test_only
HP,Neuro-Boost Learned Stacking Hybrid,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,4.18,0.954,5682.37,4308.51,0.243,-4.2951,91.673,test_only
Lenovo,PyTorch Deep Neural Network (MLP),End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,6.44,0.9148,4781.94,3816.46,0.3658,-4.5969,86.907,test_only
Lenovo,Temporal LSTM-Attention Network,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,17.14,0.3545,13164.35,10153.28,0.9731,-3.966,52.601,test_only
Lenovo,LightGBM Gradient Boosted Ensemble,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,7.15,0.8508,6329.16,4233.19,0.4057,-5.0476,83.836,test_only
Lenovo,Deep Q-Network (DQN) RL Agent,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,12.02,0.6673,9450.88,7120.6,0.6824,-3.5153,70.359,test_only
Lenovo,Neuro-Boost Learned Stacking Hybrid,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.08,0.9374,4100.22,3011.15,0.2886,-4.5068,89.807,test_only
