brand,model,architecture,seasonality,decay,WMAPE,R2,RMSE,MAE,MASE,mean_elasticity,Rank_Score,split
Asus,PyTorch Deep Neural Network (MLP),End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,10.27,0.7629,3349.9,2629.34,0.5743,-4.9226,76.269,test_only
Asus,Temporal LSTM-Attention Network,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,17.85,0.1621,6298.02,4570.59,0.9983,-4.2469,45.974,test_only
Asus,LightGBM Gradient Boosted Ensemble,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,8.12,0.8336,2806.47,2080.44,0.4544,-5.4052,81.859,test_only
Asus,Deep Q-Network (DQN) RL Agent,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,12.46,0.6996,3770.72,3190.7,0.6969,-3.7643,70.822,test_only
Asus,Neuro-Boost Learned Stacking Hybrid,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,8.6,0.8271,2861.22,2203.48,0.4813,-4.8261,80.885,test_only
Dell,PyTorch Deep Neural Network (MLP),End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,6.47,0.8677,4646.34,3370.1,0.4688,-3.8503,83.421,test_only
Dell,Temporal LSTM-Attention Network,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,14.77,0.2895,10766.88,7695.54,1.0704,-3.3219,51.299,test_only
Dell,LightGBM Gradient Boosted Ensemble,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,7.9,0.7888,5870.4,4115.9,0.5725,-4.2278,78.264,test_only
Dell,Deep Q-Network (DQN) RL Agent,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,10.76,0.7147,6822.98,5605.51,0.7797,-2.9444,70.467,test_only
Dell,Neuro-Boost Learned Stacking Hybrid,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.97,0.8867,4298.64,3110.8,0.4327,-3.7748,84.963,test_only
HP,PyTorch Deep Neural Network (MLP),End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.16,0.9378,6608.83,5325.38,0.3003,-4.3811,89.546,test_only
HP,Temporal LSTM-Attention Network,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,14.67,0.4332,19947.66,15139.99,0.8539,-3.7797,58.583,test_only
HP,LightGBM Gradient Boosted Ensemble,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.86,0.9148,7732.18,6051.38,0.3413,-4.8106,87.687,test_only
HP,Deep Q-Network (DQN) RL Agent,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,6.85,0.8867,8918.26,7067.46,0.3986,-3.3502,85.205,test_only
HP,Neuro-Boost Learned Stacking Hybrid,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,4.52,0.9509,5873.59,4662.5,0.263,-4.2951,91.007,test_only
Lenovo,PyTorch Deep Neural Network (MLP),End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.86,0.9324,4259.17,3472.48,0.3328,-4.5969,88.385,test_only
Lenovo,Temporal LSTM-Attention Network,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,16.64,0.3558,13151.24,9857.25,0.9447,-3.966,53.457,test_only
Lenovo,LightGBM Gradient Boosted Ensemble,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,13.13,0.6504,9688.41,7777.6,0.7454,-5.0476,68.037,test_only
Lenovo,Deep Q-Network (DQN) RL Agent,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,7.96,0.8572,6190.66,4713.75,0.4518,-3.5153,82.703,test_only
Lenovo,Neuro-Boost Learned Stacking Hybrid,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.78,0.9246,4499.41,3423.48,0.3281,-4.5068,88.285,test_only
