brand,model,architecture,seasonality,decay,WMAPE,R2,RMSE,MAE,MASE,mean_elasticity,Rank_Score,split
Daawat,PyTorch Deep Neural Network (MLP),End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,7.36,0.767,319234.81,215891.47,0.5499,-2.8943,78.332,test_only
Daawat,Temporal LSTM-Attention Network,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,14.29,0.2184,584694.72,419220.05,1.0677,-2.497,49.405,test_only
Daawat,LightGBM Gradient Boosted Ensemble,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,9.76,0.6766,376096.89,286106.19,0.7287,-3.178,70.847,test_only
Daawat,Deep Q-Network (DQN) RL Agent,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,8.88,0.7025,360734.61,260307.63,0.663,-2.2133,73.377,test_only
Daawat,Neuro-Boost Learned Stacking Hybrid,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,7.28,0.773,315094.03,213382.21,0.5435,-2.8375,78.683,test_only
Fortune,PyTorch Deep Neural Network (MLP),End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.61,0.9092,87226.11,70968.94,0.3448,-3.312,87.576,test_only
Fortune,Temporal LSTM-Attention Network,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,16.04,-0.0457,295930.83,203019.59,0.9863,-2.8574,42.255,test_only
Fortune,LightGBM Gradient Boosted Ensemble,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,11.49,0.6593,168912.8,145436.12,0.7065,-3.6367,69.904,test_only
Fortune,Deep Q-Network (DQN) RL Agent,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,9.68,0.4883,207011.78,122565.47,0.5954,-2.5327,67.899,test_only
Fortune,Neuro-Boost Learned Stacking Hybrid,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.66,0.9087,87443.09,71583.5,0.3478,-3.2471,87.478,test_only
India_Gate,PyTorch Deep Neural Network (MLP),End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.94,0.9034,136619.68,99789.36,0.4645,-2.1947,84.843,test_only
India_Gate,Temporal LSTM-Attention Network,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,11.94,0.5549,293285.31,200557.86,0.9336,-1.8935,62.007,test_only
India_Gate,LightGBM Gradient Boosted Ensemble,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,7.77,0.828,182322.86,130481.13,0.6074,-2.4099,78.809,test_only
India_Gate,Deep Q-Network (DQN) RL Agent,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,10.3,0.7983,197402.8,173125.28,0.8059,-1.6783,72.681,test_only
India_Gate,Neuro-Boost Learned Stacking Hybrid,End-to-End Deep Neural / RL,Learned End-to-End,Feature Encoded,5.84,0.9052,135351.93,98175.32,0.457,-2.1517,85.095,test_only
